[KJV | EN | OT | Hosea | Chapter 8 | Verse 1] Set the trumpet to thy mouth. He shall come as an eagle against the house of the Lord, Because they have transgressed my covenant, And trespassed against my law.
[KJV | EN | OT | Hosea | Chapter 8 | Verse 2] Israel shall cry unto me, My God, we know thee.
[KJV | EN | OT | Hosea | Chapter 8 | Verse 3] Israel hath cast off the thing that is good: The enemy shall pursue him.
[KJV | EN | OT | Hosea | Chapter 8 | Verse 4] They have set up kings, but not by me: They have made princes, and I knew it not: Of their silver and their gold have they made them idols, That they may be cut off.
[KJV | EN | OT | Hosea | Chapter 8 | Verse 5] Thy calf, O Samaria, hath cast thee off; Mine anger is kindled against them: How long will it be ere they attain to innocency?
[KJV | EN | OT | Hosea | Chapter 8 | Verse 6] For from Israel was it also: The workman made it; therefore it is not God: But the calf of Samaria shall be broken in pieces.
[KJV | EN | OT | Hosea | Chapter 8 | Verse 7] For they have sown the wind, and they shall reap the whirlwind: It hath no stalk: the bud shall yield no meal: If so be it yield, the strangers shall swallow it up.
[KJV | EN | OT | Hosea | Chapter 8 | Verse 8] Israel is swallowed up: Now shall they be among the Gentiles as a vessel wherein is no pleasure.
[KJV | EN | OT | Hosea | Chapter 8 | Verse 9] For they are gone up to Assyria, a wild ass alone by himself: Ephraim hath hired lovers.
[KJV | EN | OT | Hosea | Chapter 8 | Verse 10] Yea, though they have hired among the nations, now will I gather them, And they shall sorrow a little for the burden of the king of princes.
[KJV | EN | OT | Hosea | Chapter 8 | Verse 11] Because Ephraim hath made many altars to sin, Altars shall be unto him to sin.
[KJV | EN | OT | Hosea | Chapter 8 | Verse 12] I have written to him the great things of my law, But they were counted as a strange thing.
[KJV | EN | OT | Hosea | Chapter 8 | Verse 13] They sacrifice flesh for the sacrifices of mine offerings, and eat it; But the Lord accepteth them not; Now will he remember their iniquity, and visit their sins: They shall return to Egypt.
[KJV | EN | OT | Hosea | Chapter 8 | Verse 14] For Israel hath forgotten his Maker, and buildeth temples; And Judah hath multiplied fenced cities: But I will send a fire upon his cities, And it shall devour the palaces thereof.
