[KJV | EN | OT | Hosea | Chapter 9 | Verse 1] Rejoice not, O Israel, for joy, as other people: For thou hast gone a whoring from thy God, Thou hast loved a reward upon every cornfloor.
[KJV | EN | OT | Hosea | Chapter 9 | Verse 2] The floor and the winepress shall not feed them, And the new wine shall fail in her.
[KJV | EN | OT | Hosea | Chapter 9 | Verse 3] They shall not dwell in the Lord’s land; But Ephraim shall return to Egypt, And they shall eat unclean things in Assyria.
[KJV | EN | OT | Hosea | Chapter 9 | Verse 4] They shall not offer wine offerings to the Lord, Neither shall they be pleasing unto him: Their sacrifices shall be unto them as the bread of mourners; All that eat thereof shall be polluted: For their bread for their soul shall not come into the house of the Lord.
[KJV | EN | OT | Hosea | Chapter 9 | Verse 5] What will ye do in the solemn day, And in the day of the feast of the Lord?
[KJV | EN | OT | Hosea | Chapter 9 | Verse 6] For lo, they are gone because of destruction: Egypt shall gather them up, Memphis shall bury them: The pleasant places for their silver, nettles shall possess them: Thorns shall be in their tabernacles.
[KJV | EN | OT | Hosea | Chapter 9 | Verse 7] The days of visitation are come, The days of recompence are come; Israel shall know it: The prophet is a fool, the spiritual man is mad, For the multitude of thine iniquity, and the great hatred.
[KJV | EN | OT | Hosea | Chapter 9 | Verse 8] The watchman of Ephraim was with my God: But the prophet is a snare of a fowler in all his ways, And hatred in the house of his God.
[KJV | EN | OT | Hosea | Chapter 9 | Verse 9] They have deeply corrupted themselves, as in the days of Gibeah: Therefore he will remember their iniquity, he will visit their sins.
[KJV | EN | OT | Hosea | Chapter 9 | Verse 10] I found Israel like grapes in the wilderness; I saw your fathers as the firstripe in the fig tree at her first time: But they went to Baal-peor, and separated themselves unto that shame; And their abominations were according as they loved.
[KJV | EN | OT | Hosea | Chapter 9 | Verse 11] As for Ephraim, their glory shall fly away like a bird, From the birth, and from the womb, and from the conception.
[KJV | EN | OT | Hosea | Chapter 9 | Verse 12] Though they bring up their children, Yet will I bereave them, that there shall not be a man left: Yea, woe also to them when I depart from them!
[KJV | EN | OT | Hosea | Chapter 9 | Verse 13] Ephraim, as I saw Tyrus, is planted in a pleasant place: But Ephraim shall bring forth his children to the murderer.
[KJV | EN | OT | Hosea | Chapter 9 | Verse 14] Give them, O Lord: what wilt thou give? Give them a miscarrying womb and dry breasts.
[KJV | EN | OT | Hosea | Chapter 9 | Verse 15] All their wickedness is in Gilgal, for there I hated them: For the wickedness of their doings I will drive them out of mine house, I will love them no more: All their princes are revolters.
[KJV | EN | OT | Hosea | Chapter 9 | Verse 16] Ephraim is smitten, their root is dried up, they shall bear no fruit: Yea, though they bring forth, yet will I slay even the beloved fruit of their womb.
[KJV | EN | OT | Hosea | Chapter 9 | Verse 17] My God will cast them away, because they did not hearken unto him: And they shall be wanderers among the nations.
