[KJV | EN | OT | Hosea | Chapter 12 | Verse 1] Ephraim feedeth on wind, and followeth after the east wind: He daily increaseth lies and desolation; And they do make a covenant with the Assyrians, And oil is carried into Egypt.
[KJV | EN | OT | Hosea | Chapter 12 | Verse 2] The Lord hath also a controversy with Judah, And will punish Jacob according to his ways; According to his doings will he recompense him.
[KJV | EN | OT | Hosea | Chapter 12 | Verse 3] He took his brother by the heel in the womb, And by his strength he had power with God:
[KJV | EN | OT | Hosea | Chapter 12 | Verse 4] Yea, he had power over the angel, and prevailed: He wept, and made supplication unto him: He found him in Beth-el, and there he spake with us;
[KJV | EN | OT | Hosea | Chapter 12 | Verse 5] Even the Lord God of hosts; the Lord is his memorial.
[KJV | EN | OT | Hosea | Chapter 12 | Verse 6] Therefore turn thou to thy God: Keep mercy and judgment, And wait on thy God continually.
[KJV | EN | OT | Hosea | Chapter 12 | Verse 7] He is a merchant, the balances of deceit are in his hand: He loveth to oppress.
[KJV | EN | OT | Hosea | Chapter 12 | Verse 8] And Ephraim said, Yet I am become rich, I have found me out substance: In all my labours they shall find none iniquity in me that were sin.
[KJV | EN | OT | Hosea | Chapter 12 | Verse 9] And I that am the Lord thy God from the land of Egypt Will yet make thee to dwell in tabernacles, as in the days of the solemn feast.
[KJV | EN | OT | Hosea | Chapter 12 | Verse 10] I have also spoken by the prophets, and I have multiplied visions, And used similitudes by the ministry of the prophets.
[KJV | EN | OT | Hosea | Chapter 12 | Verse 11] Is there iniquity in Gilead? surely they are vanity: They sacrifice bullocks in Gilgal; Yea, their altars are as heaps in the furrows of the fields.
[KJV | EN | OT | Hosea | Chapter 12 | Verse 12] And Jacob fled into the country of Syria, And Israel served for a wife, and for a wife he kept sheep.
[KJV | EN | OT | Hosea | Chapter 12 | Verse 13] And by a prophet the Lord brought Israel out of Egypt, And by a prophet was he preserved.
[KJV | EN | OT | Hosea | Chapter 12 | Verse 14] Ephraim provoked him to anger most bitterly: Therefore shall he leave his blood upon him, And his reproach shall his Lord return unto him.
