[KJV | EN | OT | Hosea | Chapter 11 | Verse 1] When Israel was a child, then I loved him, And called my son out of Egypt.
[KJV | EN | OT | Hosea | Chapter 11 | Verse 2] As they called them, so they went from them: They sacrificed unto Baalim, and burnt incense to graven images.
[KJV | EN | OT | Hosea | Chapter 11 | Verse 3] I taught Ephraim also to go, taking them by their arms; But they knew not that I healed them.
[KJV | EN | OT | Hosea | Chapter 11 | Verse 4] I drew them with cords of a man, with bands of love: And I was to them as they that take off the yoke on their jaws, And I laid meat unto them.
[KJV | EN | OT | Hosea | Chapter 11 | Verse 5] He shall not return into the land of Egypt, But the Assyrian shall be his king, Because they refused to return.
[KJV | EN | OT | Hosea | Chapter 11 | Verse 6] And the sword shall abide on his cities, And shall consume his branches, and devour them, Because of their own counsels.
[KJV | EN | OT | Hosea | Chapter 11 | Verse 7] And my people are bent to backsliding from me: Though they called them to the most High, None at all would exalt him.
[KJV | EN | OT | Hosea | Chapter 11 | Verse 8] How shall I give thee up, Ephraim? How shall I deliver thee, Israel? How shall I make thee as Admah? How shall I set thee as Zeboim? Mine heart is turned within me, My repentings are kindled together.
[KJV | EN | OT | Hosea | Chapter 11 | Verse 9] I will not execute the fierceness of mine anger, I will not return to destroy Ephraim: For I am God, and not man; The Holy One in the midst of thee: And I will not enter into the city.
[KJV | EN | OT | Hosea | Chapter 11 | Verse 10] They shall walk after the Lord: he shall roar like a lion: When he shall roar, then the children shall tremble from the west.
[KJV | EN | OT | Hosea | Chapter 11 | Verse 11] They shall tremble as a bird out of Egypt, And as a dove out of the land of Assyria: And I will place them in their houses, saith the Lord.
