[KJV | EN | NT | 2 Thessalonians | Chapter 3 | Verse 1] Finally, brethren, pray for us, that the word of the Lord may have free course, and be glorified, even as it is with you:
[KJV | EN | NT | 2 Thessalonians | Chapter 3 | Verse 2] and that we may be delivered from unreasonable and wicked men: for all men have not faith.
[KJV | EN | NT | 2 Thessalonians | Chapter 3 | Verse 3] But the Lord is faithful, who shall stablish you, and keep you from evil.
[KJV | EN | NT | 2 Thessalonians | Chapter 3 | Verse 4] And we have confidence in the Lord touching you, that ye both do and will do the things which we command you.
[KJV | EN | NT | 2 Thessalonians | Chapter 3 | Verse 5] And the Lord direct your hearts into the love of God, and into the patient waiting for Christ.
[KJV | EN | NT | 2 Thessalonians | Chapter 3 | Verse 6] Now we command you, brethren, in the name of our Lord Jesus Christ, that ye withdraw yourselves from every brother that walketh disorderly, and not after the tradition which he received of us.
[KJV | EN | NT | 2 Thessalonians | Chapter 3 | Verse 7] For yourselves know how ye ought to follow us: for we behaved not ourselves disorderly among you;
[KJV | EN | NT | 2 Thessalonians | Chapter 3 | Verse 8] neither did we eat any man’s bread for nought; but wrought with labour and travail night and day, that we might not be chargeable to any of you:
[KJV | EN | NT | 2 Thessalonians | Chapter 3 | Verse 9] not because we have not power, but to make ourselves an ensample unto you to follow us.
[KJV | EN | NT | 2 Thessalonians | Chapter 3 | Verse 10] For even when we were with you, this we commanded you, that if any would not work, neither should he eat.
[KJV | EN | NT | 2 Thessalonians | Chapter 3 | Verse 11] For we hear that there are some which walk among you disorderly, working not at all, but are busybodies.
[KJV | EN | NT | 2 Thessalonians | Chapter 3 | Verse 12] Now them that are such we command and exhort by our Lord Jesus Christ, that with quietness they work, and eat their own bread.
[KJV | EN | NT | 2 Thessalonians | Chapter 3 | Verse 13] But ye, brethren, be not weary in well doing.
[KJV | EN | NT | 2 Thessalonians | Chapter 3 | Verse 14] And if any man obey not our word by this epistle, note that man, and have no company with him, that he may be ashamed.
[KJV | EN | NT | 2 Thessalonians | Chapter 3 | Verse 15] Yet count him not as an enemy, but admonish him as a brother.
[KJV | EN | NT | 2 Thessalonians | Chapter 3 | Verse 16] Now the Lord of peace himself give you peace always by all means. The Lord be with you all.
[KJV | EN | NT | 2 Thessalonians | Chapter 3 | Verse 17] The salutation of Paul with mine own hand, which is the token in every epistle: so I write.
[KJV | EN | NT | 2 Thessalonians | Chapter 3 | Verse 18] The grace of our Lord Jesus Christ be with you all. Amen. ¶ The second epistle to the Thessalonians was written from Athens.
