[LXX | EL | OT | Jonah | Chapter 1 | Verse 1] ΚΑΙ ἐγένετο λόγος Κυρίου πρὸς Ἰωνᾶν τὸν τοῦ Ἀμαθὶ, λέγων,
[LXX | EL | OT | Jonah | Chapter 1 | Verse 2] ἀνάστηθι, καὶ πορεύθητι εἰς Νινευὴ τὴν πόλιν τὴν μεγάλην, καὶ κήρυξον ἐν αὐτῇ, ὅτι ἀνέβη ἡ κραυγὴ τῆς κακίας αὐτῆς πρὸς μέ.
[LXX | EL | OT | Jonah | Chapter 1 | Verse 3] Καὶ ἀνέστη Ἰωνᾶς τοῦ φυγεῖν εἰς Θαρσὶς ἐκ προσώπου Κυρίου· καὶ κατέβη εἰς Ἰόππην, καὶ εὗρε πλοῖον βαδίζον εἰς Θαρσὶς, καὶ ἔδωκε τὸ ναῦλον αὐτοῦ, καὶ ἀνέβη εἰς αὐτὸ, τοῦ πλεῦσαι μετʼ αὐτῶν εἰς Θαρσὶς ἐκ προσώπου Κυρίου.
[LXX | EL | OT | Jonah | Chapter 1 | Verse 4] Καὶ Κύριος ἐξήγειρε πνεῦμα ἐπὶ τὴν θάλασσαν, καὶ ἐγένετο κλύδων μέγας ἐν τῇ θαλάσσῃ, καὶ τὸ πλοῖον ἐκινδύνευε τοῦ συντριβῆναι.
[LXX | EL | OT | Jonah | Chapter 1 | Verse 5] Καὶ ἐφοβήθησαν οἱ ναυτικοὶ, καὶ ἀνεβόησαν ἕκαστος πρὸς τὸν θεὸν αὐτοῦ, καὶ ἐκβολὴν ἐποιήσαντο τῶν σκευῶν τῶν ἐν τῷ πλοίῳ εἰς τὴν θάλασσαν, τοῦ κουφισθῆναι ἀπʼ αὐτῶν· Ἰωνᾶς δὲ κατέβη εἰς τὴν κοίλην τοῦ πλοίου, καὶ ἐκάθευδε, καὶ ἔρεγχε.
[LXX | EL | OT | Jonah | Chapter 1 | Verse 6] Καὶ προσῆλθε πρὸς αὐτὸν ὁ πρωρεὺς, καὶ εἶπεν αὐτῷ, τί σὺ ῥέγχεις; ἀνάστα, καὶ ἐπικαλοῦ τὸν Θεόν σου, ὅπως διασώσῃ ὁ Θεὸς ἡμᾶς, καὶ οὐ μὴ ἀπολώμεθα.
[LXX | EL | OT | Jonah | Chapter 1 | Verse 7] Καὶ εἶπεν ἕκαστος πρὸς τὸν πλησίον αὐτοῦ, δεῦτε βάλωμεν κλήρους, καὶ ἐπιγνῶμεν, τίνος ἕνεκεν ἡ κακία αὕτη ἐστὶν ἐν ἡμῖν· καὶ ἔβαλον κλήρους, καὶ ἔπεσεν ὁ κλῆρος ἐπὶ Ἰωνᾶν.
[LXX | EL | OT | Jonah | Chapter 1 | Verse 8] Καὶ εἶπον πρὸς αὐτὸν, ἀπάγγειλον ἡμῖν, τίς σου ἡ ἐργασία ἐστὶ, καὶ πόθεν ἔρχῃ, καὶ ἐκ ποίας χώρας, καὶ ἐκ ποίου λαοῦ εἶ σύ;
[LXX | EL | OT | Jonah | Chapter 1 | Verse 9] Καὶ εἶπε πρὸς αὐτοὺς, δοῦλος Κυρίου εἰμὶ ἐγὼ, καὶ τὸν Κύριον Θεὸν τοῦ οὐρανοῦ ἐγὼ σέβομαι, ὃς ἐποίησε τὴν θάλασσαν καὶ τὴν ξηράν.
[LXX | EL | OT | Jonah | Chapter 1 | Verse 10] Καὶ ἐφοβήθησαν οἱ ἄνδρες φόβον μέγαν, καὶ εἶπον πρὸς αὐτὸν, τί τοῦτο ἐποίησας; διότι ἔγνωσαν οἱ ἄνδρες ὅτι ἐκ προσώπου Κυρίου ἦν φεύγων, ὅτι ἀπήγγειλεν αὐτοῖς·
[LXX | EL | OT | Jonah | Chapter 1 | Verse 11] καὶ εἶπον πρὸς αὐτὸν, τί ποιήσομέν σοι, καὶ κοπάσει ἡ θάλασσα ἀφʼ ἡμῶν; ὅτι ἡ θάλασσα ἐπορεύετο καὶ ἐξήγειρε μᾶλλον κλύδωνα.
