[LXX | EL | OT | Jonah | Chapter 4 | Verse 1] Καὶ ἐλυπήθη Ἰωνᾶς λύπην μεγάλην· καὶ συνεχύθη,
[LXX | EL | OT | Jonah | Chapter 4 | Verse 2] καὶ προσεύξατο πρὸς Κύριον, καὶ εἶπεν, Κύριε, οὐχ οὗτοι οἱ λόγοι μου, ἔτι ὄντος μου ἐν τῇ γῇ μου; διατοῦτο προέφθασα τοῦ φυγεῖν εἰς Θαρσὶς, διότι ἔγνων ὅτι σὺ ἐλεήμων καὶ οἰκτίρμων, μακρόθυμος καὶ πολυέλεος, καὶ μετανοῶν ἐπὶ ταῖς κακίαις.
[LXX | EL | OT | Jonah | Chapter 4 | Verse 3] Καὶ νῦν, δέσποτα Κύριε, λάβε τὴν ψυχήν μου ἀπʼ ἐμοῦ, ὅτι καλὸν τὸ ἀποθανεῖν με ἢ ζῇν με.
[LXX | EL | OT | Jonah | Chapter 4 | Verse 4] Καὶ εἶπε Κύριος πρὸς Ἰωνᾶν, εἰ σφόδρα λελύπησαι σύ;
[LXX | EL | OT | Jonah | Chapter 4 | Verse 5] Καὶ ἐξῆλθεν Ἰωνᾶς ἐκ τῆς πόλεως, καὶ ἐκάθισεν ἀπέναντι τῆς πόλεως· καὶ ἐποίησεν αὐτῷ ἐκεῖ σκηνὴν, καὶ ἐκάθητο ὑποκάτω αὐτῆς, ἕως οὗ ἀπίδῃ τί ἔσται τῇ πόλει.
[LXX | EL | OT | Jonah | Chapter 4 | Verse 6] Καὶ προσέταξε Κύριος ὁ Θεὸς κολοκύνθῃ, καὶ ἀνέβη ὑπὲρ κεφαλῆς τοῦ Ἰωνᾶ, τοῦ εἶναι σκιὰν ὑπεράνω τῆς κεφαλῆς αὐτοῦ, τοῦ σκιάζειν αὐτῷ ἀπὸ τῶν κακῶν αὐτοῦ· καὶ ἐχάρη Ἰωνᾶς ἐπὶ τῇ κολοκύνθῃ χαρὰν μεγάλην.
[LXX | EL | OT | Jonah | Chapter 4 | Verse 7] Καὶ προσέταξεν ὁ Θεὸς σκώληκι ἑωθινῇ τῇ ἐπαυρίον, καὶ ἐπάταξε τὴν κολόκυνθαν, καὶ ἀπεξηράνθη.
[LXX | EL | OT | Jonah | Chapter 4 | Verse 8] Καὶ ἐγένετο ἅμα τῷ ἀνατεῖλαι τὸν ἥλιον, καὶ προσέταξεν ὁ Θεὸς πνεύματι καύσωνι συγκαίοντι, καὶ ἐπάταξεν ὁ ἥλιος ἐπὶ τὴν κεφαλὴν τοῦ Ἰωνᾶ· καὶ ὠλιγοψύχησε, καὶ ἀπελέγετο τὴν ψυχὴν αὐτοῦ, καὶ εἶπε, καλόν μοι ἀποθανεῖν με ἢ ζῇν.
[LXX | EL | OT | Jonah | Chapter 4 | Verse 9] Καὶ εἶπεν ὁ Θεὸς πρὸς Ἰωνᾶν, εἰ σφόδρα λελύπησαι σὺ ἐπὶ τῇ κολοκύνθῃ; καὶ εἶπε, σφόδρα λελύπημαι ἐγὼ ἕως θανάτου.
[LXX | EL | OT | Jonah | Chapter 4 | Verse 10] Καὶ εἶπε Κύριος, σὺ ἐφείσω ὑπὲρ τῆς κολοκύνθης, ὑπὲρ ἧς οὐκ ἐκακοπάθησας ἐπʼ αὐτὴν, καὶ οὐδὲ ἐξέθρεψας αὐτὴν, ἣ ἐγενήθη ὑπὸ νύκτα, καὶ ὑπὸ νύκτα ἀπώλετο·
[LXX | EL | OT | Jonah | Chapter 4 | Verse 11] ἐγὼ δὲ οὐ φείσομαι ὑπὲρ Νινευὴ τῆς πόλεως τῆς μεγάλης, ἐν ᾗ κατοικοῦσι πλείους ἢ δώδεκα μυριάδες ἀνθρώπων, οἵτινες οὐκ ἔγνωσαν δεξιὰν αὐτῶν ἢ ἀριστερὰν αὐτῶν, καὶ κτήνη πολλά;
