[LXX | EL | OT | Jonah | Chapter 2 | Verse 1] Καὶ προσέταξε Κύριος κήτει μεγάλῳ καταπιεῖν τὸν Ἰωνᾶν· καὶ ἦν Ἰωνᾶς ἐν τῇ κοιλίᾳ τοῦ κήτους τρεῖς ἡμέρας καὶ τρεῖς νύκτας.
[LXX | EL | OT | Jonah | Chapter 2 | Verse 2] Καὶ προσηύξατο Ἰωνᾶς πρὸς Κύριον τὸν Θεὸν αὐτοῦ ἐκ τῆς κοιλίας τοῦ κήτους,
[LXX | EL | OT | Jonah | Chapter 2 | Verse 3] καὶ εἶπεν, Ἐβόησα ἐν θλίψει μου πρὸς Κύριον τὸν Θεόν μου, καὶ εἰσήκουσέ μου, ἐκ κοιλίας ᾅδου κραυγῆς μου, ἤκουσας φωνῆς μου, ἀπέῤῥιψάς με εἰς βάθη καρδίας θαλάσσης,
[LXX | EL | OT | Jonah | Chapter 2 | Verse 4] καὶ ποταμοί ἐκύκλωσάν με, πάντες οἱ μετεωρισμοί σου καὶ τὰ κύματά σου ἐπʼ ἐμὲ διῆλθον.
[LXX | EL | OT | Jonah | Chapter 2 | Verse 5] Καὶ ἐγὼ εἶπα, ἀπῶσμαι ἐξ ὀφθαλμῶν σου· ἆρα προσθήσω τοῦ ἐπιβλέψαι με πρὸς ναὸν τὸν ἅγιόν σου;
[LXX | EL | OT | Jonah | Chapter 2 | Verse 6] Περιεχύθη μοι ὕδωρ ἕως ψυχῆς, ἄβυσσος ἐκύκλωσέ με ἐσχάτη, ἔδυ ἡ κεφαλή μου εἰς σχισμὰς ὀρέων,
[LXX | EL | OT | Jonah | Chapter 2 | Verse 7] κατέβην εἰς γῆν, ἧς οἱ μοχλοὶ αὐτῆς κάτοχοι αἰώνιοι· καὶ ἀναβήτω φθορὰ ζωῆς μου Κύριε ὁ Θεός μου.
[LXX | EL | OT | Jonah | Chapter 2 | Verse 8] Ἐν τῷ ἐκλείπειν ἀπʼ ἐμοῦ τὴν ψυχήν μου, τοῦ Κυρίου ἐμνήσθην, καὶ ἔλθοι πρὸς σὲ ἡ προσευχή μου εἰς ναὸν τὸν ἅγιόν σου.
[LXX | EL | OT | Jonah | Chapter 2 | Verse 9] Φυλασσόμενοι μάταια καὶ ψευδῆ, ἔλεος αὐτῶν ἐγκατέλιπον.
[LXX | EL | OT | Jonah | Chapter 2 | Verse 10] Ἐγὼ δὲ μετὰ φωνῆς αἰνέσεως καὶ ἐξομολογήσεως θύσω σοι, ὅσα ηὐξάμην ἀποδώσω σοι σωτηρίου τῷ Κυρίῳ.
[LXX | EL | OT | Jonah | Chapter 2 | Verse 11] Καὶ προσετάγη ἀπὸ Κυρίου τῷ κήτει, καὶ ἐξέβαλε τὸν Ἰωνᾶν ἐπὶ τὴν ξηράν.
