[DARBY | EN | OT | Deuteronomy | Chapter 7 | Verse 1] When Jehovah thy God shall bring thee into the land whither thou goest to possess it, and shall cast out many nations from before thee, the Hittites, and the Girgashites, and the Amorites, and the Canaanites, and the Perizzites, and the Hivites, and the Jebusites, seven nations greater and mightier than thou,
[DARBY | EN | OT | Deuteronomy | Chapter 7 | Verse 2] and when Jehovah thy God shall give them up before thee and thou shalt smite them, then shalt thou utterly destroy them: thou shalt make no covenant with them, nor shew mercy unto them.
[DARBY | EN | OT | Deuteronomy | Chapter 7 | Verse 3] And thou shalt make no marriages with them: thy daughter thou shalt not give unto his son, nor take his daughter for thy son;
[DARBY | EN | OT | Deuteronomy | Chapter 7 | Verse 4] for he will turn away thy son from following me, and they will serve other gods, and the anger of Jehovah will be kindled against you, and he will destroy thee quickly.
[DARBY | EN | OT | Deuteronomy | Chapter 7 | Verse 5] But thus shall ye deal with them: ye shall break down their altars, and shatter their statues, and hew down their Asherahs, and burn their graven images with fire.
[DARBY | EN | OT | Deuteronomy | Chapter 7 | Verse 6] For a holy people art thou unto Jehovah thy God: Jehovah thy God hath chosen thee to be unto him a people for a possession, above all the peoples that are upon the face of the earth.
[DARBY | EN | OT | Deuteronomy | Chapter 7 | Verse 7] Not because ye were more in number than all the peoples, hath Jehovah been attached to you and chosen you, for ye are the fewest of all the peoples;
[DARBY | EN | OT | Deuteronomy | Chapter 7 | Verse 8] but because Jehovah loved you, and because he would keep the oath which he had sworn unto your fathers, hath Jehovah brought you out with a powerful hand, and redeemed you out of the house of bondage, from the hand of Pharaoh king of Egypt.
[DARBY | EN | OT | Deuteronomy | Chapter 7 | Verse 9] And thou shalt know that Jehovah thy God, he is God, the faithful God, who keepeth covenant and mercy to a thousand generations with them that love him and keep his commandments;
[DARBY | EN | OT | Deuteronomy | Chapter 7 | Verse 10] and repayeth them that hate him [each] to his face, to cause them to perish: he delayeth not with him that hateth him, he will repay him to his face.
[DARBY | EN | OT | Deuteronomy | Chapter 7 | Verse 11] And thou shalt keep the commandment, and the statutes, and the ordinances, which I command thee this day, to do them.
[DARBY | EN | OT | Deuteronomy | Chapter 7 | Verse 12] And it shall come to pass, if ye hearken to these ordinances, and keep and do them, that Jehovah thy God will keep with thee the covenant and the mercy which he swore unto thy fathers;
[DARBY | EN | OT | Deuteronomy | Chapter 7 | Verse 13] and he will love thee, and bless thee, and multiply thee, and will bless the fruit of thy womb, and the fruit of thy ground, thy corn and thy new wine, and thine oil, the offspring of thy kine, and the increase of thy sheep, in the land which he swore unto thy fathers to give thee.
[DARBY | EN | OT | Deuteronomy | Chapter 7 | Verse 14] Thou shalt be blessed above all the peoples; there shall not be male or female barren with thee, or with thy cattle;
[DARBY | EN | OT | Deuteronomy | Chapter 7 | Verse 15] and Jehovah will take away from thee all sickness, and none of the evil infirmities of Egypt, which thou knowest, will he put upon thee; but he will lay them upon all them that hate thee.
[DARBY | EN | OT | Deuteronomy | Chapter 7 | Verse 16] And thou shalt consume all the peoples that Jehovah thy God will give up unto thee; thine eye shall not spare them, and thou shalt not serve their gods; for that would be a snare unto thee.
[DARBY | EN | OT | Deuteronomy | Chapter 7 | Verse 17] If thou shouldest say in thy heart, These nations are greater than I; how can I dispossess them?
[DARBY | EN | OT | Deuteronomy | Chapter 7 | Verse 18] fear them not; remember well what Jehovah thy God did unto Pharaoh, and unto all the Egyptians;
[DARBY | EN | OT | Deuteronomy | Chapter 7 | Verse 19] the great trials which thine eyes saw, and the signs, and the wonders, and the powerful hand, and the stretched-out arm, whereby Jehovah thy God brought thee out: so will Jehovah thy God do unto all the peoples whom thou fearest.
[DARBY | EN | OT | Deuteronomy | Chapter 7 | Verse 20] Moreover, Jehovah thy God will send the hornet among them, until they that are left, and they that hide themselves from thee, are destroyed.
[DARBY | EN | OT | Deuteronomy | Chapter 7 | Verse 21] Thou shalt not be afraid of them; for Jehovah thy God is in thy midst, a God great and terrible.
[DARBY | EN | OT | Deuteronomy | Chapter 7 | Verse 22] And Jehovah thy God will cast out those nations from before thee by little and little; thou shalt not be able to make an end of them at once, lest the beasts of the field increase upon thee.
[DARBY | EN | OT | Deuteronomy | Chapter 7 | Verse 23] But Jehovah thy God will give them up before thee, and will confound them with great consternation, until they are destroyed.
[DARBY | EN | OT | Deuteronomy | Chapter 7 | Verse 24] And he will give their kings into thy hand, and thou shalt put out their name from under the heavens; no man shall stand before thee, until thou hast destroyed them.
[DARBY | EN | OT | Deuteronomy | Chapter 7 | Verse 25] The graven images of their gods shall ye burn with fire; thou shalt not covet the silver and gold [that is] on them and take it unto thee, lest thou be ensnared therein; for it is an abomination to Jehovah thy God.
[DARBY | EN | OT | Deuteronomy | Chapter 7 | Verse 26] And thou shalt not bring an abomination into thy house, lest thou be a cursed thing like it: thou shalt utterly detest it, and thou shalt utterly abhor it; for it is a cursed thing.
