[DARBY | EN | OT | Deuteronomy | Chapter 1 | Verse 1] These are the words which Moses spoke to all Israel on this side the Jordan, in the wilderness, in the plain, opposite to Suph, between Paran and Tophel, Laban, Hazeroth, and Dizahab.
[DARBY | EN | OT | Deuteronomy | Chapter 1 | Verse 2] There are eleven days' journey from Horeb by the way of mount Seir to Kadesh-barnea.
[DARBY | EN | OT | Deuteronomy | Chapter 1 | Verse 3] And it came to pass in the fortieth year, in the eleventh month, on the first of the month, that Moses spoke to the children of Israel, according to all that Jehovah had given him in command to them;
[DARBY | EN | OT | Deuteronomy | Chapter 1 | Verse 4] after he had smitten Sihon the king of the Amorites, who dwelt at Heshbon, and Og the king of Bashan, who dwelt at Ashtaroth [and] at Edrei.
[DARBY | EN | OT | Deuteronomy | Chapter 1 | Verse 5] On this side the Jordan, in the land of Moab, began Moses to unfold this law, saying,
[DARBY | EN | OT | Deuteronomy | Chapter 1 | Verse 6] Jehovah our God spoke unto us in Horeb, saying, Ye have stayed long enough in this mountain.
[DARBY | EN | OT | Deuteronomy | Chapter 1 | Verse 7] Turn and take your journey, and go to the hill-country of the Amorites, and unto all the neighbouring places in the plain, in the mountain, and in the lowland, and in the south, and by the seaside, the land of the Canaanites, and Lebanon, unto the great river, the river Euphrates.
[DARBY | EN | OT | Deuteronomy | Chapter 1 | Verse 8] Behold, I have set the land before you: go in and possess the land which Jehovah swore unto your fathers, to Abraham, to Isaac, and to Jacob, to give unto them and to their seed after them.
[DARBY | EN | OT | Deuteronomy | Chapter 1 | Verse 9] And I spoke unto you at that time, saying, I am not able to bear you myself alone.
[DARBY | EN | OT | Deuteronomy | Chapter 1 | Verse 10] Jehovah your God hath multiplied you, and behold, ye are this day as the stars of heaven for multitude.
[DARBY | EN | OT | Deuteronomy | Chapter 1 | Verse 11] Jehovah, the God of your fathers, make you a thousand times so many more as ye are, and bless you as he hath said unto you!
[DARBY | EN | OT | Deuteronomy | Chapter 1 | Verse 12] How can I myself alone sustain your wear, and your burden, and your strife?
[DARBY | EN | OT | Deuteronomy | Chapter 1 | Verse 13] Provide you wise and understanding and known men, according to your tribes, that I may make them your chiefs.
[DARBY | EN | OT | Deuteronomy | Chapter 1 | Verse 14] And ye answered me, and said, The thing that thou hast spoken is good [for us] to do.
[DARBY | EN | OT | Deuteronomy | Chapter 1 | Verse 15] So I took the chiefs of your tribes, wise men and known, and made them chiefs over you, captains of thousands, and captains of hundreds, and captains of fifties, and captains of tens, and officers for your tribes.
[DARBY | EN | OT | Deuteronomy | Chapter 1 | Verse 16] And I commanded your judges at that time, saying, Hear [the causes] between your brethren, and judge righteously between a man and his brother, and him also that sojourneth with him.
[DARBY | EN | OT | Deuteronomy | Chapter 1 | Verse 17] Ye shall not respect persons in judgment: ye shall hear the small as well as the great; ye shall not be afraid of the face of man, for the judgment is God's; and the matter that is too hard for you shall ye bring to me, that I may hear it.
[DARBY | EN | OT | Deuteronomy | Chapter 1 | Verse 18] And I commanded you at that time all the things that ye should do.
[DARBY | EN | OT | Deuteronomy | Chapter 1 | Verse 19] And we departed from Horeb and went through all that great and terrible wilderness, which ye saw, on the way to the mountain of the Amorites, as Jehovah our God had commanded us; and we came to Kadesh-barnea.
[DARBY | EN | OT | Deuteronomy | Chapter 1 | Verse 20] And I said unto you, Ye are come unto the mountain of the Amorites, which Jehovah our God giveth us.
[DARBY | EN | OT | Deuteronomy | Chapter 1 | Verse 21] Behold, Jehovah thy God hath set the land before thee: go up, take possession, as Jehovah the God of thy fathers hath said unto thee; fear not, neither be dismayed.
[DARBY | EN | OT | Deuteronomy | Chapter 1 | Verse 22] And ye came near to me all of you, and said, We will send men before us, who shall examine the land for us, and bring us word again of the way by which we must go up, and of the cities to which we shall come.
[DARBY | EN | OT | Deuteronomy | Chapter 1 | Verse 23] And the matter was good in mine eyes; and I took twelve men of you, one man for a tribe.
[DARBY | EN | OT | Deuteronomy | Chapter 1 | Verse 24] And they turned and went up into the mountain, and came to the valley of Eshcol, and searched it out.
[DARBY | EN | OT | Deuteronomy | Chapter 1 | Verse 25] And they took of the fruit of the land in their hand, and brought it down unto us, and brought us answer, and said, The land is good that Jehovah our God hath given us.
[DARBY | EN | OT | Deuteronomy | Chapter 1 | Verse 26] But ye would not go up, and rebelled against the word of Jehovah your God;
[DARBY | EN | OT | Deuteronomy | Chapter 1 | Verse 27] and ye murmured in your tents, and said, Because Jehovah hated us, he hath brought us forth out of the land of Egypt, to deliver us into the hand of the Amorites, to destroy us.
[DARBY | EN | OT | Deuteronomy | Chapter 1 | Verse 28] Whither shall we go up? Our brethren have made our hearts melt, saying, [They are] a people greater and taller than we; the cities are great and walled up to heaven; and moreover we have seen the sons of the Anakim there.
[DARBY | EN | OT | Deuteronomy | Chapter 1 | Verse 29] And I said unto you, Be not afraid, neither fear them;
[DARBY | EN | OT | Deuteronomy | Chapter 1 | Verse 30] Jehovah your God who goeth before you, he will fight for you, according to all that he did for you in Egypt before your eyes;
[DARBY | EN | OT | Deuteronomy | Chapter 1 | Verse 31] and in the wilderness where thou hast seen that Jehovah thy God bore thee, as a man doth bear his son, in all the way that ye went, until ye came to this place.
[DARBY | EN | OT | Deuteronomy | Chapter 1 | Verse 32] But In this thing ye did not believe Jehovah your God,
[DARBY | EN | OT | Deuteronomy | Chapter 1 | Verse 33] who went in the way before you, to search you out a place for your encamping, in fire by night, to shew you by what way ye should go, and in the cloud by day.
[DARBY | EN | OT | Deuteronomy | Chapter 1 | Verse 34] And Jehovah heard the voice of your words, and was wroth, and swore, saying,
[DARBY | EN | OT | Deuteronomy | Chapter 1 | Verse 35] None among these men, this evil generation, shall in any wise see that good land, which I swore to give unto your fathers!
[DARBY | EN | OT | Deuteronomy | Chapter 1 | Verse 36] Except Caleb the son of Jephunneh, he shall see it, and to him will I give the land that he hath trodden upon, and to his children, because he hath wholly followed Jehovah.
[DARBY | EN | OT | Deuteronomy | Chapter 1 | Verse 37] Also Jehovah was angry with me on your account, saying, Thou also shalt not go in thither.
[DARBY | EN | OT | Deuteronomy | Chapter 1 | Verse 38] Joshua the son of Nun, who standeth before thee, he shall go in thither: strengthen him, for he shall cause Israel to inherit it.
[DARBY | EN | OT | Deuteronomy | Chapter 1 | Verse 39] And your little ones, of whom ye said, They shall be a prey, and your children, who this day know neither good nor evil, they shall go in thither, and unto them will I give it, and they shall possess it.
[DARBY | EN | OT | Deuteronomy | Chapter 1 | Verse 40] But ye, turn, and take your journey into the wilderness by the way of the Red sea.
[DARBY | EN | OT | Deuteronomy | Chapter 1 | Verse 41] — And ye answered and said unto me, We have sinned against Jehovah, we will go up and fight, according to all that Jehovah our God hath commanded us. And ye girded on every man his weapons of war, and ye would go presumptuously up the hill.
[DARBY | EN | OT | Deuteronomy | Chapter 1 | Verse 42] And Jehovah said to me, Say unto them, Go not up, neither fight; for I am not among you; lest ye be smitten before your enemies.
[DARBY | EN | OT | Deuteronomy | Chapter 1 | Verse 43] And I spoke unto you, but ye would not hear, and ye rebelled against the word of Jehovah, and acted presumptuously, and went up the hill.
[DARBY | EN | OT | Deuteronomy | Chapter 1 | Verse 44] And the Amorite that dwelt on that hill came out against you, and chased you, like as bees do, and cut you in pieces in Seir, as far as Hormah.
[DARBY | EN | OT | Deuteronomy | Chapter 1 | Verse 45] And ye returned and wept before Jehovah, but Jehovah would not listen to your voice, nor give ear unto you.
[DARBY | EN | OT | Deuteronomy | Chapter 1 | Verse 46] And ye abode in Kadesh many days, according unto the days that ye abode [there].
