[OEB | EN | NT | Hebrews | Chapter 13 | Verse 1] Let your love for the Lord’s followers continue.
[OEB | EN | NT | Hebrews | Chapter 13 | Verse 2] Do not neglect to show hospitality; for, through being hospitable, people have all unawares entertained angels.
[OEB | EN | NT | Hebrews | Chapter 13 | Verse 3] Remember the prisoners, as if you were their fellow prisoners, and the oppressed, not forgetting that you also are still in the body.
[OEB | EN | NT | Hebrews | Chapter 13 | Verse 4] Let marriage be honoured by all and the married life be pure; for God will judge those who are immoral and those who commit adultery.
[OEB | EN | NT | Hebrews | Chapter 13 | Verse 5] Do not let your conduct be ruled by the love of money. Be content with what you have, for God himself has said – “I will never forsake you, nor will I ever abandon you.”
[OEB | EN | NT | Hebrews | Chapter 13 | Verse 6] Therefore we may say with confidence – “The Lord is my helper, I will not be afraid. What can mere people do to me?”
[OEB | EN | NT | Hebrews | Chapter 13 | Verse 7] Do not forget your leaders, who told you God’s message. Recall the close of their lives, and imitate their faith.
[OEB | EN | NT | Hebrews | Chapter 13 | Verse 8] Jesus Christ is the same yesterday and today – yes, and for ever!
[OEB | EN | NT | Hebrews | Chapter 13 | Verse 9] Do not let yourselves be carried away by the various novel forms of teaching. It is better to rely for spiritual strength on the divine help, than on regulations regarding food; for those whose lives are guided by such regulations have not found them of service.
[OEB | EN | NT | Hebrews | Chapter 13 | Verse 10] We are not without an altar; but it is one at which those who still worship in the tent have no right to eat.
[OEB | EN | NT | Hebrews | Chapter 13 | Verse 11] The bodies of those animals whose blood is brought by the high priest into the sanctuary, as an offering for sin, are burnt outside the camp.
[OEB | EN | NT | Hebrews | Chapter 13 | Verse 12] And so Jesus, also, to purify the people by his own blood, suffered outside the gate.
[OEB | EN | NT | Hebrews | Chapter 13 | Verse 13] Therefore let us go out to him “outside the camp,” bearing the same reproaches as he;
[OEB | EN | NT | Hebrews | Chapter 13 | Verse 14] for here we have no permanent city, but are looking for the city that is to be.
[OEB | EN | NT | Hebrews | Chapter 13 | Verse 15] Through him let us offer, as our sacrifice, continual praise to God – an offering from lips that glorify his name.
[OEB | EN | NT | Hebrews | Chapter 13 | Verse 16] Never forget to do kindly acts and to share what you have with others, for such sacrifices are acceptable to God.
[OEB | EN | NT | Hebrews | Chapter 13 | Verse 17] Obey your leaders, and submit to their control, for they are watching over your souls, since they will have to render an account, so that they may do it with joy, and not in sorrow. That would not be to your advantage.
[OEB | EN | NT | Hebrews | Chapter 13 | Verse 18] Pray for us, for we are sure that our consciences are clear, since our wish is to be occupied with what is good.
[OEB | EN | NT | Hebrews | Chapter 13 | Verse 19] And I the more earnestly ask for your prayers, so that I may be restored to you the sooner.
[OEB | EN | NT | Hebrews | Chapter 13 | Verse 20] May God, the source of all peace, who brought back from the dead him who, “by virtue of the blood that rendered valid the unchangeable covenant, is the great shepherd of God’s Sheep,” Jesus, our Lord –
[OEB | EN | NT | Hebrews | Chapter 13 | Verse 21] may God make you perfect in everything that is good, so that you may be able to do his will. May he bring out in us all that is pleasing in his sight, through Jesus Christ, to whom be all glory for ever and ever. Amen.
[OEB | EN | NT | Hebrews | Chapter 13 | Verse 22] I beg you, friends, to bear with these words of advice. For I have written only very briefly to you.
[OEB | EN | NT | Hebrews | Chapter 13 | Verse 23] You will be glad to hear that our friend, Timothy, has been set free. If he comes here soon, we will visit you together.
[OEB | EN | NT | Hebrews | Chapter 13 | Verse 24] Give our greeting to all your leaders, and to all Christ’s people. Our friends from Italy send their greetings to you.
[OEB | EN | NT | Hebrews | Chapter 13 | Verse 25] May God bless you all.
