[OEB | EN | NT | Hebrews | Chapter 7 | Verse 1] It was this Melchizedek, king of Salem and priest of the Most High God, who met Abraham returning from the slaughter of the kings, and gave him his blessing;
[OEB | EN | NT | Hebrews | Chapter 7 | Verse 2] and it was to him that Abraham allotted a tithe of all the spoil. The meaning of his name is “king of righteousness,” and besides that, he was also king of Salem, which means “king of peace.”
[OEB | EN | NT | Hebrews | Chapter 7 | Verse 3] There is no record of his father, or mother, or lineage, nor again of any beginning of his days, or end of his life. In this he resembles the Son of God, and stands before us as a priest whose priesthood is continuous.
[OEB | EN | NT | Hebrews | Chapter 7 | Verse 4] Consider, then the importance of this Melchizedek, to whom even the patriarch Abraham himself gave a tithe of the choicest spoils.
[OEB | EN | NT | Hebrews | Chapter 7 | Verse 5] Those descendants of Levi, who are from time to time appointed to the priesthood, are directed to collect tithes from the people in accordance with the Law – that is from their own kindred, although they also are descended from Abraham.
[OEB | EN | NT | Hebrews | Chapter 7 | Verse 6] But Melchizedek, although not of this lineage, received tithes from Abraham, and gave his blessing to the man who had God’s promises.
[OEB | EN | NT | Hebrews | Chapter 7 | Verse 7] Now no one can dispute that it is the superior who blesses the inferior.
[OEB | EN | NT | Hebrews | Chapter 7 | Verse 8] In the one case the tithes are received by people who are mortal; in the other case by one about whom there is the statement that his life still continues.
[OEB | EN | NT | Hebrews | Chapter 7 | Verse 9] Moreover, in a sense, even Levi, who is the receiver of the tithes, has, through Abraham, paid tithes;
[OEB | EN | NT | Hebrews | Chapter 7 | Verse 10] for Levi was still in the body of his ancestor when Melchizedek met Abraham.
[OEB | EN | NT | Hebrews | Chapter 7 | Verse 11] If, then, perfection had been attainable through the Levitical priesthood – and it was under this priesthood that the people received the Law – why was it still necessary that a priest of a different order should appear, a priest of the order of Melchizedek and not of the order of Aaron?
[OEB | EN | NT | Hebrews | Chapter 7 | Verse 12] With the change of the priesthood a change of the Law became a necessity.
[OEB | EN | NT | Hebrews | Chapter 7 | Verse 13] And he of whom all this is said belonged to quite a different tribe, no member of which has ever served at the altar.
[OEB | EN | NT | Hebrews | Chapter 7 | Verse 14] For it is plain that our Lord had sprung from the tribe of Judah, though of that tribe Moses said nothing about their being priests.
[OEB | EN | NT | Hebrews | Chapter 7 | Verse 15] All this becomes even yet plainer when we remember that a new priest has appeared, resembling Melchizedek,
[OEB | EN | NT | Hebrews | Chapter 7 | Verse 16] and that he was appointed, not under a Law regulating only earthly matters, but by virtue of a life beyond the reach of death;
[OEB | EN | NT | Hebrews | Chapter 7 | Verse 17] for that is the meaning of the declaration – “You are for all time a priest of the order of Melchizedek.”
[OEB | EN | NT | Hebrews | Chapter 7 | Verse 18] On the one hand, we have the abolition of a previous regulation as being both inefficient and useless
[OEB | EN | NT | Hebrews | Chapter 7 | Verse 19] (for the Law never brought anything to perfection); and, on the other hand, we have the introduction of a better hope, which enables us to draw near to God.
[OEB | EN | NT | Hebrews | Chapter 7 | Verse 20] Then again, the appointment of this new priest was ratified by an oath, which is not so with the Levitical priests,
[OEB | EN | NT | Hebrews | Chapter 7 | Verse 21] but his appointment was ratified by an oath, when God said to him – “The Lord has sworn, and will not change, ‘You are a priest for all time.’”
[OEB | EN | NT | Hebrews | Chapter 7 | Verse 22] And the oath shows the corresponding superiority of the covenant of which Jesus is appointed the surety.
[OEB | EN | NT | Hebrews | Chapter 7 | Verse 23] Again, new Levitical priests are continually being appointed, because death prevents their remaining in office;
[OEB | EN | NT | Hebrews | Chapter 7 | Verse 24] but Jesus remains for all time, and therefore the priesthood that he holds will never pass to another.
[OEB | EN | NT | Hebrews | Chapter 7 | Verse 25] And that is why he is able to save perfectly those who come to God through him, living for ever, as he does, to intercede of their behalf.
[OEB | EN | NT | Hebrews | Chapter 7 | Verse 26] This was the high priest that we needed – holy, innocent, spotless, withdrawn from sinners, exalted above the highest heaven,
[OEB | EN | NT | Hebrews | Chapter 7 | Verse 27] one who has no need to offer sacrifices daily as those high priests have, first for their own sins, and then for those of the people. For this he did once and for all, when he offered himself as the sacrifice.
[OEB | EN | NT | Hebrews | Chapter 7 | Verse 28] The Law appoints as high priests men who are weak, but the words of God’s oath, which was later than the Law, name the Son as, for all time, the perfect priest.
