[OEB | EN | NT | Hebrews | Chapter 5 | Verse 1] Every high priest, taken from among the people, is appointed as their representative in their relations with God, to offer both gifts and sacrifices in expiation of sins.
[OEB | EN | NT | Hebrews | Chapter 5 | Verse 2] And he is able to sympathise with the ignorant and deluded, since he is himself subject to weakness,
[OEB | EN | NT | Hebrews | Chapter 5 | Verse 3] and is therefore bound to offer sacrifices for sins, not only for the people, but equally so for himself.
[OEB | EN | NT | Hebrews | Chapter 5 | Verse 4] Nor does anyone take that high office on themselves, until they have been called to do so by God, as Aaron was.
[OEB | EN | NT | Hebrews | Chapter 5 | Verse 5] In the same way, even the Christ did not take the honour of the high priesthood on himself, but he was appointed by him who said to him – “You are my Son; this day I have become your Father”;
[OEB | EN | NT | Hebrews | Chapter 5 | Verse 6] and on another occasion also – “You are a priest for all time of the order of Melchizedek.”
[OEB | EN | NT | Hebrews | Chapter 5 | Verse 7] Jesus, in the days of his earthly life, offered prayers and supplications, with earnest cries and with tears, to him who was able to save him from death; and he was heard because of his devout submission.
[OEB | EN | NT | Hebrews | Chapter 5 | Verse 8] Son though he was, he learned obedience from his sufferings;
[OEB | EN | NT | Hebrews | Chapter 5 | Verse 9] and, being made perfect, he became to all those who obey him the source of eternal salvation,
[OEB | EN | NT | Hebrews | Chapter 5 | Verse 10] while God himself pronounced him a high priest of the order of Melchizedek.
[OEB | EN | NT | Hebrews | Chapter 5 | Verse 11] Now on this subject I have much to say, but it is difficult to explain it to you, because you have shown yourselves so slow to learn.
[OEB | EN | NT | Hebrews | Chapter 5 | Verse 12] For whereas, considering the time that has elapsed, you ought to be teaching others, you still need someone to teach you the alphabet of the divine revelation, and need again to be fed with milk instead of with “solid food.”
[OEB | EN | NT | Hebrews | Chapter 5 | Verse 13] For everyone who still has to take milk knows nothing of the teaching of righteousness; they are a mere infant.
[OEB | EN | NT | Hebrews | Chapter 5 | Verse 14] But solid food is for Christians of mature faith – those whose faculties have been trained by practice to distinguish right from wrong.
