[OEB | EN | NT | Hebrews | Chapter 10 | Verse 1] The Law, though able to foreshadow the better system which was coming, never had its actual substance. Its priests, with those sacrifices which they offer continuously year after year, can never make those who come to worship perfect.
[OEB | EN | NT | Hebrews | Chapter 10 | Verse 2] Otherwise, would not the offering of these sacrifices have been abandoned, as the worshipers, having been once purified, would have had their consciences clear from sins?
[OEB | EN | NT | Hebrews | Chapter 10 | Verse 3] But, on the contrary, these sacrifices recall their sins to mind year after year.
[OEB | EN | NT | Hebrews | Chapter 10 | Verse 4] For the blood of bulls and goats is powerless to remove sins.
[OEB | EN | NT | Hebrews | Chapter 10 | Verse 5] That is why, when he was coming into the world, the Christ declared – “Sacrifice and offering you do not desire, but you provide for me a body;
[OEB | EN | NT | Hebrews | Chapter 10 | Verse 6] You take no pleasure in burnt offerings and sacrifices for sin.
[OEB | EN | NT | Hebrews | Chapter 10 | Verse 7] So I said, ‘See, I have come’ (as is written of me in the pages of the book), ‘To do your will, God.’”
[OEB | EN | NT | Hebrews | Chapter 10 | Verse 8] First come the words – “You do not desire, nor do you take pleasure in, sacrifices, offerings, burnt offerings, and sacrifices for sin” (offerings regularly made under the Law),
[OEB | EN | NT | Hebrews | Chapter 10 | Verse 9] and then there is added – “See, I have come to do your will.” The former sacrifices are set aside to be replaced by the latter.
[OEB | EN | NT | Hebrews | Chapter 10 | Verse 10] And it is in the fulfilment of the will of God that we have been purified by the sacrifice, once and for all, of the body of Jesus Christ.
[OEB | EN | NT | Hebrews | Chapter 10 | Verse 11] Every other priest stands day after day at his ministrations, and offers the same sacrifices over and over again – sacrifices that can never take sins away.
[OEB | EN | NT | Hebrews | Chapter 10 | Verse 12] But, this priest, after he had offered one sacrifice for sins, which should serve for all time, “took his seat at the right hand of God,”
[OEB | EN | NT | Hebrews | Chapter 10 | Verse 13] and has since then been waiting “for his enemies to be put as a stool for his feet.”
[OEB | EN | NT | Hebrews | Chapter 10 | Verse 14] By a single offering he has made perfect for all time those who are being purified.
[OEB | EN | NT | Hebrews | Chapter 10 | Verse 15] We have also the testimony of the Holy Spirit. For, after saying –
[OEB | EN | NT | Hebrews | Chapter 10 | Verse 16] “‘This is the covenant that I will make with them after those days,’ says the Lord; ‘I will impress my laws on their hearts, and will inscribe them on their minds,’”
[OEB | EN | NT | Hebrews | Chapter 10 | Verse 17] then we have – “And their sins and their iniquities I will no longer remember.”
[OEB | EN | NT | Hebrews | Chapter 10 | Verse 18] And, when these are forgiven, there is no further need of an offering for sin.
[OEB | EN | NT | Hebrews | Chapter 10 | Verse 19] Therefore, friends, since we may enter the sanctuary with confidence, in virtue of the blood of Jesus,
[OEB | EN | NT | Hebrews | Chapter 10 | Verse 20] by the way which he inaugurated for us – a new and living way, a way through the sanctuary curtain (that is, his human nature);
[OEB | EN | NT | Hebrews | Chapter 10 | Verse 21] and, since we have in him “a great priest set over the house of God,”
[OEB | EN | NT | Hebrews | Chapter 10 | Verse 22] let us draw near to God in all sincerity of heart and in perfect faith, with our hearts purified by the sprinkled blood from all consciousness of wrong, and with our bodies washed with pure water.
[OEB | EN | NT | Hebrews | Chapter 10 | Verse 23] Let us maintain the confession of our hope unshaken, for he who has given us his promise will not fail us.
[OEB | EN | NT | Hebrews | Chapter 10 | Verse 24] Let us vie with one another in a rivalry of love and noble actions.
[OEB | EN | NT | Hebrews | Chapter 10 | Verse 25] And let us not, as some do, cease to meet together; but, on the contrary, let us encourage one another, and all the more, now that you see the day drawing near.
[OEB | EN | NT | Hebrews | Chapter 10 | Verse 26] Remember, if we sin wilfully after we have gained a full knowledge of the truth, there can be no further sacrifice for sin;
[OEB | EN | NT | Hebrews | Chapter 10 | Verse 27] there is only a fearful anticipation of judgment, and a burning indignation which will destroy all opponents.
[OEB | EN | NT | Hebrews | Chapter 10 | Verse 28] When someone disregarded the Law of Moses, they were, on the evidence of two or three witnesses, put to death without pity.
[OEB | EN | NT | Hebrews | Chapter 10 | Verse 29] How much worse then, think you, will be the punishment deserved by those who have trampled underfoot the Son of God, who have treated the blood that rendered the covenant valid – the blood by which they were purified – as if it were not holy, and who have outraged the Spirit of love?
[OEB | EN | NT | Hebrews | Chapter 10 | Verse 30] We know who it was that said – “It is for me to avenge, I will requite”; and again – “The Lord will judge his people.”
[OEB | EN | NT | Hebrews | Chapter 10 | Verse 31] It is a fearful thing to fall into the hands of the living God.
[OEB | EN | NT | Hebrews | Chapter 10 | Verse 32] Call to mind those early days in which, after you had received the light, you patiently underwent a long and painful conflict.
[OEB | EN | NT | Hebrews | Chapter 10 | Verse 33] Sometimes, in consequence of the taunts and injuries heaped on you, you became a public spectacle; and sometimes you suffered through having shown yourselves to be the friends of people who were in the same position in which you had been.
[OEB | EN | NT | Hebrews | Chapter 10 | Verse 34] For you not only sympathised with those who were in prison, but you even took the confiscation of your possessions joyfully, knowing, as you did, that you had in yourselves a greater possession and a lasting one.
[OEB | EN | NT | Hebrews | Chapter 10 | Verse 35] Do not, therefore, abandon the confidence that you have gained, for it has a great reward awaiting it.
[OEB | EN | NT | Hebrews | Chapter 10 | Verse 36] You still have need of patient endurance, in order that, when you have done God’s will, you may obtain the fulfilment of his promise.
[OEB | EN | NT | Hebrews | Chapter 10 | Verse 37] “For there is indeed but a very little while before he who is coming will have come, without delay;
[OEB | EN | NT | Hebrews | Chapter 10 | Verse 38] and through faith the righteous will find life, but, if anyone draws back, my heart can find no pleasure in them.”
[OEB | EN | NT | Hebrews | Chapter 10 | Verse 39] But we do not belong to those who draw back, to their ruin, but to those who have faith, to the saving of their souls.
