[ASV | EN | OT | Zephaniah | Chapter 1 | Verse 1] The word of Jehovah which came unto Zephaniah the son of Cushi, the son of Gedaliah, the son of Amariah, the son of Hezekiah, in the days of Josiah the son of Amon, king of Judah.
[ASV | EN | OT | Zephaniah | Chapter 1 | Verse 2] I will utterly consume all things from off the face of the ground, saith Jehovah.
[ASV | EN | OT | Zephaniah | Chapter 1 | Verse 3] I will consume man and beast; I will consume the birds of the heavens, and the fish of the sea, and the stumbling blocks with the wicked; and I will cut off man from off the face of the ground, saith Jehovah.
[ASV | EN | OT | Zephaniah | Chapter 1 | Verse 4] And I will stretch out my hand upon Judah, and upon all the inhabitants of Jerusalem; and I will cut off the remnant of Baal from this place, and the name of the Chemarim with the priests;
[ASV | EN | OT | Zephaniah | Chapter 1 | Verse 5] and them that worship the host of heaven upon the housetops; and them that worship, that swear to Jehovah and swear by Malcam;
[ASV | EN | OT | Zephaniah | Chapter 1 | Verse 6] and them that are turned back from following Jehovah; and those that have not sought Jehovah, nor inquired after him.
[ASV | EN | OT | Zephaniah | Chapter 1 | Verse 7] Hold thy peace at the presence of the Lord Jehovah; for the day of Jehovah is at hand: for Jehovah hath prepared a sacrifice, he hath consecrated his guests.
[ASV | EN | OT | Zephaniah | Chapter 1 | Verse 8] And it shall come to pass in the day of Jehovah’s sacrifice, that I will punish the princes, and the king’s sons, and all such as are clothed with foreign apparel.
[ASV | EN | OT | Zephaniah | Chapter 1 | Verse 9] And in that day I will punish all those that leap over the threshold, that fill their master’s house with violence and deceit.
[ASV | EN | OT | Zephaniah | Chapter 1 | Verse 10] And in that day, saith Jehovah, there shall be the noise of a cry from the fish gate, and a wailing from the second quarter, and a great crashing from the hills.
[ASV | EN | OT | Zephaniah | Chapter 1 | Verse 11] Wail, ye inhabitants of Maktesh; for all the people of Canaan are undone; all they that were laden with silver are cut off.
[ASV | EN | OT | Zephaniah | Chapter 1 | Verse 12] And it shall come to pass at that time, that I will search Jerusalem with lamps; and I will punish the men that are settled on their lees, that say in their heart, Jehovah will not do good, neither will he do evil.
[ASV | EN | OT | Zephaniah | Chapter 1 | Verse 13] And their wealth shall become a spoil, and their houses a desolation: yea, they shall build houses, but shall not inhabit them; and they shall plant vineyards, but shall not drink the wine thereof.
[ASV | EN | OT | Zephaniah | Chapter 1 | Verse 14] The great day of Jehovah is near, it is near and hasteth greatly, even the voice of the day of Jehovah; the mighty man crieth there bitterly.
[ASV | EN | OT | Zephaniah | Chapter 1 | Verse 15] That day is a day of wrath, a day of trouble and distress, a day of wasteness and desolation, a day of darkness and gloominess, a day of clouds and thick darkness,
[ASV | EN | OT | Zephaniah | Chapter 1 | Verse 16] a day of the trumpet and alarm, against the fortified cities, and against the high battlements.
[ASV | EN | OT | Zephaniah | Chapter 1 | Verse 17] And I will bring distress upon men, that they shall walk like blind men, because they have sinned against Jehovah; and their blood shall be poured out as dust, and their flesh as dung.
[ASV | EN | OT | Zephaniah | Chapter 1 | Verse 18] Neither their silver nor their gold shall be able to deliver them in the day of Jehovah’s wrath; but the whole land shall be devoured by the fire of his jealousy: for he will make an end, yea, a terrible end, of all them that dwell in the land.
