[DARBY | EN | NT | James | Chapter 4 | Verse 1] Whence [come] wars and whence fightings among you? [Is it] not thence, — from your pleasures, which war in your members?
[DARBY | EN | NT | James | Chapter 4 | Verse 2] Ye lust and have not: ye kill and are full of envy, and cannot obtain; ye fight and war; ye have not because ye ask not.
[DARBY | EN | NT | James | Chapter 4 | Verse 3] Ye ask and receive not, because ye ask evilly, that ye may consume [it] in your pleasures.
[DARBY | EN | NT | James | Chapter 4 | Verse 4] Adulteresses, know ye not that friendship with the world is enmity with God? Whoever therefore is minded to be [the] friend of the world is constituted enemy of God.
[DARBY | EN | NT | James | Chapter 4 | Verse 5] Think ye that the scripture speaks in vain? Does the Spirit which has taken his abode in us desire enviously?
[DARBY | EN | NT | James | Chapter 4 | Verse 6] But he gives more grace. Wherefore he says, God sets himself against [the] proud, but gives grace to [the] lowly.
[DARBY | EN | NT | James | Chapter 4 | Verse 7] Subject yourselves therefore to God. Resist the devil, and he will flee from you.
[DARBY | EN | NT | James | Chapter 4 | Verse 8] Draw near to God, and he will draw near to you. Cleanse [your] hands, sinners, and purify [your] hearts, ye double-minded.
[DARBY | EN | NT | James | Chapter 4 | Verse 9] Be wretched, and mourn, and weep: let your laughter be turned to mourning, and [your] joy to heaviness.
[DARBY | EN | NT | James | Chapter 4 | Verse 10] Humble yourselves before [the] Lord, and he shall exalt you.
[DARBY | EN | NT | James | Chapter 4 | Verse 11] Speak not against one another, brethren. He that speaks against [his] brother, or judges his brother, speaks against [the] law and judges [the] law. But if thou judgest [the] law, thou art not doer of [the] law, but judge.
[DARBY | EN | NT | James | Chapter 4 | Verse 12] One is the lawgiver and judge, who is able to save and to destroy: but who art thou who judgest thy neighbour?
[DARBY | EN | NT | James | Chapter 4 | Verse 13] Go to now, ye who say, To-day or to-morrow will we go into such a city and spend a year there, and traffic and make gain,
[DARBY | EN | NT | James | Chapter 4 | Verse 14] ye who do not know what will be on the morrow, ([for] what [is] your life? It is even a vapour, appearing for a little while, and then disappearing,)
[DARBY | EN | NT | James | Chapter 4 | Verse 15] instead of your saying, If the Lord should [so] will and we should live, we will also do this or that.
[DARBY | EN | NT | James | Chapter 4 | Verse 16] But now ye glory in your vauntings: all such glorying is evil.
[DARBY | EN | NT | James | Chapter 4 | Verse 17] To him therefore who knows how to do good, and does it not, to him it is sin.
