[WEB | EN | OT | Tobit | Chapter 10 | Verse 1] Tobit his father counted every day. When the days of the journey were expired, and they didn’t come,
[WEB | EN | OT | Tobit | Chapter 10 | Verse 2] he said, “Is he perchance detained? Or is Gabael perchance dead, and there is no one to give him the money?”
[WEB | EN | OT | Tobit | Chapter 10 | Verse 3] He was very grieved.
[WEB | EN | OT | Tobit | Chapter 10 | Verse 4] But his wife said to him, “The child has perished, seeing he waits long.” She began to bewail him, and said,
[WEB | EN | OT | Tobit | Chapter 10 | Verse 5] “I care about nothing, my child, since I have let you go, the light of my eyes.”
[WEB | EN | OT | Tobit | Chapter 10 | Verse 6] Tobit said to her, “Hold your peace. Don’t worry. He is in good health.”
[WEB | EN | OT | Tobit | Chapter 10 | Verse 7] And she said to him, “Hold your peace. Don’t deceive me. My child has perished.” And she went out every day into the way by which they went, and ate no bread in the day-time, and didn’t stop bewailing her son Tobias for whole nights, until the fourteen days of the wedding feast were expired, which Raguel had sworn that he should spend there. Then Tobias said to Raguel, “Send me away, for my father and my mother look no more to see me.”
[WEB | EN | OT | Tobit | Chapter 10 | Verse 8] But his father-in-law said to him, “Stay with me, and I will send to your father, and they will declare to him how things go with you.”
[WEB | EN | OT | Tobit | Chapter 10 | Verse 9] Tobias said, “No. Send me away to my father.”
[WEB | EN | OT | Tobit | Chapter 10 | Verse 10] Raguel arose, and gave him Sarah his wife, and half his goods, servants and cattle and money;
[WEB | EN | OT | Tobit | Chapter 10 | Verse 11] and he blessed them, and sent them away, saying, “The God of heaven will prosper you, my children, before I die.”
[WEB | EN | OT | Tobit | Chapter 10 | Verse 12] And he said to his daughter, “Honor your father-in-law and your mother-in-law. They are now your parents. Let me hear a good report of you.” Then he kissed her. Edna said to Tobias, “May the Lord of heaven restore you, dear brother, and grant to me that I may see your children of my daughter Sarah, that I may rejoice before the Lord. Behold, I commit my daughter to you in special trust. Don’t cause her grief.
