[WEB | EN | OT | Tobit | Chapter 7 | Verse 1] They came to Ecbatana, and arrived at the house of Raguel. But Sarah met them; and she greeted them, and they her. Then she brought them into the house.
[WEB | EN | OT | Tobit | Chapter 7 | Verse 2] Raguel said to Edna his wife, “This young man really resembles Tobit my cousin!”
[WEB | EN | OT | Tobit | Chapter 7 | Verse 3] And Raguel asked them, “Where are you two from, kindred?” They said to him, “We are of the sons of Naphtali, who are captives in Nineveh.”
[WEB | EN | OT | Tobit | Chapter 7 | Verse 4] He said to them, “Do you know Tobit our brother?” They said, “We know him.” Then he said to them, “Is he in good health?”
[WEB | EN | OT | Tobit | Chapter 7 | Verse 5] They said, “He is both alive, and in good health.” Tobias said, “He is my father.”
[WEB | EN | OT | Tobit | Chapter 7 | Verse 6] And Raguel sprang up, and kissed him, wept,
[WEB | EN | OT | Tobit | Chapter 7 | Verse 7] blessed him, and said to him, “You are the son of an honest and good man.” When he had heard that Tobit had lost his sight, he was grieved, and wept;
[WEB | EN | OT | Tobit | Chapter 7 | Verse 8] and Edna his wife and Sarah his daughter wept. They received them gladly; and they killed a ram of the flock, and served them meat. But Tobias said to Raphael, “Brother Azarias, speak of those things of which you talked about in the way, and let the matter be finished.”
[WEB | EN | OT | Tobit | Chapter 7 | Verse 9] So he communicated the thing to Raguel. Raguel said to Tobias, “Eat, drink, and make merry:
[WEB | EN | OT | Tobit | Chapter 7 | Verse 10] for it belongs to you to take my child. However I will tell you the truth.
[WEB | EN | OT | Tobit | Chapter 7 | Verse 11] I have given my child to seven men of our relatives, and whenever they came in to her, they died in the night. But for the present be merry.” And Tobias said, “I will taste nothing here, until you all make a covenant and enter into that covenant with me.”
[WEB | EN | OT | Tobit | Chapter 7 | Verse 12] Raguel said, “Take her to yourself from now on according to custom. You are her relative, and she is yours. The merciful God will give all good success to you.”
[WEB | EN | OT | Tobit | Chapter 7 | Verse 13] And he called his daughter Sarah, and took her by the hand, and gave her to be wife of Tobias, and said, “Behold, take her to yourself after the law of Moses, and lead her away to your father.” And he blessed them.
[WEB | EN | OT | Tobit | Chapter 7 | Verse 14] He called Edna his wife, then took a book, wrote a contract, and sealed it.
[WEB | EN | OT | Tobit | Chapter 7 | Verse 15] Then they began to eat.
[WEB | EN | OT | Tobit | Chapter 7 | Verse 16] And Raguel called his wife Edna, and said to her, “Sister, prepare the other chamber, and bring her in there.”
[WEB | EN | OT | Tobit | Chapter 7 | Verse 17] She did as he asked her, and brought her in there. She wept, and she received the tears of her daughter, and said to her,
