[WEB | EN | OT | Tobit | Chapter 5 | Verse 1] Then Tobias answered and said to him, “Father, I will do all things, whatever you have commanded me.
[WEB | EN | OT | Tobit | Chapter 5 | Verse 2] But how could I receive the money, since I don’t know him?”
[WEB | EN | OT | Tobit | Chapter 5 | Verse 3] He gave him the handwriting, and said to him, “Seek a man who will go with you, and I will give him wages, while I still live; and go and receive the money.”
[WEB | EN | OT | Tobit | Chapter 5 | Verse 4] He went to seek a man, and found Raphael who was an angel;
[WEB | EN | OT | Tobit | Chapter 5 | Verse 5] and he didn’t know it. He said to him, “Can I go with you to Rages of Media? Do you know those places well?”
[WEB | EN | OT | Tobit | Chapter 5 | Verse 6] The angel said to him, “I will go with you. I know the way well. I have lodged with our brother Gabael.”
[WEB | EN | OT | Tobit | Chapter 5 | Verse 7] Tobias said to him, “Wait for me, and I will tell my father.”
[WEB | EN | OT | Tobit | Chapter 5 | Verse 8] He said to him, “Go, and don’t wait. And he went in and said to his father, “Behold, I have found someone who will go with me.” But he said, “Call him to me, that I may know of what tribe he is, and whether he be a trustworthy man to go with you.”
[WEB | EN | OT | Tobit | Chapter 5 | Verse 9] So he called him, and he came in, and they saluted one another.
[WEB | EN | OT | Tobit | Chapter 5 | Verse 10] And Tobit said to him, “Brother, of what tribe and of what family are you? Tell me.”
[WEB | EN | OT | Tobit | Chapter 5 | Verse 11] He said to him, “Do you seek a tribe and a family, or a hired man which will go with your son?” And Tobit said to him, “I want to know, brother, your kindred and your name.”
[WEB | EN | OT | Tobit | Chapter 5 | Verse 12] And he said, “I am Azarias, the son of Ananias the great, of your kindred.”
[WEB | EN | OT | Tobit | Chapter 5 | Verse 13] And he said to him, “Welcome, brother. Don’t be angry with me, because I sought to know your tribe and family. You are my brother, of an honest and good lineage; for I knew Ananias and Jathan, the sons of Shemaiah the great, when we went together to Jerusalem to worship, and offered the firstborn, and the tenths of our increase; and they didn’t go astray in the error of our kindred. My brother, you are of a great stock.
[WEB | EN | OT | Tobit | Chapter 5 | Verse 14] But tell me, what wages shall I give you? A drachma a day, and those things that be necessary for you, as to my son?
[WEB | EN | OT | Tobit | Chapter 5 | Verse 15] And moreover, if you both return safe and sound, I will add something to your wages.”
[WEB | EN | OT | Tobit | Chapter 5 | Verse 16] And so they agreed. And he said to Tobias, “Prepare yourself for the journey. May God prosper you.” So his son prepared what was needful for the journey, and his father said to him, “Go with this man; but God, who dwells in heaven, will prosper your journey. May his angel go with you.” Then they both departed, and the young man’s dog went with them.
[WEB | EN | OT | Tobit | Chapter 5 | Verse 17] But Anna his mother wept, and said to Tobit, “Why have you sent away our child? Isn’t he the staff of our hand, in going in and out before us?
[WEB | EN | OT | Tobit | Chapter 5 | Verse 18] Don’t be greedy to add money to money; but let it be as refuse compared to our child.
[WEB | EN | OT | Tobit | Chapter 5 | Verse 19] For what the Lord has given us to live is enough for us.”
[WEB | EN | OT | Tobit | Chapter 5 | Verse 20] Tobit said to her, “Don’t worry, my sister. He will return safe and sound, and your eyes will see him.
[WEB | EN | OT | Tobit | Chapter 5 | Verse 21] For a good angel will go with him. His journey will be prospered, and he will return safe and sound.”
[WEB | EN | OT | Tobit | Chapter 5 | Verse 22] So she stopped weeping.
