[KJV | EN | OT | Judges | Chapter 5 | Verse 1] Then sang Deborah and Barak the son of Abinoam on that day, saying,
[KJV | EN | OT | Judges | Chapter 5 | Verse 2] Praise ye the Lord for the avenging of Israel, When the people willingly offered themselves.
[KJV | EN | OT | Judges | Chapter 5 | Verse 3] Hear, O ye kings; give ear, O ye princes; I, even I, will sing unto the Lord; I will sing praise to the Lord God of Israel.
[KJV | EN | OT | Judges | Chapter 5 | Verse 4] Lord, when thou wentest out of Seir, When thou marchedst out of the field of Edom, The earth trembled, and the heavens dropped, The clouds also dropped water.
[KJV | EN | OT | Judges | Chapter 5 | Verse 5] The mountains melted from before the Lord, Even that Sinai from before the Lord God of Israel.
[KJV | EN | OT | Judges | Chapter 5 | Verse 6] In the days of Shamgar the son of Anath, In the days of Jael, the highways were unoccupied, And the travellers walked through byways.
[KJV | EN | OT | Judges | Chapter 5 | Verse 7] The inhabitants of the villages ceased, they ceased in Israel, Until that I Deborah arose, That I arose a mother in Israel.
[KJV | EN | OT | Judges | Chapter 5 | Verse 8] They chose new gods; Then was war in the gates: Was there a shield or spear seen Among forty thousand in Israel?
[KJV | EN | OT | Judges | Chapter 5 | Verse 9] My heart is toward the governors of Israel, That offered themselves willingly among the people. Bless ye the Lord.
[KJV | EN | OT | Judges | Chapter 5 | Verse 10] Speak, ye that ride on white asses, Ye that sit in judgment, And walk by the way.
[KJV | EN | OT | Judges | Chapter 5 | Verse 11] They that are delivered from the noise of archers in the places of drawing water, There shall they rehearse the righteous acts of the Lord, Even the righteous acts towards the inhabitants of his villages in Israel: Then shall the people of the Lord go down to the gates.
[KJV | EN | OT | Judges | Chapter 5 | Verse 12] Awake, awake, Deborah: Awake, awake, utter a song: Arise, Barak, And lead thy captivity captive, thou son of Abinoam.
[KJV | EN | OT | Judges | Chapter 5 | Verse 13] Then he made him that remaineth have dominion over the nobles among the people: The Lord made me have dominion over the mighty.
[KJV | EN | OT | Judges | Chapter 5 | Verse 14] Out of Ephraim was there a root of them against Amalek; After thee, Benjamin, among thy people; Out of Machir came down governors, And out of Zebulun they that handle the pen of the writer.
[KJV | EN | OT | Judges | Chapter 5 | Verse 15] And the princes of Issachar were with Deborah; Even Issachar, and also Barak: He was sent on foot into the valley. For the divisions of Reuben there were great thoughts of heart.
[KJV | EN | OT | Judges | Chapter 5 | Verse 16] Why abodest thou among the sheepfolds, To hear the bleatings of the flocks? For the divisions of Reuben there were great searchings of heart.
[KJV | EN | OT | Judges | Chapter 5 | Verse 17] Gilead abode beyond Jordan: And why did Dan remain in ships? Asher continued on the sea shore, And abode in his breaches.
[KJV | EN | OT | Judges | Chapter 5 | Verse 18] Zebulun and Naphtali were a people that jeoparded their lives unto the death In the high places of the field.
[KJV | EN | OT | Judges | Chapter 5 | Verse 19] The kings came and fought, Then fought the kings of Canaan In Taanach by the waters of Megiddo; They took no gain of money.
[KJV | EN | OT | Judges | Chapter 5 | Verse 20] They fought from heaven; The stars in their courses fought against Sisera.
[KJV | EN | OT | Judges | Chapter 5 | Verse 21] The river of Kishon swept them away, That ancient river, the river Kishon. O my soul, thou hast trodden down strength.
[KJV | EN | OT | Judges | Chapter 5 | Verse 22] Then were the horsehoofs broken by the means of the pransings, The pransings of their mighty ones.
[KJV | EN | OT | Judges | Chapter 5 | Verse 23] Curse ye Meroz, said the angel of the Lord, Curse ye bitterly the inhabitants thereof; Because they came not to the help of the Lord, To the help of the Lord against the mighty.
[KJV | EN | OT | Judges | Chapter 5 | Verse 24] Blessed above women shall Jael the wife of Heber the Kenite be, Blessed shall she be above women in the tent.
[KJV | EN | OT | Judges | Chapter 5 | Verse 25] He asked water, and she gave him milk; She brought forth butter in a lordly dish.
[KJV | EN | OT | Judges | Chapter 5 | Verse 26] She put her hand to the nail, And her right hand to the workmen’s hammer; And with the hammer she smote Sisera, she smote off his head, When she had pierced and stricken through his temples.
[KJV | EN | OT | Judges | Chapter 5 | Verse 27] At her feet he bowed, he fell, he lay down: At her feet he bowed, he fell: Where he bowed, there he fell down dead.
[KJV | EN | OT | Judges | Chapter 5 | Verse 28] The mother of Sisera looked out at a window, And cried through the lattice, Why is his chariot so long in coming? Why tarry the wheels of his chariots?
[KJV | EN | OT | Judges | Chapter 5 | Verse 29] Her wise ladies answered her, Yea, she returned answer to herself,
[KJV | EN | OT | Judges | Chapter 5 | Verse 30] Have they not sped? have they not divided the prey; To every man a damsel or two; To Sisera a prey of divers colours, A prey of divers colours of needlework, Of divers colours of needlework on both sides, Meet for the necks of them that take the spoil?
[KJV | EN | OT | Judges | Chapter 5 | Verse 31] So let all thine enemies perish, O Lord: But let them that love him be as the sun when he goeth forth in his might. And the land had rest forty years.
