[IRV | PA | NT | James | Chapter 2 | Verse 1] ਹੇ ਮੇਰੇ ਭਰਾਵੋ, ਸਾਡੇ ਪ੍ਰਤਾਪਵਾਨ ਪ੍ਰਭੂ ਯਿਸੂ ਮਸੀਹ ਉੱਤੇ ਤੁਹਾਡਾ ਵਿਸ਼ਵਾਸ ਕਿਸੇ ਤਰ੍ਹਾਂ ਦੇ ਪੱਖਪਾਤ ਨਾਲ ਨਾ ਹੋਵੇ।
[IRV | PA | NT | James | Chapter 2 | Verse 2] ਕਿਉਂਕਿ ਜੇ ਕੋਈ ਮਨੁੱਖ ਸੋਨੇ ਦੀ ਅੰਗੂਠੀ ਅਤੇ ਸੁੰਦਰ ਬਸਤਰ ਪਾ ਕੇ ਤੁਹਾਡੀ ਸਭਾ ਵਿੱਚ ਆਵੇ ਅਤੇ ਇੱਕ ਗਰੀਬ ਵੀ ਮੈਲ਼ੇ ਬਸਤਰ ਪਾ ਕੇ ਆਵੇ,।
[IRV | PA | NT | James | Chapter 2 | Verse 3] ਅਤੇ ਤੁਸੀਂ ਉਸ ਸੁੰਦਰ ਬਸਤਰਾਂ ਵਾਲੇ ਦਾ ਲਿਹਾਜ਼ ਕਰੋ ਅਤੇ ਉਸ ਨੂੰ ਕਹੋ, ਇੱਥੇ ਚੰਗੀ ਥਾਂ ਆ ਕੇ ਬੈਠ ਅਤੇ ਉਸ ਗਰੀਬ ਨੂੰ ਕਹੋ ਕਿ ਤੂੰ ਇੱਥੇ ਖੜ੍ਹਾ ਰਹਿ, ਜਾ ਮੇਰੇ ਪੈਰ ਰੱਖਣ ਦੀ ਚੌਂਕੀ ਕੋਲ ਬੈਠ।
[IRV | PA | NT | James | Chapter 2 | Verse 4] ਤਾਂ ਕੀ ਤੁਸੀਂ ਆਪਣਿਆਂ ਮਨਾਂ ਵਿੱਚ ਭੇਦਭਾਵ ਨਹੀਂ ਕੀਤਾ ਅਤੇ ਬੁਰਿਆਈ ਸੋਚਣ ਵਾਲੇ ਨਿਆਈਂ ਨਹੀਂ ਬਣੇ?
[IRV | PA | NT | James | Chapter 2 | Verse 5] ਹੇ ਮੇਰੇ ਪਿਆਰੇ ਭਰਾਵੋ, ਸੁਣੋ ਕੀ ਪਰਮੇਸ਼ੁਰ ਨੇ ਉਹਨਾਂ ਨੂੰ ਨਹੀਂ ਚੁਣਿਆ ਜਿਹੜੇ ਸੰਸਾਰ ਦੀ ਵੱਲੋਂ ਗਰੀਬ ਹਨ ਤਾਂ ਜੋ ਉਹ ਵਿਸ਼ਵਾਸ ਵਿੱਚ ਧਨੀ, ਅਤੇ ਉਸ ਰਾਜ ਦੇ ਅਧਿਕਾਰੀ ਹੋਣ ਜਿਸ ਦਾ ਵਾਇਦਾ ਉਹ ਨੇ ਆਪਣੇ ਪਿਆਰ ਕਰਨ ਵਾਲਿਆਂ ਨੂੰ ਦਿੱਤਾ ਸੀ?
[IRV | PA | NT | James | Chapter 2 | Verse 6] ਪਰ ਤੁਸੀਂ ਉਸ ਗਰੀਬ ਦਾ ਅਪਮਾਨ ਕੀਤਾ! ਭਲਾ, ਧਨਵਾਨ ਤੁਹਾਡੇ ਉੱਤੇ ਜ਼ੁਲਮ ਨਹੀਂ ਕਰਦੇ? ਅਤੇ ਆਪੇ ਤੁਹਾਨੂੰ ਅਦਾਲਤਾਂ ਵਿੱਚ ਖਿੱਚ ਕੇ ਨਹੀਂ ਲੈ ਜਾਂਦੇ?
[IRV | PA | NT | James | Chapter 2 | Verse 7] ਭਲਾ, ਧਨਵਾਨ ਉਸ ਉੱਤਮ ਨਾਮ ਦੀ ਨਿੰਦਿਆ ਨਹੀਂ ਕਰਦੇ ਜਿਸ ਤੋਂ ਤੁਸੀਂ ਜਾਣੇ ਜਾਂਦੇ ਹੋ?
[IRV | PA | NT | James | Chapter 2 | Verse 8] ਪਰ ਜੇ ਤੁਸੀਂ ਉਸ ਸ਼ਾਹੀ ਹੁਕਮ ਨੂੰ ਪੂਰਾ ਕਰਦੇ ਹੋ ਜਿਵੇਂ ਪਵਿੱਤਰ ਗ੍ਰੰਥ ਵਿੱਚ ਲਿਖਿਆ ਹੈ, ਕਿ ਤੂੰ ਆਪਣੇ ਗੁਆਂਢੀ ਨੂੰ ਆਪਣੇ ਜਿਹਾ ਪਿਆਰ ਕਰ, ਤਾਂ ਤੁਸੀਂ ਭਲਾ ਕਰਦੇ ਹੋ।
[IRV | PA | NT | James | Chapter 2 | Verse 9] ਪਰ ਜੇ ਤੁਸੀਂ ਪੱਖਪਾਤ ਕਰਦੇ ਹੋ ਤਾਂ ਪਾਪ ਕਰਦੇ ਹੋ ਅਤੇ ਅਪਰਾਧੀ ਬਣ ਕੇ ਬਿਵਸਥਾ ਤੋਂ ਦੋਸ਼ੀ ਠਹਿਰਾਏ ਜਾਂਦੇ ਹੋ।
[IRV | PA | NT | James | Chapter 2 | Verse 10] ਜੇ ਕੋਈ ਸਾਰੀ ਬਿਵਸਥਾ ਦੀ ਪਾਲਨਾ ਕਰੇ ਪਰ ਇੱਕ ਗੱਲ ਵਿੱਚ ਭੁੱਲ ਜਾਵੇ ਤਾਂ ਉਹ ਸਾਰੀਆਂ ਗੱਲਾਂ ਵਿੱਚ ਦੋਸ਼ੀ ਹੋਇਆ।
[IRV | PA | NT | James | Chapter 2 | Verse 11] ਕਿਉਂਕਿ ਜਿਸ ਨੇ ਕਿਹਾ ਕਿ ਵਿਭਚਾਰ ਨਾ ਕਰ, ਉਸ ਨੇ ਇਹ ਵੀ ਕਿਹਾ ਕਿ ਖੂਨ ਨਾ ਕਰ। ਸੋ ਜੇ ਤੂੰ ਵਿਭਚਾਰ ਨਾ ਕੀਤਾ ਪਰ ਖੂਨ ਕੀਤਾ ਤਾਂ ਬਿਵਸਥਾ ਦੀ ਉਲੰਘਣਾ ਕਰਨ ਵਾਲਾ ਹੋਇਆ।
