[IRV | BN | NT | Hebrews | Chapter 1 | Verse 1] সর্বশক্তিমান ঈশ্বর অতীতে নানাভাবে ও অনেকবার ভাববাদীদের মাধ্যমে আমাদের পিতৃপুরুষদের সঙ্গে কথা বলেছিলেন,
[IRV | BN | NT | Hebrews | Chapter 1 | Verse 2] আর এই দিনের ঈশ্বর পুত্রের মাধ্যমে আমাদের সঙ্গে কথা বলেছেন, তিনি তাঁর পুত্রকেই সব কিছুর উত্তরাধিকারী করেছেন এবং তাঁর মাধ্যমে পৃথিবী সৃষ্টি করেছেন।
[IRV | BN | NT | Hebrews | Chapter 1 | Verse 3] তাঁর পুত্রই হল তাঁর মহিমার প্রকাশ ও সারমর্মের চরিত্র এবং নিজের ক্ষমতার বাক্যের মাধ্যমে সব কিছু বজায় রেখেছেন। পরে তিনি সব পাপ পরিষ্কার করেছেন, তিনি স্বর্গে ঈশ্বরের মহিমার ডানদিকে বসলেন।
[IRV | BN | NT | Hebrews | Chapter 1 | Verse 4] তিনি স্বর্গ দূতদের থেকে শ্রেষ্ঠ, তেমনি তাঁদের নামের থেকে তিনি আরো মহান।
[IRV | BN | NT | Hebrews | Chapter 1 | Verse 5] কারণ ঈশ্বর ঐ দূতদের মধ্যে কাকে কোন্ দিনের বলেছেন, “তুমি আমার পুত্র, আমি আজ তোমার পিতা হয়েছি,” আবার, “আমি তাঁর পিতা হব এবং তিনি আমার পুত্র হবেন”?
[IRV | BN | NT | Hebrews | Chapter 1 | Verse 6] পুনরায়, যখন ঈশ্বর প্রথমজাতকে পৃথিবীতে আনেন, তখন বলেন, “ঈশ্বরের সব স্বর্গদূত তাঁর উপাসনা করুক।”
[IRV | BN | NT | Hebrews | Chapter 1 | Verse 7] আর স্বর্গীয় দূতের বিষয়ে ঈশ্বর বলেন, “ঈশ্বর নিজের দূতদের আত্মার তৈরী করে, নিজের দাসদের আগুনের শিখার মত করে।”
[IRV | BN | NT | Hebrews | Chapter 1 | Verse 8] কিন্তু পুত্রের বিষয়ে তিনি বলেন, “হে ঈশ্বর, তোমার সিংহাসন চিরকাল স্থায়ী; আর সত্যের শাসনদন্ডই তাঁর রাজ্যের শাসনদন্ড।
[IRV | BN | NT | Hebrews | Chapter 1 | Verse 9] তুমি ন্যায়কে ভালবেসেছ ও অধর্মকে ঘৃণা করেছ; এই কারণ ঈশ্বর, তোমার ঈশ্বর, তোমাকে অভিষিক্ত করেছেন, তোমার অংশীদারদের থেকে বেশি পরিমাণে আনন্দিত করেছে।”
[IRV | BN | NT | Hebrews | Chapter 1 | Verse 10] আর, “হে প্রভু, তুমিই আদিতে পৃথিবীর ভিত্তিমূল স্থাপন করেছ, স্বর্গও তোমার হাতের সৃষ্টি।
[IRV | BN | NT | Hebrews | Chapter 1 | Verse 11] তারা বিনষ্ট হবে, কিন্তু তুমিই নিত্যস্থায়ী; তারা সব পোশাকের মত পুরানো হয়ে যাবে,
[IRV | BN | NT | Hebrews | Chapter 1 | Verse 12] তুমি পোশাকের মত সে সব জড়াবে, পোশাকের মত জড়াবে, আর সে সবের পরিবর্তন হবে; কিন্তু তুমি যে, সেই আছ এবং তোমার বছর সব কখনও শেষ হবে না।”
[IRV | BN | NT | Hebrews | Chapter 1 | Verse 13] কিন্তু ঈশ্বর দূতদের মধ্যে কাকে কোন্ দিনের বলেছেন, “তুমি আমার ডানদিকে বস, যতক্ষণ না আমি তোমার শত্রুদেরকে তোমার পদানত না করি”?
[IRV | BN | NT | Hebrews | Chapter 1 | Verse 14] সব দূতের আত্মাকে কি আমাকে আরাধনা করতে পাঠানো হয়নি? যারা পরিত্রানের অধিকারী হবে, ওরা কি তাদের পরিচর্য্যার জন্য প্রেরিত না?
