[ERV | EN | OT | Nehemiah | Chapter 12 | Verse 1] Now these are the priests and the Levites that went up with Zerubbabel the son of Shealtiel, and Jeshua: Seraiah, Jeremiah, Ezra;
[ERV | EN | OT | Nehemiah | Chapter 12 | Verse 2] Amariah, Malluch, Hattush;
[ERV | EN | OT | Nehemiah | Chapter 12 | Verse 3] Shecaniah, Rehum, Meremoth;
[ERV | EN | OT | Nehemiah | Chapter 12 | Verse 4] Iddo, Ginnethoi, Abijah;
[ERV | EN | OT | Nehemiah | Chapter 12 | Verse 5] Mijamin, Maadiah, Bilgah;
[ERV | EN | OT | Nehemiah | Chapter 12 | Verse 6] Shemaiah, and Joiarib, Jedaiah;
[ERV | EN | OT | Nehemiah | Chapter 12 | Verse 7] Sallu, Amok, Hilkiah, Jedaiah. These were the chiefs of the priests and of their brethren in the days of Jeshua.
[ERV | EN | OT | Nehemiah | Chapter 12 | Verse 8] Moreover the Levites: Jeshua, Binnui, Kadmiel, Sherebiah, Judah, and Mattaniah, which was over the thanksgiving, he and his brethren.
[ERV | EN | OT | Nehemiah | Chapter 12 | Verse 9] Also Bakbukiah and Unno, their brethren, were over against them in wards.
[ERV | EN | OT | Nehemiah | Chapter 12 | Verse 10] And Jeshua begat Joiakim, and Joiakim begat Eliashib, and Eliashib begat Joiada,
[ERV | EN | OT | Nehemiah | Chapter 12 | Verse 11] and Joiada begat Jonathan, and Jonathan begat Jaddua.
[ERV | EN | OT | Nehemiah | Chapter 12 | Verse 12] And in the days of Joiakim were priests, heads of fathers’ houses: of Seraiah, Meraiah; of Jeremiah, Hananiah;
[ERV | EN | OT | Nehemiah | Chapter 12 | Verse 13] of Ezra, Meshullam; of Amariah, Jehohanan;
[ERV | EN | OT | Nehemiah | Chapter 12 | Verse 14] of Malluchi, Jonathan; of Shebaniah, Joseph;
[ERV | EN | OT | Nehemiah | Chapter 12 | Verse 15] of Harim, Adna; of Meraioth, Helkai;
[ERV | EN | OT | Nehemiah | Chapter 12 | Verse 16] of Iddo, Zechariah; of Gennethon, Meshullam;
[ERV | EN | OT | Nehemiah | Chapter 12 | Verse 17] of Abijah, Zichri; of Miniamin, of Moadiah, Piltai;
[ERV | EN | OT | Nehemiah | Chapter 12 | Verse 18] of Bilgah, Shammua; of Shemaiah, Jehonathan;
[ERV | EN | OT | Nehemiah | Chapter 12 | Verse 19] and of Joiarib, Mattenai; of Jedaiah, Uzzi;
[ERV | EN | OT | Nehemiah | Chapter 12 | Verse 20] of Sallai, Kallai; of Amok, Eber;
[ERV | EN | OT | Nehemiah | Chapter 12 | Verse 21] of Hilkiah, Hashabiah; of Jedaiah, Nethanel.
[ERV | EN | OT | Nehemiah | Chapter 12 | Verse 22] The Levites in the days of Eliashib, Joiada, and Johanan, and Jaddua, were recorded heads of fathers’ houses: also the priests, in the reign of Darius the Persian.
[ERV | EN | OT | Nehemiah | Chapter 12 | Verse 23] The sons of Levi, heads of fathers’ houses, were written in the book of the chronicles, even until the days of Johanan the son of Eliashib.
[ERV | EN | OT | Nehemiah | Chapter 12 | Verse 24] And the chiefs of the Levites: Hashabiah, Sherebiah, and Jeshua the son of Kadmiel, with their brethren over against them, to praise and give thanks, according to the commandment of David the man of God, ward against ward.
[ERV | EN | OT | Nehemiah | Chapter 12 | Verse 25] Mattaniah, and Bakbukiah, Obadiah, Meshullam, Talmon, Akkub, were porters keeping the ward at the storehouses of the gates.
[ERV | EN | OT | Nehemiah | Chapter 12 | Verse 26] These were in the days of Joiakim the son of Jeshua, the son of Jozadak, and in the days of Nehemiah the governor, and of Ezra the priest the scribe.
[ERV | EN | OT | Nehemiah | Chapter 12 | Verse 27] And at the dedication of the wall of Jerusalem they sought the Levites out of all their places, to bring them to Jerusalem, to keep the dedication, with gladness, both with thanksgivings, and with singing, with cymbals, psalteries, and with harps.
[ERV | EN | OT | Nehemiah | Chapter 12 | Verse 28] And the sons of the singers gathered themselves together, both out of the plain round about Jerusalem, and from the villages of the Netophathites;
[ERV | EN | OT | Nehemiah | Chapter 12 | Verse 29] also from Beth-gilgal, and out of the fields of Geba and Azmaveth: for the singers had builded them villages round about Jerusalem.
[ERV | EN | OT | Nehemiah | Chapter 12 | Verse 30] And the priests and the Levites purified themselves; and they purified the people, and the gates, and the wall.
[ERV | EN | OT | Nehemiah | Chapter 12 | Verse 31] Then I brought up the princes of Judah upon the wall, and appointed two great companies that gave thanks and went in procession; whereof one went on the right hand upon the wall toward the dung gate:
[ERV | EN | OT | Nehemiah | Chapter 12 | Verse 32] and after them went Hoshaiah, and half of the princes of Judah,
[ERV | EN | OT | Nehemiah | Chapter 12 | Verse 33] and Azariah, Ezra, and Meshullam,
[ERV | EN | OT | Nehemiah | Chapter 12 | Verse 34] Judah, and Benjamin, and Shemaiah, and Jeremiah,
