[ERV | EN | OT | Nehemiah | Chapter 7 | Verse 1] Now it came to pass, when the wall was built, and I had set up the doors, and the porters and the singers and the Levites were appointed,
[ERV | EN | OT | Nehemiah | Chapter 7 | Verse 2] that I gave my brother Hanani, and Hananiah the governor of the castle, charge over Jerusalem: for he was a faithful man, and feared God above many.
[ERV | EN | OT | Nehemiah | Chapter 7 | Verse 3] And I said unto them, Let not the gates of Jerusalem be opened until the sun be hot; and while they stand on guard, let them shut the doors, and bar ye them: and appoint watches of the inhabitants of Jerusalem, every one in his watch, and every one to be over against his house.
[ERV | EN | OT | Nehemiah | Chapter 7 | Verse 4] Now the city was wide and large: but the people were few therein, and the houses were not builded.
[ERV | EN | OT | Nehemiah | Chapter 7 | Verse 5] And my God put into my heart to gather together the nobles, and the rulers, and the people, that they might be reckoned by genealogy. And I found the book of the genealogy of them which came up at the first, and I found written therein:
[ERV | EN | OT | Nehemiah | Chapter 7 | Verse 6] These are the children of the province, that went up out of the captivity of those that had been carried away, whom Nebuchadnezzar the king of Babylon had carried away, and that returned unto Jerusalem and to Judah, every one unto his city;
[ERV | EN | OT | Nehemiah | Chapter 7 | Verse 7] who came with Zerubbabel, Jeshua, Nehemiah, Azariah, Raamiah, Nahamani, Mordecai, Bilshan, Mispereth, Bigvai, Nehum, Baanah. The number of the men of the people of Israel:
[ERV | EN | OT | Nehemiah | Chapter 7 | Verse 8] The children of Parosh, two thousand an hundred and seventy and two.
[ERV | EN | OT | Nehemiah | Chapter 7 | Verse 9] The children of Shephatiah, three hundred seventy and two.
[ERV | EN | OT | Nehemiah | Chapter 7 | Verse 10] The children of Arah, six hundred fifty and two.
[ERV | EN | OT | Nehemiah | Chapter 7 | Verse 11] The children of Pahath-moab, of the children of Jeshua and Joab, two thousand and eight hundred and eighteen.
[ERV | EN | OT | Nehemiah | Chapter 7 | Verse 12] The children of Elam, a thousand two hundred fifty and four.
[ERV | EN | OT | Nehemiah | Chapter 7 | Verse 13] The children of Zattu, eight hundred forty and five.
[ERV | EN | OT | Nehemiah | Chapter 7 | Verse 14] The children of Zaccai, seven hundred and threescore.
[ERV | EN | OT | Nehemiah | Chapter 7 | Verse 15] The children of Binnui, six hundred forty and eight.
[ERV | EN | OT | Nehemiah | Chapter 7 | Verse 16] The children of Bebai, six hundred twenty and eight.
[ERV | EN | OT | Nehemiah | Chapter 7 | Verse 17] The children of Azgad, two thousand three hundred twenty and two.
[ERV | EN | OT | Nehemiah | Chapter 7 | Verse 18] The children of Adonikam, six hundred threescore and seven.
[ERV | EN | OT | Nehemiah | Chapter 7 | Verse 19] The children of Bigvai, two thousand threescore and seven.
[ERV | EN | OT | Nehemiah | Chapter 7 | Verse 20] The children of Adin, six hundred fifty and five.
[ERV | EN | OT | Nehemiah | Chapter 7 | Verse 21] The children of Ater, of Hezekiah, ninety and eight.
[ERV | EN | OT | Nehemiah | Chapter 7 | Verse 22] The children of Hashum, three hundred twenty and eight.
[ERV | EN | OT | Nehemiah | Chapter 7 | Verse 23] The children of Bezai, three hundred twenty and four.
[ERV | EN | OT | Nehemiah | Chapter 7 | Verse 24] The children of Hariph, an hundred and twelve.
[ERV | EN | OT | Nehemiah | Chapter 7 | Verse 25] The children of Gibeon, ninety and five.
[ERV | EN | OT | Nehemiah | Chapter 7 | Verse 26] The men of Beth-lehem and Netophah, an hundred fourscore and eight.
[ERV | EN | OT | Nehemiah | Chapter 7 | Verse 27] The men of Anathoth, an hundred twenty and eight.
[ERV | EN | OT | Nehemiah | Chapter 7 | Verse 28] The men of Beth-azmaveth, forty and two.
[ERV | EN | OT | Nehemiah | Chapter 7 | Verse 29] The men of Kirjath-jearim, Chephirah, and Beeroth, seven hundred forty and three.
[ERV | EN | OT | Nehemiah | Chapter 7 | Verse 30] The men of Ramah and Geba, six hundred twenty and one.
[ERV | EN | OT | Nehemiah | Chapter 7 | Verse 31] The men of Michmas, an hundred and twenty and two.
[ERV | EN | OT | Nehemiah | Chapter 7 | Verse 32] The men of Beth-el and Ai, an hundred twenty and three.
[ERV | EN | OT | Nehemiah | Chapter 7 | Verse 33] The men of the other Nebo, fifty and two.
