[IRV | MR | OT | Joshua | Chapter 4 | Verse 1] सर्व लोक यार्देन पार करून गेले, तेव्हा परमेश्वर यहोशवाला म्हणाला,
[IRV | MR | OT | Joshua | Chapter 4 | Verse 2] प्रत्येक वंशातून एक असे बारा पुरुष तू लोकांमधून निवड,
[IRV | MR | OT | Joshua | Chapter 4 | Verse 3] आणि त्यांना अशी आज्ञा देऊन सांग, “यार्देनेच्या मध्यभागी ज्या कोरड्या जमिनीवर याजक उभे होते तेथून बारा धोंडे उचलून आपल्याबरोबर पलीकडे घेऊन जा आणि आज रात्री ज्या ठिकाणी तुमचा मुक्काम होईल तेथे ते ठेवा.”
[IRV | MR | OT | Joshua | Chapter 4 | Verse 4] मग यहोशवाने इस्राएलच्या प्रत्येक वंशातून एक असे जे बारा पुरुष निवडले होते त्यांना बोलावले.
[IRV | MR | OT | Joshua | Chapter 4 | Verse 5] यहोशवा त्यांना म्हणाला, “तुम्ही आपला देव परमेश्वर याच्या कराराच्या कोशासमोर यार्देनेच्या मध्यभागी जाऊन इस्राएल वंशाच्या संख्येप्रमाणे एकएक धोंडा उचलून आपल्या खांद्यावर घ्या.
[IRV | MR | OT | Joshua | Chapter 4 | Verse 6] म्हणजे हे तुमच्यामध्ये चिन्हादाखल होईल, पुढच्या येणाऱ्या दिवसात जेव्हा तुमची मुले तुम्हाला विचारतील की, ‘या धोंड्यांचा अर्थ काय आहे?’
[IRV | MR | OT | Joshua | Chapter 4 | Verse 7] तेव्हा तुम्ही त्यांना सांगा की, यार्देनेचे पाणी परमेश्वराच्या कराराच्या कोशापुढे दुभागले गेले; कराराचा कोश यार्देन पार करून जात असताना यार्देनेचे पाणी दुतर्फा दुभागले. अशा प्रकारे हे धोंडे इस्राएल लोकांसाठी सर्वकाळ स्मारक होतील.”
[IRV | MR | OT | Joshua | Chapter 4 | Verse 8] यहोशवाच्या या आज्ञेप्रमाणे इस्राएल लोकांनी केले. परमेश्वराने यहोशवाला सांगितल्याप्रमाणे इस्राएल लोकांच्या वंशांच्या संख्येप्रमाणे त्यांनी यार्देनेच्या मध्यभागातून बारा धोंडे उचलून इस्राएल लोकांच्या वंशसंख्येप्रमाणे रचले. त्यांनी ते घेऊन त्या रात्री जिथे मुक्काम केला तिथे नेऊन ठेवले.
[IRV | MR | OT | Joshua | Chapter 4 | Verse 9] तसेच यार्देनेच्या मध्यभागी कराराचा कोश वाहणाऱ्या याजकांचे पाय जेथे स्थिर झाले होते तेथे यहोशवाने बारा दगड उभे केले; आणि ते आजपर्यंत स्मारक म्हणून तेथे आहेत.
[IRV | MR | OT | Joshua | Chapter 4 | Verse 10] मोशेने यहोशवाला जे आज्ञापिले होते तेच लोकांस सांगण्याची आज्ञा परमेश्वराने यहोशवाला केली; त्याप्रमाणे करण्याचे संपेपर्यंत कराराचा कोश वाहणारे याजक यार्देनेच्या मध्यभागी उभे राहिले. मग लोक घाईघाईने पार उतरून गेले.
[IRV | MR | OT | Joshua | Chapter 4 | Verse 11] झाडून सर्व लोक उतरून गेल्यावर त्यांच्या देखत परमेश्वराचा कराराचा कोश आणि याजक पलीकडे गेले.
[IRV | MR | OT | Joshua | Chapter 4 | Verse 12] रऊबेनी, गादी आणि मनश्शेचा अर्धा वंश हे मोशेच्या सांगण्याप्रमाणे सशस्त्र होऊन इस्राएल लोकांपुढे गेले,
[IRV | MR | OT | Joshua | Chapter 4 | Verse 13] युद्धासाठी सज्ज झालेले सुमारे चाळीस हजार पुरुष परमेश्वरासमोर नदी उतरून यरीहोजवळच्या मैदानात पोहचले.
[IRV | MR | OT | Joshua | Chapter 4 | Verse 14] त्या दिवशी परमेश्वराने सर्व इस्राएलाच्या दृष्टीने यहोशवाची थोरवी वाढवली. जसे ते मोशेचे भय धरीत होते तसेच त्यांनी यहोशवाचे भय त्यांच्या सगळ्या हयातीत धरले.
[IRV | MR | OT | Joshua | Chapter 4 | Verse 15] तेव्हा परमेश्वर यहोशवाला म्हणाला,
[IRV | MR | OT | Joshua | Chapter 4 | Verse 16] “कराराचा कोश वाहणाऱ्या याजकांना यार्देनेतून वर येण्याची आज्ञा कर.”
[IRV | MR | OT | Joshua | Chapter 4 | Verse 17] त्याप्रमाणे, यहोशवाने याजकांना यार्देनेतून बाहेर येण्याची आज्ञा केली.
[IRV | MR | OT | Joshua | Chapter 4 | Verse 18] मग परमेश्वराचा कराराचा कोश वाहणारे याजक यार्देनेच्या मध्य भागातून निघून वर आले आणि त्यांचे पाय कोरड्या जमिनीला लागताच यार्देनेचे पाणी मूळ ठिकाणी परत आले आणि चार दिवसांपूर्वी जसे होते त्याप्रमाणे पुन्हा दुथडी भरून वाहू लागले.
[IRV | MR | OT | Joshua | Chapter 4 | Verse 19] पहिल्या महिन्याच्या दशमीस लोकांनी यार्देन पार करून यरीहोच्या पूर्व सीमेवरील गिलगाल येथे तळ दिला.
[IRV | MR | OT | Joshua | Chapter 4 | Verse 20] यार्देनेतून उचलून आणलेले बारा धोंडे यहोशवाने गिलगाल येथे रचले.
[IRV | MR | OT | Joshua | Chapter 4 | Verse 21] तो इस्राएल लोकांस म्हणाला की, “पुढे जेव्हा तुमची मुलेबाळे आपल्या वडिलांना विचारतील, ‘या धोंड्यांचा अर्थ काय आहे?’
[IRV | MR | OT | Joshua | Chapter 4 | Verse 22] तेव्हा तुम्ही त्यांना सांगा की, ‘इस्राएल लोक ह्या यार्देनेच्या कोरड्या भूमीतून पार गेले.
[IRV | MR | OT | Joshua | Chapter 4 | Verse 23] आम्ही तांबडा समुद्र पार करेपर्यंत, तुमचा देव परमेश्वर याने जसे तांबड्या समुद्राचे पाणी आटवून कोरडे केले, तसेच परमेश्वर तुमचा देव ह्याने यार्देनेचे पाणी आम्ही तिच्यातून चालत पार आलो तोपर्यंत आमच्यापुढून हटवले.
[IRV | MR | OT | Joshua | Chapter 4 | Verse 24] ह्यावरून परमेश्वराचा हात समर्थ आहे, हे पृथ्वीवरील सर्व लोक जाणतील आणि तुम्ही तुमचा देव परमेश्वर याचे निरंतर भय बाळगाल.”
