[ASV | EN | NT | Colossians | Chapter 3 | Verse 1] If then ye were raised together with Christ, seek the things that are above, where Christ is, seated on the right hand of God.
[ASV | EN | NT | Colossians | Chapter 3 | Verse 2] Set your mind on the things that are above, not on the things that are upon the earth.
[ASV | EN | NT | Colossians | Chapter 3 | Verse 3] For ye died, and your life is hidden with Christ in God.
[ASV | EN | NT | Colossians | Chapter 3 | Verse 4] When Christ, who is our life, shall be manifested, then shall ye also with him be manifested in glory.
[ASV | EN | NT | Colossians | Chapter 3 | Verse 5] Put to death therefore your members which are upon the earth: fornication, uncleanness, passion, evil desire, and covetousness, which is idolatry;
[ASV | EN | NT | Colossians | Chapter 3 | Verse 6] for which things’ sake cometh the wrath of God upon the sons of disobedience:
[ASV | EN | NT | Colossians | Chapter 3 | Verse 7] wherein ye also once walked, when ye lived in them;
[ASV | EN | NT | Colossians | Chapter 3 | Verse 8] but now do ye also put them all away: anger, wrath, malice, railing, shameful speaking out of your mouth:
[ASV | EN | NT | Colossians | Chapter 3 | Verse 9] lie not one to another; seeing that ye have put off the old man with his doings,
[ASV | EN | NT | Colossians | Chapter 3 | Verse 10] and have put on the new man, that is being renewed unto knowledge after the image of him that created him:
[ASV | EN | NT | Colossians | Chapter 3 | Verse 11] where there cannot be Greek and Jew, circumcision and uncircumcision, barbarian, Scythian, bondman, freeman; but Christ is all, and in all.
[ASV | EN | NT | Colossians | Chapter 3 | Verse 12] Put on therefore, as God’s elect, holy and beloved, a heart of mercy, kindness, lowliness, meekness, long-suffering;
[ASV | EN | NT | Colossians | Chapter 3 | Verse 13] forbearing one another, and forgiving each other, if any man have a complaint against any; even as Christ forgave you, so also do ye:
[ASV | EN | NT | Colossians | Chapter 3 | Verse 14] and above all these things put on love, which is the bond of perfectness.
[ASV | EN | NT | Colossians | Chapter 3 | Verse 15] And let the peace of God rule in your hearts, to which also ye were called in one body; and be ye thankful.
[ASV | EN | NT | Colossians | Chapter 3 | Verse 16] Let the word of Christ dwell in you richly; in all wisdom teaching and admonishing one another with psalms and hymns and spiritual songs, singing with grace in your heart unto the Lord.
[ASV | EN | NT | Colossians | Chapter 3 | Verse 17] And whatsoever ye do, in word or in deed, do all in the name of the Lord Jesus, giving thanks to God, even the Father, through him.
[ASV | EN | NT | Colossians | Chapter 3 | Verse 18] Wives, be in subjection to your own husbands, as is fitting in the Lord.
[ASV | EN | NT | Colossians | Chapter 3 | Verse 19] Husbands, love your wives, and be not bitter against them.
[ASV | EN | NT | Colossians | Chapter 3 | Verse 20] Children, obey your parents in all things, for this is well-pleasing in the Lord.
[ASV | EN | NT | Colossians | Chapter 3 | Verse 21] Fathers, provoke not your children, that they be not discouraged.
[ASV | EN | NT | Colossians | Chapter 3 | Verse 22] Servants, obey in all things them that are your masters according to the flesh; not with eye-service, as men-pleasers, but in singleness of heart, fearing God:
[ASV | EN | NT | Colossians | Chapter 3 | Verse 23] and whatsoever ye do, work heartily, as unto the Lord, and not unto men;
[ASV | EN | NT | Colossians | Chapter 3 | Verse 24] knowing that from the Lord ye shall receive the recompense of the inheritance: for ye serve the Lord Christ.
[ASV | EN | NT | Colossians | Chapter 3 | Verse 25] But he that doeth wrong shall receive again for the wrong that he hath done: and there is no respect of persons.
