[ASV | EN | NT | Colossians | Chapter 2 | Verse 1] For I would have you know what great conflict I have for you, and for them at Laodicea, and for as many as have not seen my face in the flesh;
[ASV | EN | NT | Colossians | Chapter 2 | Verse 2] that their hearts may be comforted, being knit together in love, and unto all riches of the full assurance of understanding, that they may know the mystery of God, even the Father, and of Christ,
[ASV | EN | NT | Colossians | Chapter 2 | Verse 3] in whom are all the treasures of wisdom and knowledge hidden.
[ASV | EN | NT | Colossians | Chapter 2 | Verse 4] And this I say, lest any man should delude you with persuasiveness of speech.
[ASV | EN | NT | Colossians | Chapter 2 | Verse 5] For though I am absent in the flesh, yet am I with you in the spirit, joying and beholding your order, and the steadfastness of your faith in Christ.
[ASV | EN | NT | Colossians | Chapter 2 | Verse 6] As therefore ye received Christ Jesus the Lord, so walk in him,
[ASV | EN | NT | Colossians | Chapter 2 | Verse 7] rooted and built up in him, and established in your faith, even as ye were taught, abounding therein with thanksgiving.
[ASV | EN | NT | Colossians | Chapter 2 | Verse 8] Take heed lest there shall be anyone that maketh spoil of you through his philosophy and vain deceit, after the tradition of men, after the rudiments of the world, and not after Christ:
[ASV | EN | NT | Colossians | Chapter 2 | Verse 9] for in him dwelleth all the fullness of the Godhead bodily,
[ASV | EN | NT | Colossians | Chapter 2 | Verse 10] and in him ye are made full, who is the head of all principality and power:
[ASV | EN | NT | Colossians | Chapter 2 | Verse 11] in whom ye were also circumcised with a circumcision not made with hands, in the putting off of the body of the sins of the flesh, in the circumcision of Christ;
[ASV | EN | NT | Colossians | Chapter 2 | Verse 12] having been buried with him in baptism, wherein ye were also raised with him through faith in the working of God, who raised him from the dead.
[ASV | EN | NT | Colossians | Chapter 2 | Verse 13] And you, being dead in your trespasses and the uncircumcision of your flesh, you, I say, did he make alive together with him, having forgiven us all our trespasses;
[ASV | EN | NT | Colossians | Chapter 2 | Verse 14] having blotted out the bond written in ordinances that was against us, which was contrary to us: and he hath taken it out of the way, nailing it to the cross;
[ASV | EN | NT | Colossians | Chapter 2 | Verse 15] having despoiled the principalities and the powers, he made a show of them openly, triumphing over them in it.
[ASV | EN | NT | Colossians | Chapter 2 | Verse 16] Let no man therefore judge you in meat, or in drink, or in respect of a feast day or a new moon or a sabbath day:
[ASV | EN | NT | Colossians | Chapter 2 | Verse 17] which are a shadow of the things to come; but the body is Christ’s.
[ASV | EN | NT | Colossians | Chapter 2 | Verse 18] Let no man rob you of your prize by a voluntary humility and worshiping of the angels, dwelling in things which he hath not seen, vainly puffed up by his fleshly mind,
[ASV | EN | NT | Colossians | Chapter 2 | Verse 19] and not holding fast the Head, from whom all the body, being supplied and knit together through the joints and bands, increaseth with the increase of God.
[ASV | EN | NT | Colossians | Chapter 2 | Verse 20] If ye died with Christ from the rudiments of the world, why, as though living in the world, do ye subject yourselves to ordinances,
[ASV | EN | NT | Colossians | Chapter 2 | Verse 21] Handle not, nor taste, nor touch
[ASV | EN | NT | Colossians | Chapter 2 | Verse 22] (all which things are to perish with the using), after the precepts and doctrines of men?
[ASV | EN | NT | Colossians | Chapter 2 | Verse 23] Which things have indeed a show of wisdom in will-worship, and humility, and severity to the body; but are not of any value against the indulgence of the flesh.
