[IRV | PA | NT | Ephesians | Chapter 3 | Verse 1] ਇਸ ਕਾਰਨ ਮੈਂ ਪੌਲੁਸ, ਜੋ ਤੁਸੀਂ ਪਰਾਈਆਂ ਕੌਮਾਂ ਦੇ ਲਈ ਯਿਸੂ ਮਸੀਹ ਦਾ ਕੈਦੀ ਹਾਂ।
[IRV | PA | NT | Ephesians | Chapter 3 | Verse 2] ਜੇ ਤੁਸੀਂ ਪਰਮੇਸ਼ੁਰ ਦੀ ਉਸ ਕਿਰਪਾ ਦੇ ਪ੍ਰਬੰਧ ਮੁਖ਼ਤਿਆਰੀ ਦੀ ਖ਼ਬਰ ਸੁਣੀ ਜਿਹੜੀ ਮੈਨੂੰ ਤੁਹਾਡੇ ਲਈ ਸੌਂਪੀ ਗਈ!
[IRV | PA | NT | Ephesians | Chapter 3 | Verse 3] ਇਹ ਕਿ ਪਰਕਾਸ਼ ਨਾਲ ਉਹ ਭੇਤ ਮੇਰੇ ਉੱਤੇ ਪ੍ਰਗਟ ਕੀਤਾ ਗਿਆ ਜਿਵੇਂ ਮੈਂ ਥੋੜ੍ਹਾ ਕਰਕੇ ਪਹਿਲਾਂ ਲਿਖਿਆ!
[IRV | PA | NT | Ephesians | Chapter 3 | Verse 4] ਇਸ ਤੋਂ ਤੁਸੀਂ ਪੜ੍ਹ ਕੇ ਜਾਣ ਸਕਦੇ ਹੋ ਜੋ ਮਸੀਹ ਦੇ ਭੇਤ ਵਿੱਚ ਮੇਰੀ ਸਮਝ ਕਿੰਨੀ ਹੈ!
[IRV | PA | NT | Ephesians | Chapter 3 | Verse 5] ਉਹ ਹੋਰਨਾਂ ਸਮਿਆਂ ਵਿੱਚ ਮਨੁੱਖ ਜਾਤੀ ਉੱਤੇ ਉਸ ਪਰਕਾਰ ਨਹੀਂ ਖੋਲ੍ਹਿਆ ਗਿਆ ਜਿਸ ਪਰਕਾਰ ਹੁਣ ਉਹ ਦੇ ਪਵਿੱਤਰ ਰਸੂਲਾਂ ਅਤੇ ਨਬੀਆਂ ਉੱਤੇ ਆਤਮਾ ਨਾਲ ਪ੍ਰਗਟ ਕੀਤਾ ਗਿਆ ਹੈ!
[IRV | PA | NT | Ephesians | Chapter 3 | Verse 6] ਅਰਥਾਤ ਇਹ ਕਿ ਮਸੀਹ ਵਿੱਚ ਖੁਸ਼ਖਬਰੀ ਦੇ ਦੁਆਰਾ ਪਰਾਈਆਂ ਕੌਮਾਂ ਦੇ ਲੋਕ ਸੰਗੀ ਵਿਰਾਸਤ ਅਤੇ ਇੱਕੋ ਦੇਹੀ ਦੇ ਅਤੇ ਵਾਇਦੇ ਦੇ ਵਾਰਿਸ ਹਨ!
[IRV | PA | NT | Ephesians | Chapter 3 | Verse 7] ਅਤੇ ਪਰਮੇਸ਼ੁਰ ਦੀ ਕਿਰਪਾ ਜੋ ਉਹ ਦੀ ਸਮਰੱਥਾ ਦੇ ਕਾਰਨ ਮੇਰੇ ਉੱਤੇ ਹੋਈ ਉਹ ਦੇ ਦਾਨ ਅਨੁਸਾਰ ਮੈਂ ਉਸ ਖੁਸ਼ਖਬਰੀ ਦਾ ਸੇਵਕ ਬਣਿਆ!
[IRV | PA | NT | Ephesians | Chapter 3 | Verse 8] ਮੇਰੇ ਉੱਤੇ, ਜੋ ਸਾਰਿਆਂ ਸੰਤਾਂ ਵਿੱਚੋਂ ਛੋਟੇ ਤੋਂ ਛੋਟਾ ਹਾਂ, ਇਹ ਕਿਰਪਾ ਹੋਈ ਕਿ ਮੈਂ ਪਰਾਈਆਂ ਕੌਮਾਂ ਨੂੰ ਮਸੀਹ ਦੇ ਅਣਲੱਭ ਧਨ ਦੀ ਖੁਸ਼ਖਬਰੀ ਸੁਣਾਵਾਂ!
[IRV | PA | NT | Ephesians | Chapter 3 | Verse 9] ਅਤੇ ਇਸ ਗੱਲ ਨੂੰ ਪਰਗਟ ਕਰਾਂ ਕਿ ਉਸ ਭੇਤ ਦੀ ਕੀ ਜੁਗਤੀ ਹੈ ਜਿਹੜਾ ਆਦ ਤੋਂ ਪਰਮੇਸ਼ੁਰ ਵਿੱਚ ਗੁਪਤ ਰਿਹਾ ਹੈ, ਜਿਸ ਨੇ ਯਿਸੂ ਮਸੀਹ ਰਾਹੀਂ ਸਭ ਵਸਤਾਂ ਉਤਪਤ ਕੀਤੀਆਂ!
[IRV | PA | NT | Ephesians | Chapter 3 | Verse 10] ਕਿ ਹੁਣ ਕਲੀਸਿਯਾ ਦੇ ਰਾਹੀਂ ਸਵਰਗੀ ਥਾਵਾਂ ਵਿੱਚ ਹਕੂਮਤਾਂ ਅਤੇ ਅਧਿਕਾਰਾਂ ਉੱਤੇ ਪਰਮੇਸ਼ੁਰ ਦਾ ਨਾਨਾ ਪਰਕਾਰ ਦਾ ਗਿਆਨ ਪਰਗਟ ਕੀਤਾ ਜਾਵੇ!
[IRV | PA | NT | Ephesians | Chapter 3 | Verse 11] ਉਸ ਸਦੀਪਕ ਇੱਛਾ ਦੇ ਅਨੁਸਾਰ ਜਿਹੜੀ ਉਸ ਨੇ ਮਸੀਹ ਯਿਸੂ ਸਾਡੇ ਪ੍ਰਭੂ ਵਿੱਚ ਪੂਰੀ ਕੀਤੀ!
