[IRV | PA | NT | Ephesians | Chapter 5 | Verse 1] ਸੋ ਤੁਸੀਂ ਪਿਆਰਿਆਂ ਬਾਲਕਾਂ ਵਾਂਗੂੰ ਪਰਮੇਸ਼ੁਰ ਦੀ ਰੀਸ ਕਰੋ।
[IRV | PA | NT | Ephesians | Chapter 5 | Verse 2] ਅਤੇ ਪਿਆਰ ਨਾਲ ਚੱਲੋ ਜਿਵੇਂ ਮਸੀਹ ਨੇ ਵੀ ਤੁਹਾਡੇ ਨਾਲ ਪਿਆਰ ਕੀਤਾ, ਅਤੇ ਸਾਡੇ ਲਈ ਆਪਣੇ ਆਪ ਨੂੰ ਪਰਮੇਸ਼ੁਰ ਦੇ ਅੱਗੇ ਭੇਟ ਅਤੇ ਬਲੀਦਾਨ ਕਰਕੇ ਸੁਗੰਧ ਦੀ ਤਰ੍ਹਾਂ ਦੇ ਦਿੱਤਾ।
[IRV | PA | NT | Ephesians | Chapter 5 | Verse 3] ਜਿਵੇਂ ਸੰਤਾਂ ਨੂੰ ਯੋਗ ਹੈ ਤੁਹਾਡੇ ਵਿੱਚ ਹਰਾਮਕਾਰੀ ਅਤੇ ਹਰ ਭਾਂਤ ਦੇ ਗੰਦ-ਮੰਦ ਅਥਵਾ ਲੋਭ ਦੀ ਚਰਚਾ ਵੀ ਨਾ ਹੋਵੇ।
[IRV | PA | NT | Ephesians | Chapter 5 | Verse 4] ਅਤੇ ਨਾ ਬੇਸ਼ਰਮੀ, ਨਾ ਮੂਰਖਤਾ ਦੇ ਬੋਲ ਅਥਵਾ ਠੱਠੇ ਬਾਜ਼ੀ ਜੋ ਅਯੋਗ ਹਨ ਅਤੇ ਤੁਹਾਡੇ ਵਿੱਚ ਨਹੀਂ ਹੋਣੀਆਂ ਚਾਹੀਦੀਆਂ ਪਰ ਧੰਨਵਾਦ ਹੋਇਆ ਕਰੇ।
[IRV | PA | NT | Ephesians | Chapter 5 | Verse 5] ਕਿਉਂ ਜੋ ਤੁਸੀਂ ਇਸ ਗੱਲ ਨੂੰ ਜਾਣਦੇ ਹੋ ਕਿ ਹਰਾਮਕਾਰ ਜਾਂ ਭਰਿਸ਼ਟ ਜਾਂ ਲੋਭੀ ਮਨੁੱਖ ਜੋ ਮੂਰਤੀ ਪੂਜਕ ਹੈ, ਮਸੀਹ ਅਤੇ ਪਰਮੇਸ਼ੁਰ ਦੇ ਰਾਜ ਵਿੱਚ ਵਾਰਿਸ ਨਹੀਂ ਹੋ ਸਕਦਾ।
[IRV | PA | NT | Ephesians | Chapter 5 | Verse 6] ਕੋਈ ਤੁਹਾਨੂੰ ਵਿਅਰਥ ਗੱਲਾਂ ਨਾਲ ਧੋਖਾ ਨਾ ਦੇਵੇ ਕਿਉਂ ਜੋ ਇਹਨਾਂ ਦੇ ਕਾਰਨ ਪਰਮੇਸ਼ੁਰ ਦਾ ਕੋਪ ਅਣ-ਆਗਿਆਕਾਰੀ ਦੇ ਪੁੱਤਰਾਂ ਉੱਤੇ ਪੈਂਦਾ ਹੈ।
[IRV | PA | NT | Ephesians | Chapter 5 | Verse 7] ਸੋ ਤੁਸੀਂ ਉਹਨਾਂ ਦੇ ਸਾਂਝੀ ਨਾ ਹੋਵੋ।
[IRV | PA | NT | Ephesians | Chapter 5 | Verse 8] ਕਿਉਂ ਜੋ ਤੁਸੀਂ ਅੱਗੇ ਹਨ੍ਹੇਰਾ ਸੀ ਪਰ ਹੁਣ ਪ੍ਰਭੂ ਵਿੱਚ ਹੋ ਕੇ ਚਾਨਣ ਹੋ, ਸੋ ਤੁਸੀਂ ਚਾਨਣ ਦੇ ਪੁੱਤਰਾਂ ਦੀ ਤਰ੍ਹਾਂ ਚਲੋ।
[IRV | PA | NT | Ephesians | Chapter 5 | Verse 9] ਕਿਉਂ ਜੋ ਚਾਨਣ ਦਾ ਫਲ ਹਰ ਤਰ੍ਹਾਂ ਦੀ ਭਲਿਆਈ, ਧਰਮ ਅਤੇ ਸਚਿਆਈ ਹੈ।
[IRV | PA | NT | Ephesians | Chapter 5 | Verse 10] ਅਤੇ ਭਾਲ ਕਰੋ ਕਿ ਪਰਮੇਸ਼ੁਰ ਨੂੰ ਕਿਹੜੀਆਂ ਗੱਲਾਂ ਪਸੰਦ ਹਨ!
[IRV | PA | NT | Ephesians | Chapter 5 | Verse 11] ਅਤੇ ਅਨ੍ਹੇਰੇ ਦੇ ਬੇਫਲ ਕੰਮਾਂ ਵਿੱਚ ਸਾਂਝੀ ਨਾ ਹੋਵੋ ਪਰ ਉਨ੍ਹਾਂ ਨੂੰ ਉਜਾਗਰ ਕਰੋ।
