[IRV | PA | NT | Ephesians | Chapter 6 | Verse 1] ਹੇ ਬਾਲਕੋ, ਤੁਸੀਂ ਪ੍ਰਭੂ ਵਿੱਚ ਆਪਣੇ ਮਾਪਿਆਂ ਦੀ ਆਗਿਆ ਮੰਨੋ ਕਿਉਂ ਜੋ ਇਹ ਉੱਤਮ ਗੱਲ ਹੈ।
[IRV | PA | NT | Ephesians | Chapter 6 | Verse 2] ਤੂੰ ਆਪਣੇ ਮਾਤਾ-ਪਿਤਾ ਦਾ ਆਦਰ ਕਰ ਤਾਂ ਜੋ ਤੇਰਾ ਭਲਾ ਹੋਵੇ ਅਤੇ ਧਰਤੀ ਉੱਤੇ ਤੇਰੀ ਉਮਰ ਲੰਮੀ ਹੋਵੇ।
[IRV | PA | NT | Ephesians | Chapter 6 | Verse 3] ਇਹ ਪਹਿਲਾ ਹੁਕਮ ਹੈ ਜਿਸ ਨਾਲ ਵਾਇਦਾ ਵੀ ਹੈ।
[IRV | PA | NT | Ephesians | Chapter 6 | Verse 4] ਅਤੇ ਹੇ ਪਿਤਾਓ, ਤੁਸੀਂ ਆਪਣਿਆਂ ਬਾਲਕਾਂ ਦਾ ਕ੍ਰੋਧ ਨਾ ਭੜਕਾਓ ਸਗੋਂ ਪ੍ਰਭੂ ਦੀ ਸਿੱਖਿਆ ਅਤੇ ਚਿਤਾਵਨੀ ਦੇ ਕੇ ਉਹਨਾਂ ਦਾ ਪਾਲਣ ਪੋਸ਼ਣ ਕਰੋ।
[IRV | PA | NT | Ephesians | Chapter 6 | Verse 5] ਹੇ ਨੌਕਰੋ, ਤੁਸੀਂ ਉਨ੍ਹਾਂ ਦੀ ਜਿਹੜੇ ਸਰੀਰ ਦੇ ਅਨੁਸਾਰ ਕਰਕੇ ਤੁਹਾਡੇ ਮਾਲਕ ਹਨ, ਆਪਣੇ ਮਨ ਦੀ ਸਫ਼ਾਈ ਨਾਲ ਡਰਦੇ ਅਤੇ ਕੰਬਦੇ ਹੋਏ ਆਗਿਆਕਾਰੀ ਕਰੋ ਜਿਵੇਂ ਮਸੀਹ ਦੀ।
[IRV | PA | NT | Ephesians | Chapter 6 | Verse 6] ਅਤੇ ਮਨੁੱਖਾਂ ਨੂੰ ਖੁਸ਼ ਕਰਨ ਵਾਲਿਆਂ ਦੀ ਤਰ੍ਹਾਂ, ਦਿਖਾਵੇ ਦੀ ਨੌਕਰੀ ਨਾ ਕਰੋ ਸਗੋਂ ਮਸੀਹ ਦੇ ਸੇਵਕਾਂ ਦੀ ਤਰ੍ਹਾਂ ਮਨ ਲਗਾ ਕੇ ਪਰਮੇਸ਼ੁਰ ਦੀ ਮਰਜ਼ੀ ਪੂਰੀ ਕਰੋ।
[IRV | PA | NT | Ephesians | Chapter 6 | Verse 7] ਇਸ ਸੇਵਾ ਨੂੰ ਮਨੁੱਖਾਂ ਦੀ ਨਹੀਂ ਸਗੋਂ ਪ੍ਰਭੂ ਦੀ ਜਾਣ ਕੇ ਮਨ ਲਗਾ ਕੇ ਕਰੋ।
[IRV | PA | NT | Ephesians | Chapter 6 | Verse 8] ਕਿਉਂ ਜੋ ਇਹ ਜਾਣਦੇ ਹੋ ਭਈ ਹਰੇਕ ਜੋ ਭਲਾ ਕੰਮ ਕਰੇ ਭਾਵੇਂ ਦਾਸ ਹੋਵੇ, ਭਾਵੇਂ ਅਜ਼ਾਦ ਹੋਵੇ, ਸੋ ਪ੍ਰਭੂ ਕੋਲੋਂ ਉਹ ਦਾ ਫਲ ਪਾਵੇਗਾ।
[IRV | PA | NT | Ephesians | Chapter 6 | Verse 9] ਅਤੇ ਹੇ ਮਾਲਕੋ, ਤੁਸੀਂ ਧਮਕੀਆਂ ਦੇਣੀਆਂ ਛੱਡ ਕੇ, ਉਹਨਾਂ ਨਾਲ ਇਹੋ ਜਿਹਾ ਵਰਤਾਰਾ ਕਰੋ ਇਹ ਜਾਣਦੇ ਹੋ ਜੋ ਸਵਰਗ ਵਿੱਚ ਤੁਹਾਡਾ ਦੋਹਾਂ ਦਾ ਮਾਲਕ ਹੈ, ਜੋ ਕਿਸੇ ਦਾ ਪੱਖਪਾਤ ਨਹੀਂ ਕਰਦਾ!
[IRV | PA | NT | Ephesians | Chapter 6 | Verse 10] ਮੁੱਕਦੀ ਗੱਲ, ਪ੍ਰਭੂ ਵਿੱਚ ਅਤੇ ਉਹ ਦੀ ਸਮਰੱਥਾ ਦੀ ਸ਼ਕਤੀ ਵਿੱਚ ਤਕੜੇ ਹੋਵੋ!
[IRV | PA | NT | Ephesians | Chapter 6 | Verse 11] ਪਰਮੇਸ਼ੁਰ ਦੇ ਸਾਰੇ ਸ਼ਸਤਰ ਬਸਤਰ ਪਹਿਨ ਲਵੋ, ਤਾਂ ਜੋ ਤੁਸੀਂ ਸ਼ੈਤਾਨ ਦੀਆਂ ਚਲਾਕੀਆਂ ਦਾ ਸਾਹਮਣਾ ਕਰ ਸਕੋ।
