[DARBY | EN | OT | Nahum | Chapter 1 | Verse 1] The burden of Nineveh. The book of the vision of Nahum the Elkoshite.
[DARBY | EN | OT | Nahum | Chapter 1 | Verse 2] A jealous and avenging God is Jehovah: an avenger is Jehovah, and full of fury: Jehovah taketh vengeance on his adversaries, and he reserveth [wrath] for his enemies.
[DARBY | EN | OT | Nahum | Chapter 1 | Verse 3] Jehovah is slow to anger, and great in power, and doth not at all clear [the guilty]: Jehovah, — his way is in the whirlwind and in the storm, and the clouds are the dust of his feet.
[DARBY | EN | OT | Nahum | Chapter 1 | Verse 4] He rebuketh the sea, and maketh it dry, and drieth up all the rivers: Bashan languisheth, and Carmel, and the flower of Lebanon languisheth.
[DARBY | EN | OT | Nahum | Chapter 1 | Verse 5] The mountains quake before him, and the hills melt, and the earth is upheaved at his presence, and the world, and all that dwell therein.
[DARBY | EN | OT | Nahum | Chapter 1 | Verse 6] Who shall stand before his indignation? and who shall abide in the fierceness of his anger? His fury is poured out like fire, and the rocks are broken asunder by him.
[DARBY | EN | OT | Nahum | Chapter 1 | Verse 7] Jehovah is good, a stronghold in the day of trouble; and he knoweth them that trust in him.
[DARBY | EN | OT | Nahum | Chapter 1 | Verse 8] But with an overrunning flood he will make a full end of the place thereof, and darkness shall pursue his enemies.
[DARBY | EN | OT | Nahum | Chapter 1 | Verse 9] What do ye imagine against Jehovah? He will make a full end: trouble shall not rise up the second time.
[DARBY | EN | OT | Nahum | Chapter 1 | Verse 10] Though they be tangled together [as] thorns, and be as drenched from their drink, they shall be devoured as dry stubble, completely.
[DARBY | EN | OT | Nahum | Chapter 1 | Verse 11] Out of thee is gone forth one that imagineth evil against Jehovah, a wicked counsellor.
[DARBY | EN | OT | Nahum | Chapter 1 | Verse 12] Thus saith Jehovah: Though they be complete in number, and many as they be, even so shall they be cut down, and he shall pass away; and though I have afflicted thee, I will afflict thee no more.
[DARBY | EN | OT | Nahum | Chapter 1 | Verse 13] And now will I break his yoke from off thee, and will burst thy bonds asunder.
[DARBY | EN | OT | Nahum | Chapter 1 | Verse 14] And Jehovah hath given commandment concerning thee, that no more of thy name be sown: out of the house of thy god will I cut off the graven image, and the molten image: I will prepare thy grave; for thou art vile.
