[IRV | PA | OT | Esther | Chapter 4 | Verse 1] ਜਦ ਮਾਰਦਕਈ ਨੂੰ ਉਨ੍ਹਾਂ ਸਾਰੀਆਂ ਗੱਲਾਂ ਬਾਰੇ ਪਤਾ ਲੱਗਿਆ, ਜਿਹੜੀਆਂ ਕੀਤੀਆਂ ਗਈਆਂ ਸਨ ਤਾਂ ਮਾਰਦਕਈ ਨੇ ਦੁਖੀ ਹੋ ਕੇ ਆਪਣੇ ਕੱਪੜੇ ਫਾੜ ਕੇ, ਅਤੇ ਤੱਪੜ ਪਾ ਕੇ ਆਪਣੇ ਸਿਰ ਉੱਤੇ ਸੁਆਹ ਪਾ ਲਈ ਅਤੇ ਸ਼ਹਿਰ ਦੇ ਵਿਚਕਾਰ ਜਾ ਕੇ ਉੱਚੀ-ਉੱਚੀ ਦੁੱਖ ਭਰੇ ਸ਼ਬਦਾਂ ਨਾਲ ਦੁਹਾਈ ਦੇਣ ਲੱਗਾ।
[IRV | PA | OT | Esther | Chapter 4 | Verse 2] ਉਹ ਸ਼ਾਹੀ ਫਾਟਕ ਦੇ ਸਾਹਮਣੇ ਤੱਕ ਹੀ ਆਇਆ ਕਿਉਂਕਿ ਤੱਪੜ ਪਾ ਕੇ ਕੋਈ ਵੀ ਸ਼ਾਹੀ ਫਾਟਕ ਦੇ ਅੰਦਰ ਨਹੀਂ ਜਾ ਸਕਦਾ ਸੀ।
[IRV | PA | OT | Esther | Chapter 4 | Verse 3] ਹਰ ਸੂਬੇ ਵਿੱਚ ਜਿੱਥੇ ਕਿਤੇ ਰਾਜਾ ਦਾ ਹੁਕਮ ਅਤੇ ਨਿਯਮ ਗਿਆ, ਉੱਥੇ ਯਹੂਦੀ ਵੱਡਾ ਵਿਰਲਾਪ ਕਰਨ, ਵਰਤ ਰੱਖਣ ਅਤੇ ਰੋਣ-ਪਿੱਟਣ ਲੱਗੇ ਅਤੇ ਬਹੁਤ ਹਾਹਾਕਾਰ ਮੱਚ ਗਿਆ ਅਤੇ ਬਹੁਤੇ ਤੱਪੜ ਪਾ ਕੇ ਸੁਆਹ ਵਿੱਚ ਬੈਠ ਗਏ।
[IRV | PA | OT | Esther | Chapter 4 | Verse 4] ਰਾਣੀ ਅਸਤਰ ਦੀਆਂ ਸਹੇਲੀਆਂ ਅਤੇ ਉਸ ਦੇ ਖੁਸਰਿਆਂ ਨੇ ਜਾ ਕੇ ਉਸ ਨੂੰ ਮਾਰਦਕਈ ਬਾਰੇ ਦੱਸਿਆ। ਤਦ ਰਾਣੀ ਬਹੁਤ ਦੁਖੀ ਹੋਈ ਅਤੇ ਉਸ ਨੇ ਕੱਪੜੇ ਭੇਜ ਕੇ ਮਾਰਦਕਈ ਨੂੰ ਇਹ ਸੁਨੇਹਾ ਭੇਜਿਆ ਕਿ ਤੱਪੜ ਉਤਾਰ ਕੇ ਇਨ੍ਹਾਂ ਕੱਪੜਿਆਂ ਨੂੰ ਪਹਿਨ ਲਵੇ ਪਰ ਉਸ ਨੇ ਕਬੂਲ ਨਾ ਕੀਤਾ।
[IRV | PA | OT | Esther | Chapter 4 | Verse 5] ਤਦ ਅਸਤਰ ਨੇ ਰਾਜਾ ਦੇ ਉਨ੍ਹਾਂ ਖੁਸਰਿਆਂ ਵਿੱਚੋਂ ਜਿਨ੍ਹਾਂ ਨੂੰ ਰਾਜਾ ਨੇ ਉਸ ਦੀ ਟਹਿਲ ਸੇਵਾ ਕਰਨ ਲਈ ਠਹਿਰਾਇਆ ਸੀ, ਹਥਾਕ ਨੂੰ ਬੁਲਾਇਆ ਅਤੇ ਉਸ ਨੂੰ ਹੁਕਮ ਦਿੱਤਾ ਕਿ ਮਾਰਦਕਈ ਦੇ ਕੋਲ ਜਾ ਕੇ ਪਤਾ ਕਰੇ ਕਿ ਇਹ ਕੀ ਗੱਲ ਹੈ ਅਤੇ ਇਸ ਦਾ ਕੀ ਕਾਰਨ ਹੈ?
[IRV | PA | OT | Esther | Chapter 4 | Verse 6] ਤਾਂ ਹਥਾਕ ਨਿੱਕਲ ਕੇ ਸ਼ਹਿਰ ਦੇ ਉਸ ਚੌਂਕ ਵਿੱਚ ਜਿਹੜਾ ਸ਼ਾਹੀ ਫਾਟਕ ਦੇ ਅੱਗੇ ਸੀ, ਮਾਰਦਕਈ ਕੋਲ ਗਿਆ।
[IRV | PA | OT | Esther | Chapter 4 | Verse 7] ਤਦ ਮਾਰਦਕਈ ਨੇ ਉਹ ਸਭ ਕੁਝ ਜਿਹੜਾ ਉਸ ਦੇ ਨਾਲ ਬੀਤਿਆ ਸੀ ਅਤੇ ਹਾਮਾਨ ਨੇ ਯਹੂਦੀਆਂ ਦਾ ਨਾਸ ਕਰਨ ਦੀ ਆਗਿਆ ਲੈਣ ਲਈ ਸ਼ਾਹੀ ਖਜ਼ਾਨੇ ਵਿੱਚ ਜਿੰਨ੍ਹੀ ਚਾਂਦੀ ਤੋਲ ਕੇ ਦੇਣ ਦਾ ਬਚਨ ਦਿੱਤਾ ਸੀ, ਉਹ ਸਭ ਕੁਝ ਦੱਸ ਦਿੱਤਾ।
[IRV | PA | OT | Esther | Chapter 4 | Verse 8] ਫਿਰ ਯਹੂਦੀਆਂ ਨੂੰ ਨਾਸ ਕਰਨ ਦਾ ਜੋ ਹੁਕਮ ਸ਼ੂਸ਼ਨ ਵਿੱਚ ਦਿੱਤਾ ਗਿਆ ਸੀ, ਉਸ ਦੀ ਇੱਕ ਨਕਲ ਵੀ ਉਸਨੇ ਹਥਾਕ ਨੂੰ ਦਿੱਤੀ ਕਿ ਉਹ ਅਸਤਰ ਨੂੰ ਵਿਖਾਵੇ ਅਤੇ ਉਸ ਨੂੰ ਸਭ ਕੁਝ ਦੱਸੇ ਅਤੇ ਅਸਤਰ ਲਈ ਇਹ ਹੁਕਮ ਦਿੱਤਾ ਕਿ ਉਹ ਰਾਜਾ ਦੇ ਕੋਲ ਜਾ ਕੇ ਉਸ ਦੇ ਅੱਗੇ ਆਪਣੀ ਜਾਤੀ ਦੇ ਲੋਕਾਂ ਦੇ ਲਈ ਮਿੰਨਤ ਅਤੇ ਬੇਨਤੀ ਕਰੇ।
[IRV | PA | OT | Esther | Chapter 4 | Verse 9] ਤਦ ਹਥਾਕ ਨੇ ਆ ਕੇ ਅਸਤਰ ਨੂੰ ਮਾਰਦਕਈ ਦੀਆਂ ਸਾਰੀਆਂ ਗੱਲਾਂ ਦੱਸੀਆਂ।
[IRV | PA | OT | Esther | Chapter 4 | Verse 10] ਫਿਰ ਅਸਤਰ ਨੇ ਹਥਾਕ ਦੁਆਰਾ ਮਾਰਦਕਈ ਲਈ ਇਹ ਸੁਨੇਹਾ ਭੇਜਿਆ,
[IRV | PA | OT | Esther | Chapter 4 | Verse 11] “ਰਾਜਾ ਦੇ ਸਾਰੇ ਕਰਮਚਾਰੀ, ਸਗੋਂ ਰਾਜ ਦੇ ਸਾਰੇ ਸੂਬਿਆਂ ਦੇ ਲੋਕ ਜਾਣਦੇ ਹਨ ਕਿ ਭਾਵੇਂ ਪੁਰਸ਼ ਹੋਵੇ, ਭਾਵੇਂ ਇਸਤਰੀ, ਜੋ ਬਿਨ੍ਹਾਂ ਸੱਦੇ ਰਾਜਾ ਦੇ ਅੰਦਰਲੇ ਵਿਹੜੇ ਦੇ ਸਿੰਘਾਸਣ ਦੇ ਕੋਲ ਜਾਵੇ, ਉਸ ਦੇ ਲਈ ਇੱਕੋ ਹੀ ਹੁਕਮ ਹੈ ਕਿ ਉਹ ਜਾਨ ਤੋਂ ਮਾਰਿਆ ਜਾਵੇ, ਸਿਰਫ਼ ਉਹ ਹੀ ਜੀਉਂਦਾ ਬਚਦਾ ਹੈ ਜਿਸ ਦੇ ਲਈ ਰਾਜਾ ਆਪਣਾ ਸੋਨੇ ਦਾ ਆੱਸਾ ਵਧਾਵੇ। ਪਰ ਮੈਂ ਤੀਹ ਦਿਨਾਂ ਤੋਂ ਰਾਜਾ ਦੇ ਕੋਲ ਅੰਦਰ ਨਹੀਂ ਬੁਲਾਈ ਗਈ।”
[IRV | PA | OT | Esther | Chapter 4 | Verse 12] ਅਸਤਰ ਦੀਆਂ ਇਹ ਗੱਲਾਂ ਮਾਰਦਕਈ ਨੂੰ ਦੱਸੀਆਂ ਗਈਆਂ।
[IRV | PA | OT | Esther | Chapter 4 | Verse 13] ਤਦ ਮਾਰਦਕਈ ਨੇ ਅਸਤਰ ਨੂੰ ਇਹ ਉੱਤਰ ਭੇਜਿਆ, “ਤੂੰ ਆਪਣੇ ਮਨ ਵਿੱਚ ਇਹ ਵਿਚਾਰ ਨਾ ਕਰ ਕਿ ਰਾਜ ਮਹਿਲ ਵਿੱਚ ਰਹਿਣ ਦੇ ਕਾਰਨ ਤੂੰ ਹੋਰ ਸਾਰੇ ਯਹੂਦੀਆਂ ਵਿੱਚੋਂ ਬਚ ਜਾਵੇਂਗੀ।
