[GNV | EN | NT | Philippians | Chapter 2 | Verse 1] If there be therfore any consolation in Christ, if any comfort of loue, if any fellowship of the Spirit, if any compassion and mercie,
[GNV | EN | NT | Philippians | Chapter 2 | Verse 2] Fulfill my ioye, that ye be like minded, hauing the same loue, being of one accorde, and of one iudgement,
[GNV | EN | NT | Philippians | Chapter 2 | Verse 3] That nothing be done through contention or vaine glory, but that in meekenesse of minde euery man esteeme other better then himselfe.
[GNV | EN | NT | Philippians | Chapter 2 | Verse 4] Looke not euery man on his owne things, but euery man also on the things of other men.
[GNV | EN | NT | Philippians | Chapter 2 | Verse 5] Let the same minde be in you that was euen in Christ Iesus,
[GNV | EN | NT | Philippians | Chapter 2 | Verse 6] Who being in ye forme of God, thought it no robberie to be equall with God:
[GNV | EN | NT | Philippians | Chapter 2 | Verse 7] But he made himself of no reputation, and tooke on him ye forme of a seruant, and was made like vnto men, and was founde in shape as a man.
[GNV | EN | NT | Philippians | Chapter 2 | Verse 8] He humbled himselfe, and became obedient vnto the death, euen the death of the Crosse.
[GNV | EN | NT | Philippians | Chapter 2 | Verse 9] Wherefore God hath also highly exalted him, and giuen him a Name aboue euery name,
[GNV | EN | NT | Philippians | Chapter 2 | Verse 10] That at the Name of Iesus shoulde euery knee bowe, both of things in heauen, and things in earth, and things vnder the earth,
[GNV | EN | NT | Philippians | Chapter 2 | Verse 11] And that euery tongue shoulde confesse that Iesus Christ is the Lord, vnto the glory of God the Father.
[GNV | EN | NT | Philippians | Chapter 2 | Verse 12] Wherefore my beloued, as ye haue alwayes obeyed me, not as in my presence only, but now much more in mine absence, so make an end of your owne saluation with feare and trembling.
[GNV | EN | NT | Philippians | Chapter 2 | Verse 13] For it is God which worketh in you, both the will and the deede, euen of his good pleasure.
[GNV | EN | NT | Philippians | Chapter 2 | Verse 14] Do all things without murmuring and reasonings,
[GNV | EN | NT | Philippians | Chapter 2 | Verse 15] That ye may be blamelesse, and pure, and the sonnes of God without rebuke in the middes of a naughtie and crooked nation, among whom yee shine as lights in the world,
[GNV | EN | NT | Philippians | Chapter 2 | Verse 16] Holding forth the worde of life, that I may reioyce in the day of Christ, that I haue not runne in vaine, neither haue laboured in vaine.
[GNV | EN | NT | Philippians | Chapter 2 | Verse 17] Yea, and though I bee offered vp vpon the sacrifice, and seruice of your faith, I am glad, and reioyce with you all.
[GNV | EN | NT | Philippians | Chapter 2 | Verse 18] For the same cause also be ye glad, and reioyce with me.
[GNV | EN | NT | Philippians | Chapter 2 | Verse 19] And I trust in the Lord Iesus, to sende Timotheus shortly vnto you, that I also may be of good comfort, when I knowe your state.
[GNV | EN | NT | Philippians | Chapter 2 | Verse 20] For I haue no man like minded, who will faithfully care for your matters.
[GNV | EN | NT | Philippians | Chapter 2 | Verse 21] For all seeke their owne, and not that which is Iesus Christes.
[GNV | EN | NT | Philippians | Chapter 2 | Verse 22] But yee knowe the proofe of him, that as a sonne with the father, hee hath serued with me in the Gospel.
[GNV | EN | NT | Philippians | Chapter 2 | Verse 23] Him therefore I hope to send assoone as I knowe howe it will goe with me,
[GNV | EN | NT | Philippians | Chapter 2 | Verse 24] And trust in the Lord, that I also my selfe shall come shortly.
[GNV | EN | NT | Philippians | Chapter 2 | Verse 25] But I supposed it necessarie to sende my brother Epaphroditus vnto you, my companion in labour, and fellowe souldier, euen your messenger, and he that ministred vnto me such things as I wanted.
[GNV | EN | NT | Philippians | Chapter 2 | Verse 26] For he longed after all you, and was full of heauinesse, because yee had heard that hee had beene sicke.
[GNV | EN | NT | Philippians | Chapter 2 | Verse 27] And no doubt he was sicke, very neere vnto death: but God had mercie on him, and not on him onely, but on me also, least I should haue sorowe vpon sorowe.
[GNV | EN | NT | Philippians | Chapter 2 | Verse 28] I sent him therefore the more diligently, that when yee shoulde see him againe, yee might reioyce, and I might be the lesse sorowfull.
[GNV | EN | NT | Philippians | Chapter 2 | Verse 29] Receiue him therefore in the Lord with all gladnesse, and make much of such:
[GNV | EN | NT | Philippians | Chapter 2 | Verse 30] Because that for the woorke of Christ he was neere vnto death, and regarded not his life, to fulfill that seruice which was lacking on your part towarde me.
