[GNV | EN | NT | Philippians | Chapter 4 | Verse 1] Therefore, my brethre, beloued and longed for, my ioy and my crowne, so continue in the Lord, yee beloued.
[GNV | EN | NT | Philippians | Chapter 4 | Verse 2] I pray Euodias, and beseech Syntyche, that they be of one accord in the Lord,
[GNV | EN | NT | Philippians | Chapter 4 | Verse 3] Yea, and I beseech thee, faithfull yokefellow, helpe those women, which laboured with me in the Gospel, with Clement also, and with other my fellowe labourers, whose names are in the booke of life.
[GNV | EN | NT | Philippians | Chapter 4 | Verse 4] Reioyce in the Lord alway, againe I say, reioyce.
[GNV | EN | NT | Philippians | Chapter 4 | Verse 5] Let your patient minde be knowen vnto all men. The Lord is at hand.
[GNV | EN | NT | Philippians | Chapter 4 | Verse 6] Be nothing carefull, but in all thinges let your requestes be shewed vnto God in praier, and supplication with giuing of thankes.
[GNV | EN | NT | Philippians | Chapter 4 | Verse 7] And the peace of God which passeth all vnderstanding, shall preserue your heartes and mindes in Christ Iesus.
[GNV | EN | NT | Philippians | Chapter 4 | Verse 8] Furthermore, brethre, whatsoeuer things are true, whatsoeuer things are honest, whatsoeuer thinges are iust, whatsoeuer thinges are pure, whatsoeuer thinges are worthie loue, whatsoeuer things are of good report, if there be any vertue, or if there be any praise, thinke on these things,
[GNV | EN | NT | Philippians | Chapter 4 | Verse 9] Which yee haue both learned and receiued, and heard, and seene in mee: those things doe, and the God of peace shalbe with you.
[GNV | EN | NT | Philippians | Chapter 4 | Verse 10] Nowe I reioyce also in the Lord greatly, that nowe at the last your care for mee springeth afresh, wherein notwithstanding ye were careful, but yee lacked opportunitie.
[GNV | EN | NT | Philippians | Chapter 4 | Verse 11] I speake not because of want: for I haue learned in whatsoeuer state I am, therewith to bee content.
[GNV | EN | NT | Philippians | Chapter 4 | Verse 12] And I can be abased, and I can abounde: euery where in all things I am instructed, both to be full, and to be hungrie, and to abounde, and to haue want.
[GNV | EN | NT | Philippians | Chapter 4 | Verse 13] I am able to do al things through the helpe of Christ, which strengtheneth me.
[GNV | EN | NT | Philippians | Chapter 4 | Verse 14] Notwithstanding yee haue well done, that yee did communicate to mine affliction.
[GNV | EN | NT | Philippians | Chapter 4 | Verse 15] And yee Philippians knowe also that in the beginning of the Gospell, when I departed from Macedonia, no Church communicated with me, concerning the matter of giuing and receiuing, but yee onely.
[GNV | EN | NT | Philippians | Chapter 4 | Verse 16] For euen when I was in Thessalonica, yee sent once, and afterward againe for my necessitie,
[GNV | EN | NT | Philippians | Chapter 4 | Verse 17] Not that I desire a gift: but I desire the fruit which may further your reckoning.
[GNV | EN | NT | Philippians | Chapter 4 | Verse 18] Now I haue receiued all, and haue plentie: I was euen filled, after that I had receiued of Epaphroditus that which came from you, an odour that smellleth sweete, a sacrifice acceptable and pleasant to God.
[GNV | EN | NT | Philippians | Chapter 4 | Verse 19] And my God shall fulfill all your necessities through his riches with glorie in Iesus Christ.
[GNV | EN | NT | Philippians | Chapter 4 | Verse 20] Vnto God euen our Father be praise for euermore, Amen.
[GNV | EN | NT | Philippians | Chapter 4 | Verse 21] Salute all the Saintes in Christ Iesus. The brethren, which are with me, greete you.
[GNV | EN | NT | Philippians | Chapter 4 | Verse 22] All the Saintes salute you, and most of all they which are of Cesars houshold.
[GNV | EN | NT | Philippians | Chapter 4 | Verse 23] The grace of our Lord Iesus Christ be with you all, Amen. ‘Written to the Philippians from Rome, and sent by Epaphroditus.’
