[VANDYKE | AR | NT | Romans | Chapter 4 | Verse 1] وَالآنَ، مَا قَوْلُنَا فِي إِبْرَاهِيمَ أَبِينَا حَسَبَ الْجَسَدِ؟ مَاذَا وَجَدَ؟
[VANDYKE | AR | NT | Romans | Chapter 4 | Verse 2] لَوْ كَانَ إِبْرَاهِيمُ قَدْ تَبَرَّرَ عَلَى أَسَاسِ الأَعْمَالِ، لَكَانَ مِنْ حَقِّهِ أَنْ يَفْتَخِرَ، وَلَكِنْ لَيْسَ أَمَامَ اللهِ.
[VANDYKE | AR | NT | Romans | Chapter 4 | Verse 3] لأَنَّهُ مَاذَا يَقُولُ الْكِتَابُ؟ «فَآمَنَ إِبْرَاهِيمُ بِاللهِ، فَحُسِبَ لَهُ ذَلِكَ بِرّاً».
[VANDYKE | AR | NT | Romans | Chapter 4 | Verse 4] إِنَّ الَّذِي يَعْمَلُ، لَا تُحْسَبُ لَهُ الأُجْرَةُ مِنْ قَبِيلِ النِّعْمَةِ بَلْ مِنْ قَبِيلِ الدَّيْنِ. أَمَّا الَّذِي لَا يَعْمَلُ
[VANDYKE | AR | NT | Romans | Chapter 4 | Verse 5] وَإِنَّمَا يُؤْمِنُ بِمَنْ يُبَرِّرُ الأَثِيمَ، فَإِنَّ إِيمَانَهُ يُحْسَبُ لَهُ بِرّاً.
[VANDYKE | AR | NT | Romans | Chapter 4 | Verse 6] كَمَا يُهَنِّئُ دَاوُدُ أَيْضاً الإِنْسَانَ الَّذِي يَحْسِبُ لَهُ اللهُ بِرّاً بِمَعْزِلٍ عَنِ الأَعْمَالِ، إِذْ يَقُولُ:
[VANDYKE | AR | NT | Romans | Chapter 4 | Verse 7] «طُوبَى لِلَّذِينَ غُفِرَتْ آثَامُهُمْ وَسُتِرَتْ خَطَايَاهُمْ.
[VANDYKE | AR | NT | Romans | Chapter 4 | Verse 8] طُوبَى لِلرَّجُلِ الَّذِي لَا يَحْسِبُ لَهُ الرَّبُّ خَطِيئَةً!»
[VANDYKE | AR | NT | Romans | Chapter 4 | Verse 9] فَهَلْ هذِهِ الطُّوبَى لأَهْلِ الْخِتَانِ وَحْدَهُمْ، أَمْ لأَهْلِ عَدَمِ الْخِتَانِ أَيْضاً؟ إِنَّنَا نَقُولُ إِنَّ الإِيمَانَ قَدْ حُسِبَ لإِبْرَاهِيمَ بِرّاً.
[VANDYKE | AR | NT | Romans | Chapter 4 | Verse 10] فَفِي أَيَّةِ حَالَةٍ حُسِبَ لَهُ ذَلِكَ؟ أَبَعْدَ الْخِتَانِ أَمْ قَبْلَ الْخِتَانِ؟
[VANDYKE | AR | NT | Romans | Chapter 4 | Verse 11] ثُمَّ تَلَقَّى إِبْرَاهِيمُ عَلامَةَ الْخِتَانِ خَتْماً لِلْبِرِّ الْحَاصِلِ بِالإِيمَانِ الَّذِي كَانَ لَهُ وَهُوَ مَازَالَ غَيْرَ مَخْتُونٍ، لِكَيْ يَكُونَ أَباً لِجَمِيعِ الَّذِينَ يُؤْمِنُونَ مِنْ غَيْرِ الْمَخْتُونِينَ فَيُحْسَبَ الْبِرُّ لَهُمْ أَيْضاً،
[VANDYKE | AR | NT | Romans | Chapter 4 | Verse 12] وَأَباً لِلْمَخْتُونِينَ الَّذِينَ لَيْسُوا مِنْ أَهْلِ الْخِتَانِ وَحَسْبُ بَلِ الَّذِينَ يَسِيرُونَ فِي خُطَى الإِيمَانِ الَّذِي كَانَ لأَبِينَا إِبْرَاهِيمَ وَهُوَ بَعْدُ غَيْرُ مَخْتُونٍ.
[VANDYKE | AR | NT | Romans | Chapter 4 | Verse 13] فَلَيْسَ عَلَى أَسَاسِ الشَّرِيعَةِ كَانَ الْوَعْدُ لإِبْرَاهِيمَ، أَوْ لِنَسْلِهِ، بِأَنْ يَكُونَ وَارِثاً لِلْعَالَمِ، وَإِنَّمَا عَلَى أَسَاسِ الْبِرِّ الَّذِي بِالإِيمَانِ.
[VANDYKE | AR | NT | Romans | Chapter 4 | Verse 14] فَلَوْ كَانَ أَهْلُ الشَّرِيعَةِ هُمْ أَصْحَابُ الإِرْثِ، لَصَارَ الإِيمَانُ بِلا فَاعِلِيَّةٍ وَنُقِضَ الْوَعْدُ.
