[IRV | TA | OT | Habakkuk | Chapter 3 | Verse 1] ஆபகூக் தீர்க்கதரிசி சிகாயோனில் பாடின விண்ணப்பம்.
[IRV | TA | OT | Habakkuk | Chapter 3 | Verse 2] யெகோவாவே, நீர் வெளிப்படுத்தினதை நான் கேட்டேன், எனக்குப் பயமுண்டானது; யெகோவாவே, வருடங்களின் நடுவிலே உம்முடைய செயலை உயிர்ப்பியும், வருடங்களின் நடுவிலே அதை விளங்கச்செய்யும்; கோபித்தாலும் இரக்கத்தை நினைத்தருளும்.
[IRV | TA | OT | Habakkuk | Chapter 3 | Verse 3] தேவன் தேமானிலிருந்தும், பரிசுத்தர் பாரான் மலையிலிருந்தும் வந்தார்; (சேலா.) அவருடைய மகிமை வானங்களை மூடிக்கொண்டது; அவர் துதியினால் பூமி நிறைந்தது.
[IRV | TA | OT | Habakkuk | Chapter 3 | Verse 4] அவருடைய பிரகாசம் சூரியனைப்போலிருந்தது; அவருடைய கரத்திலிருந்து கிரணங்கள் வீசின; அங்கே அவருடைய பராக்கிரமம் மறைந்திருந்தது.
[IRV | TA | OT | Habakkuk | Chapter 3 | Verse 5] அவருக்கு முன்பாகக் கொள்ளைநோய் சென்றது; அவர் அடிகளிலிருந்து எரிபந்தமான காய்ச்சல் புறப்பட்டது.
[IRV | TA | OT | Habakkuk | Chapter 3 | Verse 6] அவர் நின்று பூமியை அளந்தார்; அவர் பார்த்து அந்நிய மக்களைக் கரையச்செய்தார்; முந்தின மலைகள் சிதறடிக்கப்பட்டது, என்றுமுள்ள மலைகள் தாழ்ந்தது; அவருடைய நடைகள் நித்திய நடைகளாயிருந்தது.
[IRV | TA | OT | Habakkuk | Chapter 3 | Verse 7] கூஷானின் கூடாரங்கள் வருத்தத்தில் அகப்பட்டிருக்கக்கண்டேன்; மீதியான் தேசத்தின் கூடாரங்கள் நடுங்கின.
[IRV | TA | OT | Habakkuk | Chapter 3 | Verse 8] யெகோவா நதிகளின்மேல் கோபமாயிருந்தாரோ? தேவரீர் உம்முடைய குதிரைகளின்மேலும் காப்பாற்றுகிற உம்முடைய இரதங்களின்மேலும் ஏறிவருகிறபோது, உமது கோபம் நதிகளுக்கும் உமது சினம் சமுத்திரத்திற்கும் விரோதமாயிருந்ததோ?
[IRV | TA | OT | Habakkuk | Chapter 3 | Verse 9] கோத்திரங்களுக்கு ஆணையிட்டுக்கொடுத்த வாக்கின்படியே உம்முடைய வில் நாணேற்றப்பட்டதாக விளங்கினது; (சேலா.) நீரே பூமியைப் பிளந்து ஆறுகளை உண்டாக்கினீர்.
[IRV | TA | OT | Habakkuk | Chapter 3 | Verse 10] மலைகள் உம்மைக்கண்டு நடுங்கின; தண்ணீர் திரண்டு கடந்துபோனது; கடல் இரைந்தது, அதின் அலைகளைஉயர எழுந்தது.
[IRV | TA | OT | Habakkuk | Chapter 3 | Verse 11] சந்திரனும் சூரியனும் தன்தன் மண்டலத்தில் நின்றன; உமது அம்புகளின் வெளிச்சத்திலும், உமது ஈட்டியினுடைய மின்னல் பிரகாசத்திலும் நடந்தன.
[IRV | TA | OT | Habakkuk | Chapter 3 | Verse 12] நீர் கோபத்துடன் பூமியில் நடந்தீர், உக்கிரத்துடன் மக்களைப் போரடித்தீர்.
[IRV | TA | OT | Habakkuk | Chapter 3 | Verse 13] உமது மக்களின் பாதுகாப்பிற்காகவும் நீர் அபிஷேகம்செய்தவனின் பாதுகாப்பிற்காகவுமே நீர் புறப்பட்டீர்; கழுத்தளவாக அஸ்திபாரத்தைத் திறப்பாக்கி, தீயவனுடைய வீட்டிலிருந்த தலைவனை வெட்டினீர்; (சேலா)
[IRV | TA | OT | Habakkuk | Chapter 3 | Verse 14] என்னைச் சிதறடிப்பதற்குப் பெருங்காற்றைப்போல் வந்தார்கள்; சிறுமையானவனை மறைவிடத்திலே அழிப்பது அவர்களுக்குச் சந்தோஷமாயிருந்தது; நீர் அவனுடைய ஈட்டிகளினாலேயே அவனுடைய சேனைகளின் அதிபதிகளை உருவக் குத்தினீர்.
[IRV | TA | OT | Habakkuk | Chapter 3 | Verse 15] திரளான தண்ணீர் குவியலாகிய சமுத்திரத்திற்குள் உமது குதிரைகளுடன் நடந்துபோனீர்.
[IRV | TA | OT | Habakkuk | Chapter 3 | Verse 16] நான் கேட்டபோது என் குடல் குழம்பியது; அந்தச் சத்தத்திற்கு என் உதடுகள் துடித்தது; என் எலும்புகளில் பெலவீனம் உண்டானது; என் நிலையிலே நடுங்கினேன்; ஆனாலும் எங்களோடு எதிர்க்கும் மக்கள் வரும்போது, இக்கட்டுநாளிலே நான் இளைப்பாறுதல் அடைவேன்.
[IRV | TA | OT | Habakkuk | Chapter 3 | Verse 17] அத்திமரம் துளிர்விடாமற்போனாலும், திராட்சைச்செடிகளில் பழம் உண்டாகாமற்போனாலும், ஒலிவமரத்தின் பலன் இல்லாமல் போனாலும், வயல்கள் தானியத்தை விளைவிக்காமற்போனாலும், கிடையில் ஆட்டுமந்தைகள் முதலற்றுப்போனாலும், தொழுவத்திலே மாடுகள் இல்லாமற்போனாலும்,
[IRV | TA | OT | Habakkuk | Chapter 3 | Verse 18] நான் யெகோவாவுக்குள் மகிழ்ச்சியாயிருப்பேன், என் இரட்சிப்பின் தேவனுக்குள் களிகூருவேன்.
[IRV | TA | OT | Habakkuk | Chapter 3 | Verse 19] ஆண்டவராகிய யெகோவா என் பெலன்; அவர் என் கால்களை மான்கால்களைப்போலாக்கி, உயரமான இடங்களில் என்னை நடக்கச்செய்வார். இது நெகிநோத் என்னும் வாத்தியத்தில் வாசிக்க இராகத்தலைவனுக்கு ஒப்புவிக்கப்பட்டப் பாடல்.
