[WEB | EN | OT | Daniel | Chapter 3 | Verse 1] Nebuchadnezzar the king made an image of gold, whose height was sixty cubits and its width six cubits. He set it up in the plain of Dura, in the province of Babylon.
[WEB | EN | OT | Daniel | Chapter 3 | Verse 2] Then Nebuchadnezzar the king sent to gather together the local governors, the deputies, and the governors, the judges, the treasurers, the counselors, the sheriffs, and all the rulers of the provinces, to come to the dedication of the image which Nebuchadnezzar the king had set up.
[WEB | EN | OT | Daniel | Chapter 3 | Verse 3] Then the local governors, the deputies, and the governors, the judges, the treasurers, the counselors, the sheriffs, and all the rulers of the provinces were gathered together to the dedication of the image that Nebuchadnezzar the king had set up; and they stood before the image that Nebuchadnezzar had set up.
[WEB | EN | OT | Daniel | Chapter 3 | Verse 4] Then the herald cried aloud, “To you it is commanded, peoples, nations, and languages,
[WEB | EN | OT | Daniel | Chapter 3 | Verse 5] that whenever you hear the sound of the horn, flute, zither, lyre, harp, pipe, and all kinds of music, you fall down and worship the golden image that Nebuchadnezzar the king has set up.
[WEB | EN | OT | Daniel | Chapter 3 | Verse 6] Whoever doesn’t fall down and worship shall be cast into the middle of a burning fiery furnace the same hour.”
[WEB | EN | OT | Daniel | Chapter 3 | Verse 7] Therefore at that time, when all the peoples heard the sound of the horn, flute, zither, lyre, harp, pipe, and all kinds of music, all the peoples, the nations, and the languages fell down and worshiped the golden image that Nebuchadnezzar the king had set up.
[WEB | EN | OT | Daniel | Chapter 3 | Verse 8] Therefore at that time certain Chaldeans came near and brought accusation against the Jews.
[WEB | EN | OT | Daniel | Chapter 3 | Verse 9] They answered Nebuchadnezzar the king, “O king, live for ever!
[WEB | EN | OT | Daniel | Chapter 3 | Verse 10] You, O king, have made a decree that every man who hears the sound of the horn, flute, zither, lyre, harp, pipe, and all kinds of music shall fall down and worship the golden image;
[WEB | EN | OT | Daniel | Chapter 3 | Verse 11] and whoever doesn’t fall down and worship shall be cast into the middle of a burning fiery furnace.
[WEB | EN | OT | Daniel | Chapter 3 | Verse 12] There are certain Jews whom you have appointed over the affairs of the province of Babylon: Shadrach, Meshach, and Abednego. These men, O king, have not respected you. They don’t serve your gods, and don’t worship the golden image which you have set up.”
[WEB | EN | OT | Daniel | Chapter 3 | Verse 13] Then Nebuchadnezzar in rage and fury commanded that Shadrach, Meshach, and Abednego be brought. Then these men were brought before the king.
[WEB | EN | OT | Daniel | Chapter 3 | Verse 14] Nebuchadnezzar answered them, “Is it true, Shadrach, Meshach, and Abednego, that you don’t serve my gods and you don’t worship the golden image which I have set up?
[WEB | EN | OT | Daniel | Chapter 3 | Verse 15] Now if you are ready whenever you hear the sound of the horn, flute, zither, lyre, harp, pipe, and all kinds of music to fall down and worship the image which I have made, good; but if you don’t worship, you shall be cast the same hour into the middle of a burning fiery furnace. Who is that god who will deliver you out of my hands?”
[WEB | EN | OT | Daniel | Chapter 3 | Verse 16] Shadrach, Meshach, and Abednego answered the king, “Nebuchadnezzar, we have no need to answer you in this matter.
[WEB | EN | OT | Daniel | Chapter 3 | Verse 17] If it happens, our God whom we serve is able to deliver us from the burning fiery furnace; and he will deliver us out of your hand, O king.
[WEB | EN | OT | Daniel | Chapter 3 | Verse 18] But if not, let it be known to you, O king, that we will not serve your gods or worship the golden image which you have set up.”
[WEB | EN | OT | Daniel | Chapter 3 | Verse 19] Then Nebuchadnezzar was full of fury, and the form of his appearance was changed against Shadrach, Meshach, and Abednego. He spoke, and commanded that they should heat the furnace seven times more than it was usually heated.
[WEB | EN | OT | Daniel | Chapter 3 | Verse 20] He commanded certain mighty men who were in his army to bind Shadrach, Meshach, and Abednego, and to cast them into the burning fiery furnace.
[WEB | EN | OT | Daniel | Chapter 3 | Verse 21] Then these men were bound in their pants, their tunics, and their mantles, and their other clothes, and were cast into the middle of the burning fiery furnace.
[WEB | EN | OT | Daniel | Chapter 3 | Verse 22] Therefore because the king’s commandment was urgent and the furnace exceedingly hot, the flame of the fire killed those men who took up Shadrach, Meshach, and Abednego.
[WEB | EN | OT | Daniel | Chapter 3 | Verse 23] These three men, Shadrach, Meshach, and Abednego, fell down bound into the middle of the burning fiery furnace.
