[IRV | BN | OT | Ezekiel | Chapter 35 | Verse 1] তারপর সদাপ্রভুর এ বাক্য আমার কাছে এল এবং বলল,
[IRV | BN | OT | Ezekiel | Chapter 35 | Verse 2] হে মানুষের সন্তান, তুমি সেয়ীর পর্বতের বিরুদ্ধে মুখ রাখ এবং ভাববাণী বল।
[IRV | BN | OT | Ezekiel | Chapter 35 | Verse 3] এটা বল, প্রভু সদাপ্রভু এ কথা বলেন; দেখ, আমি তোমার বিরুদ্ধে সেয়ীর পর্বত এবং আমি হাত দিয়ে তোমাকে আঘাত করবো এবং তোমাকে জনশূন্য এবং ভয়গ্রস্ত করব।
[IRV | BN | OT | Ezekiel | Chapter 35 | Verse 4] আমি তোমার শহর ধ্বংস করব এবং তুমি জনশূন্য হবে, তারপর তুমি জানবে যে, আমি সদাপ্রভু।
[IRV | BN | OT | Ezekiel | Chapter 35 | Verse 5] কারণ তোমার ইস্রায়েলের লোকেদের শত্রুতা আছে এবং কারণ তুমি ইস্রায়েল সন্তানদের তাদের বিপদের দিন, সর্বাধিক শাস্তির দিন তরোয়ালের হাতে সমর্পণ করেছো,
[IRV | BN | OT | Ezekiel | Chapter 35 | Verse 6] এই জন্য, আমি যেমন বেঁচে আছি-এটা প্রভু সদাপ্রভু বলেন, আমি তোমাকে রক্তময় করব এবং রক্ত তোমার পেছনে দৌড়বে; তখন থেকে তুমি রক্ত ঘৃণা কর নি, তাই রক্ত তোমার পেছনে দৌড়বে।
[IRV | BN | OT | Ezekiel | Chapter 35 | Verse 7] আমি সেয়ীর পর্বতকে জনশূন্য করবো জনশূন্য করবো যখন আমি বিচ্ছিন্ন করবো যারা সেখানে যাবে এবং ফিরে আসবে।
[IRV | BN | OT | Ezekiel | Chapter 35 | Verse 8] এবং আমি মৃতদের দিয়ে পর্বত ভর্তি করবো। তোমার উঁচু পর্বত এবং তোমার উপত্যকা সব ও তোমার সব জলপ্রবাহে যারা তরোয়াল দ্বারা নিহত তাদের মধ্যে তারাও পড়বে।
[IRV | BN | OT | Ezekiel | Chapter 35 | Verse 9] আমি তোমাকে চিরস্থায়ী জনশূন্য করবো। তোমার শহর সব নিবাসহীন হবে, কিন্তু তুমি জানবে যে আমি সদাপ্রভু।
[IRV | BN | OT | Ezekiel | Chapter 35 | Verse 10] তুমি বলেছ, “দুই জাতি এবং এই দুই দেশ আমাদের হবে এবং আমরা তাদের অধিকারী হব,” যখন তাদের সঙ্গে উপস্থিত ছিলেন
[IRV | BN | OT | Ezekiel | Chapter 35 | Verse 11] তাই, আমি যেমন জীবন্ত প্রভু সদাপ্রভু বলেন, তাই তোমার রাগ অনুযায়ী আমি করবো তেমনি আমি তোমার সেই রাগ ও ঈর্ষা অনুযায়ী কাজ করব এবং যখন তোমার বিচার করব, তখন তাদের মধ্যে নিজের পরিচয় দেব।
[IRV | BN | OT | Ezekiel | Chapter 35 | Verse 12] তাই তুমি জানবে যে, আমি সদাপ্রভু তোমার সেই সব অবজ্ঞার বিষয় শুনেছি, যখন তুমি ইস্রায়েলের পর্বতের বিপক্ষে বললে; তুমি বললে; তারা জনশূন্য তারা আমাদেরকে গ্রাসের জন্য দিয়েছেন।
[IRV | BN | OT | Ezekiel | Chapter 35 | Verse 13] তোমরা আমার বিপরীতে নিজের মুখে অহঙ্কার করেছ; আমার বিরুদ্ধে অনেক কথা বলেছ; আমি তা শুনেছি।
[IRV | BN | OT | Ezekiel | Chapter 35 | Verse 14] প্রভু সদাপ্রভু এ কথা বলেন, আমি তোমাকে জনশূন্য করব যেখানে সারা পৃথিবীর আনন্দের দিন আমি তোমাকে ধ্বংস করব।
[IRV | BN | OT | Ezekiel | Chapter 35 | Verse 15] তুমি ইস্রায়েল কুলের অধিকার ধ্বংস দেখে যেমন আনন্দ করেছ, আমি তোমার সঙ্গে সেরকম ব্যবহার করব; তুমি জনশূন্য হবে সেয়ীরপর্বত এবং ইদোমের সকলে-তার সব, তারপর তারা জানবে যে আমি সদাপ্রভু।
