[LXX | EL | OT | 1 Samuel | Chapter 28 | Verse 1] Καὶ ἐγενήθη ἐν ταῖς ἡμέραις ἐκείναις, καὶ συναθροίζονται ἀλλόφυλοι ἐν ταῖς παρεμβολαῖς αὐτῶν ἐξελθεῖν πολεμεῖν μετὰ Ἰσραήλ· καὶ εἶπεν Ἀγχοῦς πρὸς Δαυὶδ, γινώσκων γνώσῃ, ὅτι μετʼ ἐμοῦ ἐξελεύσῃ εἰς πόλεμον σὺ, καὶ οἱ ἄνδρες σου.
[LXX | EL | OT | 1 Samuel | Chapter 28 | Verse 2] Καὶ εἶπε Δαυὶδ πρὸς Ἀγχοῦς, οὕτω νῦν γνώσῃ ἃ ποιήσει ὁ δοῦλός σου· καὶ εἶπεν Ἀγχοῦς πρὸς Δαυὶδ, οὕτως ἀρχισωματοφύλακα θήσομαί σε πάσας τὰς ἡμέρας
[LXX | EL | OT | 1 Samuel | Chapter 28 | Verse 3] Καὶ Σαμουὴλ ἀπέθανε, καὶ ἐκόψαντο αὐτὸν πᾶς Ἰσραὴλ, καὶ θάπτουσιν αὐτὸν ἐν Ἀρμαθαὶμ ἐν πόλει αὐτοῦ. καὶ Σαοὺλ περιεῖλε τοὺς ἐγγαστριμύθους καὶ τοὺς γνώστας ἀπὸ τῆς γῆς.
[LXX | EL | OT | 1 Samuel | Chapter 28 | Verse 4] Καὶ συναθροίζονται οἱ ἀλλόφυλοι, καὶ ἔρχονται καὶ παρεμβάλλουσιν εἰς Σωνάμ· καὶ συναθροίζει Σαοὺλ πάντα ἄνδρα Ἰσραὴλ, καὶ παρεμβάλλουσιν εἰς Γελβουέ.
[LXX | EL | OT | 1 Samuel | Chapter 28 | Verse 5] Καὶ εἶδε Σαοὺλ τὴν παρεμβολὴν τῶν ἀλλοφύλων, καὶ ἐφοβήθη, καὶ ἐξέστη ἡ καρδία αὐτοῦ σφόδρα.
[LXX | EL | OT | 1 Samuel | Chapter 28 | Verse 6] Καὶ ἐπηρώτησε Σαοὺλ διὰ Κυρίου, καὶ οὐκ ἀπεκρίθη αὐτῷ Κύριος ἐν τοῖς ἐνυπνίοις καὶ ἐν τοῖς δήλοις καὶ ἐν τοῖς προφήταις.
[LXX | EL | OT | 1 Samuel | Chapter 28 | Verse 7] Καὶ εἶπε Σαοὺλ τοῖς παισὶν αὐτοῦ, ζητήσατέ μοι γυναῖκα ἐγγαστρίμυθον, καὶ πορεύσομαι πρὸς αὐτὴν, καὶ ζητήσω ἐν αὐτῇ· καὶ εἶπαν οἱ παἷδες αὐτοῦ πρὸς αὐτὸν ἰδοὺ γυνὴ ἐγγαστρίμυθος ἐν Ἀενδώρ.
[LXX | EL | OT | 1 Samuel | Chapter 28 | Verse 8] Καὶ συνεκαλύψατο Σαοὺλ, καὶ περιεβάλετο ἱμάτια ἕτερα, καὶ πορεύεται αὐτὸς καὶ δύο ἄνδρες μετʼ αὐτοῦ, καὶ ἔρχονται πρὸς τὴν γυναῖκα νυκτὸς, καὶ εἶπεν αὐτῇ, μάντευσαι δή μοι ἐν τῷ ἐγγαστριμύθῳ, καὶ ἀνάγαγέ μοι ὃν ἐὰν εἴπω σοι.
[LXX | EL | OT | 1 Samuel | Chapter 28 | Verse 9] Καὶ εἶπεν αὐτῷ ἡ γυνὴ, ἰδοὺ δὴ σὺ οἶδας ὅσα ἐποίησε Σαοὺλ, ὡς ἐξωλόθρευσε τοὺς ἐγγαστριμύθους καὶ τοὺς γνώστας ἀπὸ τῆς γῆς, καὶ ἱνατί σὺ παγιδεύεις τὴν ψυχήν μοι θανατῶσαι αὐτήν;
[LXX | EL | OT | 1 Samuel | Chapter 28 | Verse 10] Καὶ ὤμοσεν αὐτῇ Σαοὺλ, λέγων, ζῇ Κύριος, εἰ ἀπαντήσεταί σοι ἀδικία ἐν τῷ λόγῳ τούτῳ.
[LXX | EL | OT | 1 Samuel | Chapter 28 | Verse 11] Καὶ εἶπεν ἡ γυνὴ, τίνα ἀναγάγω σοι; καὶ εἶπε, τὸν Σαμουὴλ ἀνάγαγέ μοι.
[LXX | EL | OT | 1 Samuel | Chapter 28 | Verse 12] Καὶ εἶδεν ἡ γυνὴ τὸν Σαμουὴλ, καὶ ἀνεβόησε φωνῇ μεγάλῃ· καὶ εἶπεν ἡ γυνὴ πρὸς Σαοὺλ, ἱνατί παρελογίσω με; καὶ σὺ εἶ Σαούλ.
[LXX | EL | OT | 1 Samuel | Chapter 28 | Verse 13] Καὶ εἶπεν αὐτῇ ὁ βασιλεὺς, μὴ φοβοῦ, εἶπον τίνα ἑώρακας· καὶ εἶπεν αὐτῷ ἡ γυνὴ, θεοὺς ἑώρακα ἀναβαίνοντας ἐκ τῆς γῆς.
[LXX | EL | OT | 1 Samuel | Chapter 28 | Verse 14] Καὶ εἶπεν αὐτῇ, τί ἔγνως; καὶ εἶπεν αὐτῷ, ἄνδρα ὄρθιον ἀναβαίνοντα ἐκ τῆς γῆς, καὶ οὗτος διπλοΐδα ἀναβεβλημένος· καὶ ἔγνω Σαοὺλ, ὅτι οὗτος Σαμουὴλ, καὶ ἔκυψεν ἐπὶ πρόσωπον αὐτοῦ ἐπὶ τὴν γῆν, καὶ προσεκύνησεν αὐτῷ.
[LXX | EL | OT | 1 Samuel | Chapter 28 | Verse 15] Καὶ εἶπε Σαμουὴλ, ἱνατί παρηνώχλησάς μοι ἀναβῆναί με; καὶ εἶπε Σαοὺλ, θλίβομαι σφόδρα, καὶ οἱ ἀλλόφυλοι πολεμοῦσιν ἐν ἐμοὶ, καὶ ὁ Θεὸς ἀφέστηκεν ἀπʼ ἐμοῦ, καὶ οὐκ ἐπακήκοέ μοι ἔτι καὶ ἐν χειρὶ τῶν προφητῶν καὶ ἐν τοῖς ἐνυπνίοις· καὶ νῦν κέκληκά σε γνωρίσαι μοι τί ποιήσω.
