[LXX | EL | OT | 1 Samuel | Chapter 3 | Verse 1] Καὶ τὸ παιδάριον Σαμουὴλ ἦν λειτουργῶν τῷ Κυρίῳ ἐνώπιον Ἡλὶ τοῦ ἱερέως· καὶ ῥῆμα Κυρίου ἦν τίμιον ἐν ταῖς ἡμέραις ἐκείναις, οὐκ ἦν ὅρασις διαστέλλουσα.
[LXX | EL | OT | 1 Samuel | Chapter 3 | Verse 2] Καὶ ἐγένετο ἐν τῇ ἡμέρα ἐκείνῃ, καὶ Ἡλὶ ἐκάθευδεν ἐν τῷ τόπῳ αὐτοῦ, καὶ οἱ ὀφθαλμοὶ αὐτοῦ ἤρξαντο βαρύνεσθαι, καὶ οὐκ ἠδύναντο βλέπειν.
[LXX | EL | OT | 1 Samuel | Chapter 3 | Verse 3] Καὶ ὁ λύχνος τοῦ Θεοῦ πρὶν ἐπισκευασθῆναι, καὶ Σαμουὴλ ἐκάθευδεν ἐν τῷ ναῷ, οὗ ἡ κιβωτὸς τοῦ Θεοῦ.
[LXX | EL | OT | 1 Samuel | Chapter 3 | Verse 4] Καὶ ἐκάλεσε Κύριος, Σαμουὴλ Σαμουήλ· καὶ εἶπεν, ἰδοὺ ἐγώ.
[LXX | EL | OT | 1 Samuel | Chapter 3 | Verse 5] Καὶ ἔδραμε πρὸς Ἡλὶ, καὶ εἶπεν, ἰδοὺ ἐγὼ, ὅτι κέκληκάς με· καὶ εἶπεν, οὐ κέκληκά σε, ἀνάστρεφε, κάθευδε· καὶ ἀνέστρεψε καὶ ἐκάθευδε.
[LXX | EL | OT | 1 Samuel | Chapter 3 | Verse 6] Καὶ προσέθετο Κύριος, καὶ ἐκάλεσε, Σαμουὴλ Σαμουήλ· καὶ ἐπορεύθη πρὸς Ἡλὶ τὸ δεύτερον, καὶ εἶπεν, ἰδοὺ ἐγὼ, ὅτι κέκληκάς με· καὶ εἶπεν, οὐ κέκληκά σε, ἀνάστρεφε, κάθευδε.
[LXX | EL | OT | 1 Samuel | Chapter 3 | Verse 7] Καὶ Σαμουὴλ πρὶν γνῶναι Θεὸν, καὶ ἀποκαλυφθῆναι αὐτῷ ῥῆμα Κυρίου.
[LXX | EL | OT | 1 Samuel | Chapter 3 | Verse 8] Καὶ προσέθετο Κύριος καλέσαι Σαμουὴλ ἐν τρίτῳ· καὶ ἀνέστη καὶ ἐπορεύθη πρὸς Ἡλὶ, καὶ εἶπεν, ἰδοὺ ἐγὼ, ὅτι κέκληκάς με· καὶ ἐσοφίσατο Ἡλὶ ὅτι Κύριος κέκληκε τὸ παιδάριον.
[LXX | EL | OT | 1 Samuel | Chapter 3 | Verse 9] Καὶ εἶπεν, ἀνάστρεφε, κάθευδε τέκνον· καὶ ἔσται ἐὰν καλέσῃ σε, καὶ ἐρεῖς, λάλει, ὅτι ἀκούει ὁ δοῦλός σου· καὶ ἐπορεύθη Σαμουὴλ, καὶ ἐκοιμήθη ἐν τῷ τόπῳ αὐτοῦ.
[LXX | EL | OT | 1 Samuel | Chapter 3 | Verse 10] Καὶ ἦλθε Κύριος καὶ κατέστη, καὶ ἐκάλεσεν αὐτὸν ὡς ἅπαξ καὶ ἅπαξ· καὶ εἶπε Σαμουὴλ, λάλει, ὅτι ἀκούει ὁ δοῦλός σου.
[LXX | EL | OT | 1 Samuel | Chapter 3 | Verse 11] Καὶ εἶπε Κύριος πρὸς Σαμουὴλ, ἰδοὺ ἐγὼ ποιῶ τὰ ῥήματά μου ἐν Ἰσραὴλ, παντὸς ἀκούοντος αὐτὰ, ἠχήσει ἀμφότερα τὰ ὦτα αὐτοῦ.
[LXX | EL | OT | 1 Samuel | Chapter 3 | Verse 12] Ἐν τῇ ἡμέρᾳ ἐκείνῃ ἐπεγερῶ ἐπὶ Ἡλὶ πάντα ὅσα ἐλάλησα εἰς τὸν οἶκον αὐτοῦ, ἄρξομαι καὶ ἐπιτελέσω.
[LXX | EL | OT | 1 Samuel | Chapter 3 | Verse 13] Καὶ ἀνήγγελκα αὐτῷ ὅτι ἐκδικῶ ἐγὼ τὸν οἶκον αὐτοῦ ἕως αἰῶνος ἐν ἀδικίαις υἱῶν αὐτοῦ, ὅτι κακολογοῦντες Θεὸν οἱ υἱοὶ αὐτοῦ, καὶ οὐκ ἐνουθέτει αὐτούς.
[LXX | EL | OT | 1 Samuel | Chapter 3 | Verse 14] Καὶ οὐδʼ οὕτως· ὤμοσα τῷ οἴκῳ Ἡλὶ, εἰ ἐξιλασθήσεται ἀδικία οἴκου Ἡλὶ, ἐν θυμιάματι καὶ ἐν θυσίαις ἕως αἰῶνος.
[LXX | EL | OT | 1 Samuel | Chapter 3 | Verse 15] Καὶ κοιμᾶται Σαμουὴλ ἕως πρωῒ, καὶ ὤρθρισε τοπρωῒ καὶ ἤνοιξε τὰς θύρας οἴκου Κυρίου· καὶ Σαμουὴλ ἐφοβήθη ἀπαγγεῖλαι τὴν ὅρασιν.
[LXX | EL | OT | 1 Samuel | Chapter 3 | Verse 16] Καὶ εἶπεν Ἡλὶ πρὸς Σαμουὴλ, Σαμουὴλ τέκνον· καὶ εἶπεν, ἰδοὺ ἐγώ.
[LXX | EL | OT | 1 Samuel | Chapter 3 | Verse 17] Καὶ εἶπε, τί τὸ ῥήμα τὸ λαληθὲν πρὸς σέ; μὴ δὴ κρήψῃς ἀπʼ ἐμοῦ· τάδε ποιήσαι σοι ὁ Θεὸς καὶ τάδε προσθείη, ἐὰν κρύψῃς ἀπʼ ἐμοῦ ῥῆμα ἐκ πάντων τῶν λόγων τῶν λαληθέντων σοι ἐν τοῖς ὠσί σου.
[LXX | EL | OT | 1 Samuel | Chapter 3 | Verse 18] Καὶ ἀπήγγειλε Σαμουὴλ πάντας τοὺς λόγους, καὶ οὐκ ἔκρυψεν ἀπʼ αὐτοῦ· καὶ εἶπεν Ἡλὶ, Κύριος αὐτὸς, τὸ ἀγαθὸν ἐνώπιον αὐτοῦ ποιήσει.
[LXX | EL | OT | 1 Samuel | Chapter 3 | Verse 19] Καὶ ἐμεγαλύνθη Σαμουὴλ, καὶ ἦν Κύριος μετʼ αὐτοῦ, καὶ οὐκ ἔπεσεν ἀπὸ πάντων τῶν λόγων αὐτοῦ ἐπὶ τὴν γῆν.
[LXX | EL | OT | 1 Samuel | Chapter 3 | Verse 20] Καὶ ἔγνωσαν πᾶς Ἰσραὴλ ἀπὸ Δὰν καὶ ἕως Βηρσαβεὲ, ὅτι πιστὸς Σαμονὴλ εἰς προφήτην τῷ Κυρίῳ.
[LXX | EL | OT | 1 Samuel | Chapter 3 | Verse 21] Καὶ προσέθετο Κύριος δηλωθῆναι ἐν Σηλὼμε, ὅτι ἀπεκαλύφθη Κύριος πρὸς Σαμουήλ· καὶ ἐπιστεύθη Σαμουὴλ τοῦ προφήτης γενέσθαι τῷ Κυρίῳ εἰς πάντα Ἰσραὴλ ἀπʼ ἄκρων τῆς γῆς καὶ ἕως ἄκρων· καὶ Ἡλὶ πρεσβύτης σφόδρα, καὶ οἱ υἱοὶ αὐτοῦ πορεύομενοι ἐπορεύοντο, καὶ πονηρὰ ἡ ὁδὸς αὐτῶν ἐνώπιον Κυρίου.
