[LXX | EL | OT | 1 Samuel | Chapter 17 | Verse 1] Καὶ συνάγουσιν ἀλλόφυλοι τὰς παρεμβολὰς αὐτῶν εἰς πόλεμον, καὶ συνάγονται εἰς Σοκχὼθ τῆς Ἰουδαίας, καὶ παρεμβάλλουσιν ἀναμέσον Σοκχὼθ, καὶ ἀναμέσον ʼΑζηκὰ Ἐφερμέν.
[LXX | EL | OT | 1 Samuel | Chapter 17 | Verse 2] Καὶ Σαοὺλ καὶ οἱ ἄνδρες Ἰσραὴλ συνάγονται, καὶ παρεμβάλλουσιν ἐν τῇ κοιλάδι αὐτοὶ, καὶ παρατάσσονται εἰς πόλεμον ἐξεναντίας τῶν ἀλλοφύλων.
[LXX | EL | OT | 1 Samuel | Chapter 17 | Verse 3] Καὶ οἱ ἀλλόφυλοι ἵστανται ἐπὶ τοῦ ὄρους ἐνταῦθα, καὶ Ἰσραὴλ ἵσταται ἐπὶ τοῦ ὄρους ἐνταῦθα, καὶ ὁ αὐλὼν ἀναμέσον αὐτῶν.
[LXX | EL | OT | 1 Samuel | Chapter 17 | Verse 4] Καὶ ἐξῆλθεν ἀνὴρ δυνατὸς ἐκ τῆς παρατάξεως τῶν ἀλλοφύλων, Γολιὰθ ὄνομα αὐτῷ ἐκ Γὲθ, ὕψος αὐτοῦ τεσσάρων πήχεων καὶ σπιθαμῆς.
[LXX | EL | OT | 1 Samuel | Chapter 17 | Verse 5] Καὶ περικεφαλαῖα ἐπὶ τῆς κεφαλῆς αὐτοῦ, καὶ θώρακα ἁλυσιδωτὸν αὐτὸς ἐνδεδυκώς· καὶ ὁ σταθμὸς τοῦ θώρακος αὐτοῦ, πέντε χιλιάδες σίκλων χαλκοῦ καὶ σιδήρου.
[LXX | EL | OT | 1 Samuel | Chapter 17 | Verse 6] Καὶ κνημῖδες χαλκαῖ ἐπὶ τῶν σκελῶν αὐτοῦ, καὶ ἀσπὶς χαλκῆ ἀναμέσον τῶν ὤμων αὐτοῦ.
[LXX | EL | OT | 1 Samuel | Chapter 17 | Verse 7] Καὶ ὁ κοντὸς τοῦ δόρατος αὐτοῦ ὡσεὶ μέσακλον ὑφαινόντων, καὶ ἡ λόγχη αὐτοῦ ἑξακοσίων σίκλων σιδήρου· καὶ ὁ αἴρων τὰ ὅπλα αὐτοῦ προεπορεύετο αὐτοῦ.
[LXX | EL | OT | 1 Samuel | Chapter 17 | Verse 8] Καὶ ἔστη καὶ ἀνεβόησεν εἰς τὴν παράταξιν Ἰσραὴλ, καὶ εἶπεν αὐτοῖς, τί ἐκπορεύεσθε παρατάξασθαι πολέμῳ ἐξεναντίας ἡμῶν; οὐκ ἐγώ εἰμι ἀλλόφυλος, καὶ ὑμεῖς Ἐβραῖοι τοῦ Σαούλ; ἐκλέξασθε ἐαυτοῖς ἄνδρα, καὶ καταβήτω πρὸς με.
[LXX | EL | OT | 1 Samuel | Chapter 17 | Verse 9] Καὶ ἐὰν δυνηθῇ πολεμῆσαι πρός με, καὶ ἐαν πατάξῃ με, καὶ ἐσόμεθα ὑμῖν εἰς δούλους· ἐὰν δὲ ἐγὼ δυνηθῶ καὶ πατάξω αὐτὸν, ἔσεσθε ἡμῖν εἰς δούλους, καὶ δουλεύσετε ἡμῖν.
[LXX | EL | OT | 1 Samuel | Chapter 17 | Verse 10] Καὶ εἶπεν ὁ ἀλλόφυλος, ἰδοὺ ἐγὼ ὠνείδισα τὴν παράταξιν Ἰσραὴλ σήμερον ἐν τῇ ἡμέρᾳ ταύτῃ· δότε μοι ἄνδρα, καὶ μονομαχήσομεν ἀμφότεροι.
[LXX | EL | OT | 1 Samuel | Chapter 17 | Verse 11] Καὶ ἤκουσε Σαοὺλ καὶ πᾶς Ἰσραὴλ τὰ ῥήματα τοῦ ἀλλοφύλου ταῦτα, καὶ ἐξέστησαν καὶ ἐφοβήθησαν σφόδρα.
