[LXX | EL | OT | 1 Samuel | Chapter 8 | Verse 1] Καὶ ἐγένετο ὡς ἐγήρασε Σαμουὴλ, καὶ κατέστησε τούς υἱοὺς αὐτοῦ δικαστὰς τῷ Ἰσραήλ.
[LXX | EL | OT | 1 Samuel | Chapter 8 | Verse 2] Καὶ ταῦτα τὰ ὀνόματα τῶν υἱῶν αὐτοῦ· πρωτότοκος Ἰωήλ, καὶ ὄνομα τοῦ δευτέρου ʼΑβιά, δικασταὶ ἐν Βηρσαβεέ.
[LXX | EL | OT | 1 Samuel | Chapter 8 | Verse 3] Καὶ οὐκ ἐπορεύθησαν οἱ υἱοὶ αὐτοῦ ἐν ὁδῷ αὐτοῦ· καὶ ἐξέκλιναν ὀπίσω τῆς συντελείας, καὶ ἐλάμβανον δῶρα, καὶ ἐξέκλινον δικαιώματα.
[LXX | EL | OT | 1 Samuel | Chapter 8 | Verse 4] Καὶ συναθροίζονται ἄνδρες Ἰσραὴλ, καὶ παραγίνονται εἰς ʼΑρμαθαὶμ πρὸς Σαμουὴλ,
[LXX | EL | OT | 1 Samuel | Chapter 8 | Verse 5] καὶ εἶπαν αὐτῷ, ἰδοὺ, σὺ γεγήρακας, καὶ οἱ υἱοί σου οὐ πορεύονται ἐν τῇ ὁδῷ σου· καὶ νῦν κατάστησον ἐφʼ ἡμᾶς βασιλέα δικάζειν ἡμᾶς, καθὰ καὶ τὰ λοιπὰ ἔθνη.
[LXX | EL | OT | 1 Samuel | Chapter 8 | Verse 6] Καὶ πονηρὸν τὸ ῥῆμα ἐν ὀφθαλμοῖς Σαμουήλ, ὡς εἶπαν, δὸς ἡμῖν βασιλέα δικάζειν ἡμᾶς· καὶ προσηύξατο Σαμουὴλ πρὸς Κύριον.
[LXX | EL | OT | 1 Samuel | Chapter 8 | Verse 7] Καὶ εἶπε Κύριος πρὸς Σαμουήλ, ἄκουε τῆς φωνῆς τοῦ λαοῦ, καθὰ ἂν λαλῶσί σοι, ὅτι οὐ σὲ ἐξουθενήκασιν, ἀλλʼ ἢ ἐμὲ ἐξουθενήκασι τοῦ μὴ βασιλεύειν ἐπʼ αὐτῶν.
[LXX | EL | OT | 1 Samuel | Chapter 8 | Verse 8] Κατὰ πάντα τὰ ποιήματα, ἃ ἐποίησάν μοι ἀφʼ ἧς ἡμέρας ἀνήγαγον αὐτοὺς ἐξ Αἰγύπτου ἕως τῆς ἡμέρας ταύτης, καὶ ἐγκατέλιπόν με, καὶ ἐδούλευον θεοῖς ἑτέροις, οὕτως αὐτοὶ ποιοῦσι καὶ σοί.
[LXX | EL | OT | 1 Samuel | Chapter 8 | Verse 9] Καὶ νῦν ἄκουε τῆς φωνῆς αὐτῶν· πλὴν ὅτι διαμαρτυρόμενος διαμαρτύρῃ αὐτοῖς, καὶ ἀπαγγελεῖς αὐτοῖς τὸ δικαίωμα τοῦ βασιλέως ὃς βασιλεύσει ἐπʼ αὐτούς.
[LXX | EL | OT | 1 Samuel | Chapter 8 | Verse 10] Καὶ εἶπε Σαμουὴλ πᾶν τὸ ῥῆμα τοῦ κυρίου πρὸς τὸν λαὸν τοὺς αἰτοῦντας παρʼ αὐτοῦ βασιλέα.
[LXX | EL | OT | 1 Samuel | Chapter 8 | Verse 11] Καὶ εἶπε, τοῦτο ἔσται τὸ δικαίωμα τοῦ βασιλέως ὃς βασιλεύσει ἐφʼ ὑμᾶς· τοὺς υἱοὺς ὑμῶν λήψεται, καὶ θήσεται αὐτοὺς ἐν ἅρμασιν αὐτοῦ, καὶ ἐν ἱππεῦσιν αὐτοῦ, καὶ προτρέχοντας τῶν ἁρμάτων αὐτοῦ,
[LXX | EL | OT | 1 Samuel | Chapter 8 | Verse 12] καὶ θέσθαι αὐτοὺς ἑαυτῷ ἑκατονάρχους καὶ χιλιάρχους, καὶ θερίζειν θερισμὸν αὐτοῦ, καὶ τρυγᾷν τρυγητὸν αὐτοῦ, καὶ ποιεῖν σκεύη πολεμικὰ αὐτοῦ, καὶ σκεύη ἁρμάτων αὐτοῦ.
[LXX | EL | OT | 1 Samuel | Chapter 8 | Verse 13] Καὶ τὰς θυγατέρας ὑμῶν λήψεται εἰς μυρεψοὺς, καὶ εἰς μαγειρίσσας, καὶ εἰς πεσσούσας.
[LXX | EL | OT | 1 Samuel | Chapter 8 | Verse 14] Καὶ τοὺς ἀγροὺς ὑμῶν, καὶ τοὺς ἀμπελῶνας ὑμῶν, καὶ τοὺς ἐλαιῶνας ὑμῶν τοὺς ἀγαθοὺς λήψεται, καὶ δώσει τοῖς δούλοις ἑαυτοῦ.
[LXX | EL | OT | 1 Samuel | Chapter 8 | Verse 15] Καὶ τὰ σπέρματα ὑμῶν καὶ τοὺς ἀμπελῶνας ὑμῶν ἀποδεκατώσει, καὶ δώσει τοῖς εὐνούχοις αὐτοῦ, καὶ τοῖς δούλοις αὐτοῦ.
[LXX | EL | OT | 1 Samuel | Chapter 8 | Verse 16] Καὶ τοὺς δούλους ὑμῶν, καὶ τὰς δούλας ὑμῶν, καὶ τὰ βουκόλια ὑμῶν τὰ ἀγαθὰ, καὶ τοὺς ὄνους ὑμῶν λήψεται, καὶ ἀποδεκατώσει εἰς τὰ ἔργα αὐτοῦ·
