[LXX | EL | OT | 1 Samuel | Chapter 14 | Verse 1] Καὶ γίνεται ἡ ἡμέρα, καὶ εἶπεν Ἰωνάθαν υἱὸς Σαοὺλ τῷ παιδαρίῳ τῷ αἴροντι τὰ σκεύη αὐτοῦ, δεῦρο, καὶ διαβῶμεν εἰς Μεσσὰβ τῶν ἀλλοφύλων τὴν ἐν τῷ πέραν ἐκείνῳ· καὶ τῷ πατρὶ αὐτοῦ οὐκ ἀπήγγειλε.
[LXX | EL | OT | 1 Samuel | Chapter 14 | Verse 2] Καὶ Σαοὺλ ἐκάθητο ἐπʼ ἄκρου τοῦ βουνοῦ ὑπὸ τὴν ῥοὰν τὴν ἐν Μαγδὼν, καὶ ἦσαν μετʼ αὐτοῦ ὡς ἑξακόσιοι ἄνδρες.
[LXX | EL | OT | 1 Samuel | Chapter 14 | Verse 3] Καὶ ʼΑχιὰ υἱὸς ʼΑχιτὼβ ἀδελφοῦ Ἰωχαβὴλ υἱοῦ Φινεὲς υἱοῦ Ἡλὶ ἱερεὺς τοῦ Θεοῦ ἐν Σηλὼμ αἴρων ἐφούδ· καὶ ὁ λαὸς οὐκ ᾔδει ὅτι πεπόρευται Ἰωνάθαν.
[LXX | EL | OT | 1 Samuel | Chapter 14 | Verse 4] Καὶ ἀναμέσον τῆς διαβάσεως οὗ ἐζήτει Ἰωνάθαν διαβῆναι εἰς τὴν ὑπόστασιν τῶν ἀλλοφύλων, καὶ ὀδοὺς πέτρας ἐκ τούτου, καὶ ὀδοὺς πέτρας ἐκ τούτου· ὄνομα τῷ ἑνὶ Βασὲς, καὶ ὄνομα τῷ ἄλλῳ Σεννά.
[LXX | EL | OT | 1 Samuel | Chapter 14 | Verse 5] Ἡ ὁδὸς ἡ μία ἀπὸ Βοῤῥᾶ ἐρχομένῳ Μαχμάς, καὶ ἡ ὁδὸς ἡ ἄλλη ἀπὸ Νότου ἐρχομένῳ Γαβαέ.
[LXX | EL | OT | 1 Samuel | Chapter 14 | Verse 6] Καὶ εἶπεν Ἰωνάθαν πρὸς τὸ παιδάριον τὸ αἶρον τὰ σκεύη αὐτοῦ, δεῦρο, διαβῶμεν εἰς Μεσσὰβ τῶν ἀπεριτμήτων τούτων, εἴ τι ποιήσαι Κύριος ἡμῖν, ὅτι οὐκ ἔστι τῷ Κυρίῳ συνεχόμενον σώζειν ἐν πολλοῖς ἢ ἐν ὀλίγοις.
[LXX | EL | OT | 1 Samuel | Chapter 14 | Verse 7] Καὶ εἶπεν αὐτῷ ὁ αἴρων τὰ σκεύη αὐτοῦ, ποίει πᾶν ὃ ἐὰν ἡ καρδία σου ἐκκλίνῃ· ἰδοὺ ἐγὼ μετὰ σοῦ, ὡς ἡ καρδία σον καρδία μοῦ.
[LXX | EL | OT | 1 Samuel | Chapter 14 | Verse 8] Καὶ εἶπεν Ἰωνάθαν, ἰδοὺ ἡμεὶς διαβαίνομεν πρὸς τοὺς ἄνδρας, καὶ κατακυλισθησόμεθα πρὸς αὐτούς·
[LXX | EL | OT | 1 Samuel | Chapter 14 | Verse 9] Ἐὰν τάδε εἴπωσι πρὸς ἡμᾶς, ἀπόστητε ἐκεῖ ἕως ἂν ἀπαγγείλωμεν ὑμῖν· καἰ στησόμεθα ἐφʼ ἑαυτοῖς, καὶ οὐ μὴ ἀναβῶμεν ἐπʼ αὐτούς.
[LXX | EL | OT | 1 Samuel | Chapter 14 | Verse 10] Ἐὰν τάδε εἴπωσι πρὸς ἡμᾶς, ἀνάβητε πρὸς ἡμᾶς· καὶ ἀναβησόμεθα, ὅτι παραδέδωκεν αὐτοὺς Κύριος εἰς χεῖρας ἡμῶν· τοῦτο ἡμῖν τὸ σημεῖον.
[LXX | EL | OT | 1 Samuel | Chapter 14 | Verse 11] Καὶ εἰσῆλθον ἀμφότεροι εἰς Μεσσὰβ τῶν ἀλλοφύλων· καὶ λέγουσιν οἱ ἀλλόφυλοι, ἰδοὺ Ἐβραῖοι ἐκπορεύονται ἐκ τῶν τρωγλῶν αὐτῶν, οὗ ἐκρύβησαν ἐκεῖ.
