[LXX | EL | OT | 1 Samuel | Chapter 2 | Verse 1] Ἐστερέωθη ἡ καρδία μου ἐν Κυρίῳ, ὑψώθη κέρας μου ἐν Θεῷ μου, ἐπλατύνθη ἐπʼ ἐχθρούς μου τὸ στόμα μου, εὐφράνθην ἐν σωτηρίᾳ σου.
[LXX | EL | OT | 1 Samuel | Chapter 2 | Verse 2] Ὅτι οὐκ ἔστιν ἅγιος ὡς Κύριος, καὶ οὐκ ἔστι δίκαιος ὡς ὁ Θεὸς ἡμῶν, οὐκ ἔστιν ἅγιος πλήν σου.
[LXX | EL | OT | 1 Samuel | Chapter 2 | Verse 3] Μὴ καυχᾶσθε, καὶ μὴ λαλεῖτε ὑψηλά· μὴ ἐξελθέτω μεγαλοῤῥημοσύνη ἐκ τοῦ στόματος ὑμῶν, ὅτι Θεὸς γνώσεων Κύριος, καὶ Θεὸς ἑτοιμάζων ἐπιτηδεύματα αὐτοῦ.
[LXX | EL | OT | 1 Samuel | Chapter 2 | Verse 4] Τόξον δυνατῶν ἠσθένησε, καὶ ἀσθενοῦντες περιεζώσαντο δυνάμιν.
[LXX | EL | OT | 1 Samuel | Chapter 2 | Verse 5] Πλήρεις ἄρτων ἠλαττώθησαν, καὶ οἱ πεινῶντες παρῆκαν γῆν· ὅτι στεῖρα ἔτεκεν ἑπτὰ, καὶ ἡ πολλὴ ἐν τέκνοις ἠσθένησε.
[LXX | EL | OT | 1 Samuel | Chapter 2 | Verse 6] Κύριος θανατοῖ καὶ ζωογονεῖ, κατάγει εἰς ᾅδου καὶ ἀνάγει.
[LXX | EL | OT | 1 Samuel | Chapter 2 | Verse 7] Κύριος πτωχίζει καὶ πλουτίζει, ταπεινοῖ καὶ ἀνυψοῖ.
[LXX | EL | OT | 1 Samuel | Chapter 2 | Verse 8] Ἀνιστᾷ ἀπὸ γῆς πένητα, καὶ ἀπὸ κοπρίας ἐγείρει πτωχὸν, καθίσαι μετὰ δυναστῶν λαοῦ, καὶ θρόνον δόξης κατακληρονομῶν αὐτοῖς,
[LXX | EL | OT | 1 Samuel | Chapter 2 | Verse 9] διδοὺς εὐχὴν τῷ εὐχομένῳ· καὶ εὐλόγησεν ἔτη δικαίου, ὅτι οὐκ ἐν ἰσχύϊ δυνατὸς ἀνήρ.
[LXX | EL | OT | 1 Samuel | Chapter 2 | Verse 10] Κύριος ἀσθενῆ ποιήσει ἀντίδικον αὐτοῦ, Κύριος ἅγιος· μὴ καυχάσθω ὁ φρόνιμος ἐν τῇ φρονήσει αὐτοῦ, καὶ μὴ καυχάσθω ὁ δυνατὸς ἐν τῇ δυνάμει αὐτοῦ, καὶ μὴ καυχάσθω ὁ πλούσιος ἐν τῷ πλούτῳ αὐτοῦ· ἀλλʼ ἐν τούτῳ καυχάσθω ὁ καυχώμενος, συνιεῖν καὶ γινώσκειν τὸν Κύριον, καὶ ποιεῖν κρίμα καὶ δικαιοσύνην ἐν μέσῳ τῆς γῆς. Κύριος ἀνέβη εἰς οὐρανοὺς, καὶ ἐβρόντησεν· αὐτὸς κρινεῖ ἄκρα γῆς, καὶ δίδωσιν ἰσχὺν τοῖς βασιλεῦσιν ἡμῶν, καὶ ὑψώσει κέρας χριστοῦ αὐτοῦ.
[LXX | EL | OT | 1 Samuel | Chapter 2 | Verse 11] Καὶ κατέλιπεν αὐτὸν ἐκεῖ ἐνώπιον Κυρίου, καὶ ἀπῆλθεν εἰς Ἀρμαθαίμ· καὶ τὸ παιδάριον ἦν λειτουργῶν τῷ προσώπῳ Κυρίου ἐνώπιον Ἡλὶ τοῦ ἱερέως.
[LXX | EL | OT | 1 Samuel | Chapter 2 | Verse 12] Καὶ οἱ υἱοὶ Ἡλὶ τοῦ ἱερέως υἱοὶ λοιμοί, οὐκ εἰδότες τὸν Κύριον.
[LXX | EL | OT | 1 Samuel | Chapter 2 | Verse 13] Καὶ τὸ δικαίωμα τοῦ ἱερέως παρὰ τοῦ λαοῦ παντὸς τοῦ θύοντος· καὶ ἤρχετο τὸ παιδάριον τοῦ ἱερέως ὡς ἂν ἡψήθη τὸ κρέας, καὶ κρεάγρα τριόδους ἐν τῇ χειρὶ αὐτοῦ,
[LXX | EL | OT | 1 Samuel | Chapter 2 | Verse 14] καὶ ἐπάταξεν αὐτὴν εἰς τὸν λέβητα τὸν μέγαν ἢ εἰς τὸ χαλκεῖον ἢ εἰς τὴν χύτραν, καὶ πᾶν ὃ ἐὰν ἀνέβη ἐν τῇ κρεάγρᾳ, ἐλάμβανεν ἑαυτῷ ὁ ἱερεύς· κατὰ τάδε ἐποίουν παντὶ Ἰσραὴλ τοῖς ἐρχομένοις θῦσαι Κυρίῳ ἐν Σηλώμ.
[LXX | EL | OT | 1 Samuel | Chapter 2 | Verse 15] Καὶ πρὶν θυμιαθῆναι τὸ στέαρ, ἤρχετο τὸ παιδάριον τοῦ ἱερέως, καὶ ἔλεγε τῷ ἀνδρὶ τῷ θύοντι, δὸς κρέας ὀπτῆσαι τῷ ἱερεῖ, καὶ οὐ μὴ λάβω παρὰ σοῦ κρέας ἑφθὸν ἐκ τοῦ λέβητος.
[LXX | EL | OT | 1 Samuel | Chapter 2 | Verse 16] Καὶ ἔλεγεν ὁ ἀνὴρ ὁ θύων, θυμιαθήτω πρῶτον ὡς καθήκει τὸ στέαρ, καὶ λάβε σεαυτῷ ἐκ πάντων ὧν ἐπιθυμεῖ ἡ ψυχή σου· καὶ εἶπεν, οὐχί· ὅτι νῦν δώσεις· καὶ ἐὰν μὴ, λήψομαι κραταιῶς.
[LXX | EL | OT | 1 Samuel | Chapter 2 | Verse 17] Καὶ ἦν ἡ ἁμαρτία ἐνώπιον Κυρίου τῶν παιδαρίων μεγάλη σφόδρα, ὅτι ἠθέτουν τὴν θυσίαν Κυρίου.
[LXX | EL | OT | 1 Samuel | Chapter 2 | Verse 18] Καὶ Σαμουὴλ ἦν λειτουργῶν ἐνώπιον Κυρίου, παιδάριον περιεζωσμένον ἐφοὺδ βάδ·
[LXX | EL | OT | 1 Samuel | Chapter 2 | Verse 19] Καὶ διπλοΐδα μικρὰν ἐποίησεν αὐτῷ ἡ μήτηρ αὐτοῦ, καὶ ἀνέφερεν αὐτῷ ἐξ ἡμερῶν εἰς ἡμέρας ἐν τῷ ἀναβαίνειν αὐτὴν μετὰ τοῦ ἀνδρὸς αὐτῆς θῦσαι τὴν θυσίαν τῶν ἡμερῶν.
[LXX | EL | OT | 1 Samuel | Chapter 2 | Verse 20] Καὶ εὐλόγησεν Ἡλὶ τὸν Ἑλκανὰ καὶ τὴν γυναῖκα αὐτοῦ, λέγων, ἀποτίσαι σοι Κύριος σπέρμα ἐκ τῆς γυναικὸς ταύτης, ἀντὶ τοῦ χρέους οὗ ἔχρησας τῷ Κυρίῳ· καὶ ἀπῆλθεν ὁ ἄνθρωπος εἰς τὸν τὸπον αὐτοῦ.
[LXX | EL | OT | 1 Samuel | Chapter 2 | Verse 21] Καὶ ἐπεσκέψατο Κύριος τὴν Ἄνναν, καὶ ἔτεκεν ἔτι τρεῖς υἱοὺς, καὶ δύο θυγατέρας· καὶ ἐμεγαλύνθη τὸ παιδάριον Σαμουὴλ ἐνώπιον Κυρίου.
[LXX | EL | OT | 1 Samuel | Chapter 2 | Verse 22] Καὶ Ἡλὶ πρεσβύτης σφόδρα· καὶ ἤκουσεν ἃ ἐποίουν οἱ υἱοὶ αὐτοῦ τοῖς υἱοῖς Ἰσραήλ·
[LXX | EL | OT | 1 Samuel | Chapter 2 | Verse 23] Καὶ εἶπεν αὐτοῖς, ἱνατί ποιεῖτε κατὰ τὸ ῥῆμα τοῦτο, ὃ ἐγὼ ἀκούω ἐκ στόματος παντὸς τοῦ λαοῦ Κυρίου;
[LXX | EL | OT | 1 Samuel | Chapter 2 | Verse 24] Μὴ τέκνα, ὅτι οὐκ ἀγαθὴ ἡ ἀκοὴ ἣν ἐγὼ ἀκούω· μὴ ποιεῖτε οὕτως, ὅτι οὐκ ἀγαθαὶ αἱ ἀκοαὶ ἃς ἐγὼ ἀκούω τοῦ μὴ δουλεύειν λαὸν Θεῷ.
[LXX | EL | OT | 1 Samuel | Chapter 2 | Verse 25] Ἐὰν ἁμαρτάνων ἁμάρτῃ ἀνὴρ εἰς ἄνδρα, καὶ προσεύξονται ὑπὲρ αὐτοῦ πρὸς Κύριον· καὶ ἐὰν τῷ Κυρίῳ ἁμάρτῃ, τίς προσεύξεται ὑπὲρ αὐτοῦ; Καὶ οὐκ ἤκουον τῆς φωνῆς τοῦ πατρὸς αὐτῶν, ὅτι βουλόμενος ἐβούλετο Κύριος διαφθεῖραι αὐτούς.
[LXX | EL | OT | 1 Samuel | Chapter 2 | Verse 26] Καὶ τὸ παιδάριον Σαμουὴλ ἐπορεύετο, καὶ ἦν ἀγαθὸν μετὰ Κυρίου καὶ μετὰ ανθρώπων.
[LXX | EL | OT | 1 Samuel | Chapter 2 | Verse 27] Καὶ ἦλθεν ὁ ἄνθρωπος Θεοῦ πρὸς Ἡλὶ, καὶ εἶπε, τάδε λέγει Κύριος, ἀποκαλυφθεὶς ἀπεκαλύφθην πρὸς οἶκον τοῦ πατρός σου, ὄντων αὐτῶν ἐν γῇ Αἰγύπτῳ δούλων τῷ οἴκῳ Φαραὼ.
[LXX | EL | OT | 1 Samuel | Chapter 2 | Verse 28] Καὶ ἐξελεξάμην τὸν οἶκον τοῦ πατρός σου ἐκ πάντων τῶν σκήπτρων Ἰσραὴλ ἐμοὶ ἱερατεύειν, τοῦ ἀναβαίνειν ἐπὶ θυσιαστήριόν μου, καὶ θυμιᾷν θυμίαμα, καὶ αἴρειν ἐφούδ· καὶ ἔδωκα τῷ οἴκῳ τοῦ πατρός σου τὰ πάντα τοῦ πυρὸς υἱῶν Ἰσραὴλ εἰς βρῶσιν.
[LXX | EL | OT | 1 Samuel | Chapter 2 | Verse 29] Καὶ ἱνατί ἐπέβλεψας ἐπὶ τὸ θυμίαμά μου καὶ εἰς τὴν θυσίαν μου ἀναιδεῖ ὀφθαλμῷ; καὶ ἐδόξασας τοὺς υἱούς σου ὑπὲρ ἐμὲ ἐνευλογεῖσθαι ἀπαρχῆς πάσης θυσίας τοῦ Ἰσραὴλ ἔμπροσθέν μου;
[LXX | EL | OT | 1 Samuel | Chapter 2 | Verse 30] Διὰ τοῦτο τάδε λέγει Κύριος ὁ Θεὸς Ἰσραὴλ, εἶπα, ὁ οἶκός σου καὶ ὁ οἶκος τοῦ πατρός σου διελεύσεται ἐνώπιόν μου ἕως αἰῶνος· καὶ νῦν φησι Κὺριος, μηδαμῶς ἐμοὶ, ὅτι ἀλλʼ ἢ τοὺς δοξάζοντάς με δοξάσω, καὶ ὁ ἐξουθενῶν με ἀτιμωθήσεται.
[LXX | EL | OT | 1 Samuel | Chapter 2 | Verse 31] Ἰδοὺ ἔρχονται ἡμέραι, καὶ ἐξολοθρεύσω τὸ σπέρμα σου καὶ τὸ σπέρμα οἴκου πατρός σου·
[LXX | EL | OT | 1 Samuel | Chapter 2 | Verse 32] Καὶ οὐκ ἔσται σοι πρεσβύτης ἐν οἴκῳ μου πάσας τὰς ἡμέρας.
[LXX | EL | OT | 1 Samuel | Chapter 2 | Verse 33] Καὶ ἄνδρα οὐκ ἐξολοθρεύσω σοι ἀπὸ τοῦ θυσιαστηρίου μου, ἐκλείπειν τοὺς ὀφθαλμοὺς αὐτοῦ, καὶ καταῤῥεῖν τὴν ψυχὴν αὐτοῦ· καὶ πᾶς περισσεύων οἴκου σου πεσοῦνται ἐν ῥομφαίᾳ ἀνδρῶν.
[LXX | EL | OT | 1 Samuel | Chapter 2 | Verse 34] Καὶ τοῦτό σοι τὸ σημεῖον ὃ ἥξει ἐπὶ τοὺς δύο υἱούς σου, Ὀφνὶ καὶ Φινεὲς, ἐν μιᾷ ἡμέρᾳ ἀποθανοῦνται ἀμφότεροι.
[LXX | EL | OT | 1 Samuel | Chapter 2 | Verse 35] Καὶ ἀναστήσω ἐμαυτῷ ἱερέα πιστὸν, ὃς πάντα τὰ ἐν τῇ καρδίᾳ μου καὶ τὰ ἐν τῇ ψυχῇ μου ποιήσει καὶ οἰκοδομήσω αὐτῷ οἶκον πιστὸν, καὶ διελεύσεται ἐνώπιον χριστοῦ μου πάσας τὰς ἡμέρας.
