[LXX | EL | OT | 1 Samuel | Chapter 26 | Verse 1] Καὶ ἔρχονται οἱ Ζιφαῖοι ἐκ τῆς αὐχμώδους πρὸς τὸν Σαοὺλ εἰς τὸν βουνὸν, λέγοντες, ἰδοὺ Δαυὶδ σκεπάζεται μεθʼ ἡμῶν ἐν τῷ βουνῷ τῷ ʼΕχελὰ, κατὰ πρόσωπον τοῦ Ἰεσσεμοῦ.
[LXX | EL | OT | 1 Samuel | Chapter 26 | Verse 2] Καὶ ἀνέστη Σαοὺλ, καὶ κατέβη εἰς τὴν ἔρημον Ζὶφ, καὶ μετʼ αὐτοὺ τρεῖς χιλιάδες ἀνδρῶν ἐκλεκτοὶ ἐξ Ἰσραὴλ, ζητεῖν τὸν Δαυὶδ ἐν τῇ ἐρήμῳ Ζίφ.
[LXX | EL | OT | 1 Samuel | Chapter 26 | Verse 3] Καὶ παρενέβαλε Σαοὺλ ἐν τῷ βουνῷ τῷ Ἐχελὰ τῷ ἐπὶ προσώπου τοῦ Ἰεσσεμοῦ ἐπὶ τῆς ὁδοῦ, καὶ Δαυὶδ ἐκάθισεν ἐν τῇ ἐρήμῳ· καὶ εἶδε Δαυὶδ, ὅτι ἥκει Σαοὺλ ὀπίσω αὐτοῦ εἰς τὴν ἔρημον.
[LXX | EL | OT | 1 Samuel | Chapter 26 | Verse 4] Καὶ ἀπέστειλε Δαυὶδ κατασκόπους, καὶ ἔγνω ὅτι ἥκει Σαοὺλ ἕτοιμος ἐκ Κεϊλά.
[LXX | EL | OT | 1 Samuel | Chapter 26 | Verse 5] Καὶ ἀνέστη Δαυὶδ λάθρα, καὶ εἰσπορεύεται εἰς τὸν τόπον οὗ ἐκάθευδεν ἐκεῖ Σαοὺλ, καὶ ἐκεῖ Ἀβεννὴρ υἱὸς Νὴρ ἀρχιστράτηγος αὐτοῦ· καὶ Σαοὺλ ἐκάθευδεν ἐν λαμπήνῃ, καὶ ὁ λαὸς παρεμβεβληκὼς κύκλῳ αὐτοῦ.
[LXX | EL | OT | 1 Samuel | Chapter 26 | Verse 6] Καὶ ἀπεκρίθη Δαυὶδ, καὶ εἶπε πρὸς Ἀβιμέλεχ τὸν Χετταῖον, καὶ πρὸς Ἀβεσσὰ υἱὸν Σαρουίας ἀδελφὸν Ἰωὰβ, λέγων, τίς εἰσελεύσεται μετʼ ἐμοῦ πρὸς Σαοὺλ εἰς τὴν παρεμβολήν; καὶ εἶπεν Ἀβεσσὰ, ἐγὼ εἰσελεύσομαι μετὰ σοῦ.
[LXX | EL | OT | 1 Samuel | Chapter 26 | Verse 7] Καὶ εἰσπορεύεται Δαυὶδ καὶ Ἀβεσσὰ εἰς τὸν λαὸν τὴν νύκτα· καὶ ἰδοὺ Σαοὺλ καθεύδων ὕπνῳ ἐν λαμπήνῃ, καὶ τὸ δόρυ αὐτοῦ ἐμπεπηγὸς εἰς τὴν γῆν πρὸς κεφαλῆς αὐτοῦ, καὶ Ἀβεννὴρ καὶ ὁ λαὸς αὐτοῦ ἐκάθευδε κύκλῳ αὐτοῦ.
[LXX | EL | OT | 1 Samuel | Chapter 26 | Verse 8] Καὶ εἶπεν Ἀβεσσὰ πρὸς Δαυὶδ, ἀπέκλεισε Κύριος σήμερον τὸν ἐχθρόν σου εἰς χεῖράς σου· καὶ νῦν πατάξω αὐτὸν τῷ δόρατι εἰς τὴν γῆν ἅπαξ, καὶ οὐ δευτερώσω αὐτῷ.
[LXX | EL | OT | 1 Samuel | Chapter 26 | Verse 9] Καὶ εἶπε Δαυὶδ πρὸς Ἀβεσσὰ, μὴ ταπεινώσῃς αὐτὸν, ὅτι τίς ἐποίσει χεῖρα αὐτοῦ ἐπὶ χριστὸν Κυρίου καὶ ἀθωωθήσεται;
[LXX | EL | OT | 1 Samuel | Chapter 26 | Verse 10] Καὶ εἶπε Δαυὶδ, ζῇ Κύριος, ἐὰν μὴ Κύριος παίσῃ αὐτὸν, ἢ ἡμέρα αὐτοῦ ἔλθῃ καὶ ἀποθάνῃ, ἢ εἰς πόλεμον καταβῇ καὶ προστεθῇ.
[LXX | EL | OT | 1 Samuel | Chapter 26 | Verse 11] Μηδαμῶς μοι παρὰ Κυρίου ἐπενεγκεῖν χεῖρά μου ἐπὶ χριστὸν Κυρίου· καὶ νῦν λάβε δὴ τὸ δόρυ ἀπὸ προσκεφαλῆς αὐτοῦ, καὶ τὸν φακὸν τοῦ ὕδατος, καὶ ἀπέλθωμεν ἡμεῖς καθʼ ἑαυτούς.
