[KJV | EN | NT | Mark | Chapter 3 | Verse 1] And he entered again into the synagogue; and there was a man there which had a withered hand.
[KJV | EN | NT | Mark | Chapter 3 | Verse 2] And they watched him, whether he would heal him on the sabbath day; that they might accuse him.
[KJV | EN | NT | Mark | Chapter 3 | Verse 3] And he saith unto the man which had the withered hand, Stand forth.
[KJV | EN | NT | Mark | Chapter 3 | Verse 4] And he saith unto them, Is it lawful to do good on the sabbath days, or to do evil? to save life, or to kill? But they held their peace.
[KJV | EN | NT | Mark | Chapter 3 | Verse 5] And when he had looked round about on them with anger, being grieved for the hardness of their hearts, he saith unto the man, Stretch forth thine hand. And he stretched it out: and his hand was restored whole as the other.
[KJV | EN | NT | Mark | Chapter 3 | Verse 6] And the Pharisees went forth, and straightway took counsel with the Herodians against him, how they might destroy him.
[KJV | EN | NT | Mark | Chapter 3 | Verse 7] But Jesus withdrew himself with his disciples to the sea: and a great multitude from Galilee followed him, and from Judea,
[KJV | EN | NT | Mark | Chapter 3 | Verse 8] and from Jerusalem, and from Idumea, and from beyond Jordan; and they about Tyre and Sidon, a great multitude, when they had heard what great things he did, came unto him.
[KJV | EN | NT | Mark | Chapter 3 | Verse 9] And he spake to his disciples, that a small ship should wait on him because of the multitude, lest they should throng him.
[KJV | EN | NT | Mark | Chapter 3 | Verse 10] For he had healed many; insomuch that they pressed upon him for to touch him, as many as had plagues.
[KJV | EN | NT | Mark | Chapter 3 | Verse 11] And unclean spirits, when they saw him, fell down before him, and cried, saying, Thou art the Son of God.
[KJV | EN | NT | Mark | Chapter 3 | Verse 12] And he straitly charged them that they should not make him known.
[KJV | EN | NT | Mark | Chapter 3 | Verse 13] And he goeth up into a mountain, and calleth unto him whom he would: and they came unto him.
[KJV | EN | NT | Mark | Chapter 3 | Verse 14] And he ordained twelve, that they should be with him, and that he might send them forth to preach,
[KJV | EN | NT | Mark | Chapter 3 | Verse 15] and to have power to heal sicknesses, and to cast out devils:
[KJV | EN | NT | Mark | Chapter 3 | Verse 16] and Simon he surnamed Peter;
[KJV | EN | NT | Mark | Chapter 3 | Verse 17] and James the son of Zebedee, and John the brother of James; (and he surnamed them Boanerges, which is, The sons of thunder:)
[KJV | EN | NT | Mark | Chapter 3 | Verse 18] and Andrew, and Philip, and Bartholomew, and Matthew, and Thomas, and James the son of Alpheus, and Thaddeus, and Simon the Canaanite,
[KJV | EN | NT | Mark | Chapter 3 | Verse 19] and Judas Iscariot, which also betrayed him. And they went into a house.
[KJV | EN | NT | Mark | Chapter 3 | Verse 20] And the multitude cometh together again, so that they could not so much as eat bread.
[KJV | EN | NT | Mark | Chapter 3 | Verse 21] And when his friends heard of it, they went out to lay hold on him: for they said, He is beside himself.
[KJV | EN | NT | Mark | Chapter 3 | Verse 22] And the scribes which came down from Jerusalem said, He hath Beelzebub, and by the prince of the devils casteth he out devils.
[KJV | EN | NT | Mark | Chapter 3 | Verse 23] And he called them unto him, and said unto them in parables, How can Satan cast out Satan?
[KJV | EN | NT | Mark | Chapter 3 | Verse 24] And if a kingdom be divided against itself, that kingdom cannot stand.
[KJV | EN | NT | Mark | Chapter 3 | Verse 25] And if a house be divided against itself, that house cannot stand.
[KJV | EN | NT | Mark | Chapter 3 | Verse 26] And if Satan rise up against himself, and be divided, he cannot stand, but hath an end.
[KJV | EN | NT | Mark | Chapter 3 | Verse 27] No man can enter into a strong man’s house, and spoil his goods, except he will first bind the strong man; and then he will spoil his house.
[KJV | EN | NT | Mark | Chapter 3 | Verse 28] Verily I say unto you, All sins shall be forgiven unto the sons of men, and blasphemies wherewith soever they shall blaspheme:
[KJV | EN | NT | Mark | Chapter 3 | Verse 29] but he that shall blaspheme against the Holy Ghost hath never forgiveness, but is in danger of eternal damnation.
[KJV | EN | NT | Mark | Chapter 3 | Verse 30] Because they said, He hath an unclean spirit.
[KJV | EN | NT | Mark | Chapter 3 | Verse 31] There came then his brethren and his mother, and, standing without, sent unto him, calling him.
[KJV | EN | NT | Mark | Chapter 3 | Verse 32] And the multitude sat about him, and they said unto him, Behold, thy mother and thy brethren without seek for thee.
[KJV | EN | NT | Mark | Chapter 3 | Verse 33] And he answered them, saying, Who is my mother, or my brethren?
[KJV | EN | NT | Mark | Chapter 3 | Verse 34] And he looked round about on them which sat about him, and said, Behold my mother and my brethren.
[KJV | EN | NT | Mark | Chapter 3 | Verse 35] For whosoever shall do the will of God, the same is my brother, and my sister, and mother.
