[KJV | EN | OT | Tobit | Chapter 8 | Verse 1] And when they had supped, they brought Tobias in unto her.
[KJV | EN | OT | Tobit | Chapter 8 | Verse 2] And as he went, he remembered the words of Raphael, and took the ashes of the perfumes, and put the heart and the liver of the fish thereupon, and made a smoke therewith.
[KJV | EN | OT | Tobit | Chapter 8 | Verse 3] The which smell when the evil spirit had smelled, he fled into the utmost parts of Egypt, and the angel bound him.
[KJV | EN | OT | Tobit | Chapter 8 | Verse 4] And after that they were both shut in together, Tobias rose out of the bed, and said, Sister, arise, and let us pray that God would have pity on us.
[KJV | EN | OT | Tobit | Chapter 8 | Verse 5] Then began Tobias to say, Blessed art thou, O God of our fathers, and blessed is thy holy and glorious name for ever; let the heavens bless thee, and all thy creatures.
[KJV | EN | OT | Tobit | Chapter 8 | Verse 6] Thou madest Adam, and gavest him Eve his wife for a helper and stay: of them came mankind: thou hast said, It is not good that man should be alone; let us make unto him an aid like unto himself.
[KJV | EN | OT | Tobit | Chapter 8 | Verse 7] And now, O Lord, I take not this my sister for lust, but uprightly: therefore mercifully ordain that we may become aged together.
[KJV | EN | OT | Tobit | Chapter 8 | Verse 8] And she said with him, Amen.
[KJV | EN | OT | Tobit | Chapter 8 | Verse 9] So they slept both that night. And Raguel arose, and went and made a grave,
[KJV | EN | OT | Tobit | Chapter 8 | Verse 10] saying, I fear lest he also be dead.
[KJV | EN | OT | Tobit | Chapter 8 | Verse 11] But when Raguel was come into his house,
[KJV | EN | OT | Tobit | Chapter 8 | Verse 12] he said unto his wife Edna, Send one of the maids, and let her see whether he be alive: if he be not, that we may bury him, and no man know it.
[KJV | EN | OT | Tobit | Chapter 8 | Verse 13] So the maid opened the door, and went in, and found them both asleep,
[KJV | EN | OT | Tobit | Chapter 8 | Verse 14] and came forth, and told them that he was alive.
[KJV | EN | OT | Tobit | Chapter 8 | Verse 15] Then Raguel praised God, and said, O God, thou art worthy to be praised with all pure and holy praise; therefore let thy saints praise thee with all thy creatures; and let all thine angels and thine elect praise thee for ever.
[KJV | EN | OT | Tobit | Chapter 8 | Verse 16] Thou art to be praised, for thou hast made me joyful; and that is not come to me which I suspected; but thou hast dealt with us according to thy great mercy.
[KJV | EN | OT | Tobit | Chapter 8 | Verse 17] Thou art to be praised, because thou hast had mercy of two that were the only-begotten children of their fathers: grant them mercy, O Lord, and finish their life in health with joy and mercy.
[KJV | EN | OT | Tobit | Chapter 8 | Verse 18] Then Raguel bade his servants to fill the grave.
[KJV | EN | OT | Tobit | Chapter 8 | Verse 19] And he kept the wedding feast fourteen days.
[KJV | EN | OT | Tobit | Chapter 8 | Verse 20] For before the days of the marriage were finished, Raguel had said unto him by an oath, that he should not depart till the fourteen days of the marriage were expired;
[KJV | EN | OT | Tobit | Chapter 8 | Verse 21] and then he should take the half of his goods, and go in safety to his father; and should have the rest when I and my wife be dead.
