[WEBSTER | EN | NT | Romans | Chapter 5 | Verse 1] Therefore being justified by faith, we have peace with God, through our Lord Jesus Christ:
[WEBSTER | EN | NT | Romans | Chapter 5 | Verse 2] By whom also we have access by faith into this grace in which we stand, and rejoice in hope of the glory of God.
[WEBSTER | EN | NT | Romans | Chapter 5 | Verse 3] And not only so , but we glory in tribulations also; knowing that tribulation worketh patience;
[WEBSTER | EN | NT | Romans | Chapter 5 | Verse 4] And patience, experience; and experience, hope:
[WEBSTER | EN | NT | Romans | Chapter 5 | Verse 5] And hope maketh not ashamed, because the love of God is shed abroad in our hearts, by the Holy Spirit which is given to us.
[WEBSTER | EN | NT | Romans | Chapter 5 | Verse 6] For when we were yet without strength, in due time Christ died for the ungodly.
[WEBSTER | EN | NT | Romans | Chapter 5 | Verse 7] For scarcely for a righteous man will one die: yet perhaps for a good man some would even dare to die.
[WEBSTER | EN | NT | Romans | Chapter 5 | Verse 8] But God commendeth his love towards us, in that while we were yet sinners, Christ died for us.
[WEBSTER | EN | NT | Romans | Chapter 5 | Verse 9] Much more then, being now justified by his blood, we shall be saved from wrath through him.
[WEBSTER | EN | NT | Romans | Chapter 5 | Verse 10] For if when we were enemies, we were reconciled to God by the death of his Son; much more, being reconciled, we shall be saved by his life.
[WEBSTER | EN | NT | Romans | Chapter 5 | Verse 11] And not only so , but we also joy in God, through our Lord Jesus Christ, by whom we have now received the atonement.
[WEBSTER | EN | NT | Romans | Chapter 5 | Verse 12] Wherefore as by one man sin entered into the world, and death by sin; and so death passed upon all men, for that all have sinned.
[WEBSTER | EN | NT | Romans | Chapter 5 | Verse 13] For until the law, sin was in the world: but sin is not imputed when there is no law.
[WEBSTER | EN | NT | Romans | Chapter 5 | Verse 14] Nevertheless, death reigned from Adam to Moses, even over them that had not sinned after the similitude of Adam's transgression, who is the figure of him that was to come.
[WEBSTER | EN | NT | Romans | Chapter 5 | Verse 15] But not as the offense, so also is the free gift. For if through the offense of one many are dead, much more the grace of God, and the gift by grace, which is by one man, Jesus Christ, hath abounded to many.
[WEBSTER | EN | NT | Romans | Chapter 5 | Verse 16] And not as it was by one that sinned, so is the gift. For the judgment was by one to condemnation, but the free gift is of many offenses to justification.
[WEBSTER | EN | NT | Romans | Chapter 5 | Verse 17] For if by one man's offense death reigned by one; much more they who receive abundance of grace, and of the gift of righteousness, shall reign in life by one, Jesus Christ.
[WEBSTER | EN | NT | Romans | Chapter 5 | Verse 18] Therefore, as by the offense of one, judgment came upon all men to condemnation, even so by the righteousness of one the free gift came upon all men to justification of life.
[WEBSTER | EN | NT | Romans | Chapter 5 | Verse 19] For as by one man's disobedience many were made sinners, so by the obedience of one shall many be made righteous.
[WEBSTER | EN | NT | Romans | Chapter 5 | Verse 20] Moreover the law entered, that the offense might abound. But where sin abounded, grace did much more abound:
[WEBSTER | EN | NT | Romans | Chapter 5 | Verse 21] That as sin hath reigned to death, even so might grace reign through righteousness to eternal life, by Jesus Christ our Lord.
