[SBLGNT | EL | NT | Philippians | Chapter 3 | Verse 1] Τὸ λοιπόν, ἀδελφοί μου, χαίρετε ἐν κυρίῳ. τὰ αὐτὰ γράφειν ὑμῖν ἐμοὶ μὲν οὐκ ὀκνηρόν, ὑμῖν δὲ ἀσφαλές.
[SBLGNT | EL | NT | Philippians | Chapter 3 | Verse 2] Βλέπετε τοὺς κύνας, βλέπετε τοὺς κακοὺς ἐργάτας, βλέπετε τὴν κατατομήν.
[SBLGNT | EL | NT | Philippians | Chapter 3 | Verse 3] ἡμεῖς γάρ ἐσμεν ἡ περιτομή, οἱ πνεύματι θεοῦ λατρεύοντες καὶ καυχώμενοι ἐν Χριστῷ Ἰησοῦ καὶ οὐκ ἐν σαρκὶ πεποιθότες,
[SBLGNT | EL | NT | Philippians | Chapter 3 | Verse 4] καίπερ ἐγὼ ἔχων πεποίθησιν καὶ ἐν σαρκί. Εἴ τις δοκεῖ ἄλλος πεποιθέναι ἐν σαρκί, ἐγὼ μᾶλλον·
[SBLGNT | EL | NT | Philippians | Chapter 3 | Verse 5] περιτομῇ ὀκταήμερος, ἐκ γένους Ἰσραήλ, φυλῆς Βενιαμίν, Ἑβραῖος ἐξ Ἑβραίων, κατὰ νόμον Φαρισαῖος,
[SBLGNT | EL | NT | Philippians | Chapter 3 | Verse 6] κατὰ ⸀ζῆλος διώκων τὴν ἐκκλησίαν, κατὰ δικαιοσύνην τὴν ἐν νόμῳ γενόμενος ἄμεμπτος.
[SBLGNT | EL | NT | Philippians | Chapter 3 | Verse 7] Ἀλλὰ ἅτινα ἦν μοι κέρδη, ταῦτα ἥγημαι διὰ τὸν Χριστὸν ζημίαν.
[SBLGNT | EL | NT | Philippians | Chapter 3 | Verse 8] ἀλλὰ ⸀μενοῦνγε καὶ ἡγοῦμαι πάντα ζημίαν εἶναι διὰ τὸ ὑπερέχον τῆς γνώσεως Χριστοῦ Ἰησοῦ τοῦ κυρίου μου διʼ ὃν τὰ πάντα ἐζημιώθην, καὶ ἡγοῦμαι ⸀σκύβαλα ἵνα Χριστὸν κερδήσω
[SBLGNT | EL | NT | Philippians | Chapter 3 | Verse 9] καὶ εὑρεθῶ ἐν αὐτῷ, μὴ ἔχων ἐμὴν δικαιοσύνην τὴν ἐκ νόμου ἀλλὰ τὴν διὰ πίστεως Χριστοῦ, τὴν ἐκ θεοῦ δικαιοσύνην ἐπὶ τῇ πίστει,
[SBLGNT | EL | NT | Philippians | Chapter 3 | Verse 10] τοῦ γνῶναι αὐτὸν καὶ τὴν δύναμιν τῆς ἀναστάσεως αὐτοῦ καὶ ⸀κοινωνίαν παθημάτων αὐτοῦ, ⸀συμμορφιζόμενος τῷ θανάτῳ αὐτοῦ,
[SBLGNT | EL | NT | Philippians | Chapter 3 | Verse 11] εἴ πως καταντήσω εἰς τὴν ἐξανάστασιν ⸂τὴν ἐκ⸃ νεκρῶν.
[SBLGNT | EL | NT | Philippians | Chapter 3 | Verse 12] Οὐχ ὅτι ἤδη ἔλαβον ἢ ἤδη τετελείωμαι, διώκω δὲ εἰ καὶ καταλάβω, ἐφʼ ᾧ καὶ κατελήμφθην ὑπὸ ⸀Χριστοῦ.
[SBLGNT | EL | NT | Philippians | Chapter 3 | Verse 13] ἀδελφοί, ἐγὼ ἐμαυτὸν ⸀οὐ λογίζομαι κατειληφέναι· ἓν δέ, τὰ μὲν ὀπίσω ἐπιλανθανόμενος τοῖς δὲ ἔμπροσθεν ἐπεκτεινόμενος,
[SBLGNT | EL | NT | Philippians | Chapter 3 | Verse 14] κατὰ σκοπὸν διώκω ⸀εἰς τὸ βραβεῖον τῆς ἄνω κλήσεως τοῦ θεοῦ ἐν Χριστῷ Ἰησοῦ.
[SBLGNT | EL | NT | Philippians | Chapter 3 | Verse 15] ὅσοι οὖν τέλειοι, τοῦτο φρονῶμεν· καὶ εἴ τι ἑτέρως φρονεῖτε, καὶ τοῦτο ὁ θεὸς ὑμῖν ἀποκαλύψει·
[SBLGNT | EL | NT | Philippians | Chapter 3 | Verse 16] πλὴν εἰς ὃ ἐφθάσαμεν, τῷ αὐτῷ ⸀στοιχεῖν.
[SBLGNT | EL | NT | Philippians | Chapter 3 | Verse 17] Συμμιμηταί μου γίνεσθε, ἀδελφοί, καὶ σκοπεῖτε τοὺς οὕτω περιπατοῦντας καθὼς ἔχετε τύπον ἡμᾶς·
[SBLGNT | EL | NT | Philippians | Chapter 3 | Verse 18] πολλοὶ γὰρ περιπατοῦσιν οὓς πολλάκις ἔλεγον ὑμῖν, νῦν δὲ καὶ κλαίων λέγω, τοὺς ἐχθροὺς τοῦ σταυροῦ τοῦ Χριστοῦ,
[SBLGNT | EL | NT | Philippians | Chapter 3 | Verse 19] ὧν τὸ τέλος ἀπώλεια, ὧν ὁ θεὸς ἡ κοιλία καὶ ἡ δόξα ἐν τῇ αἰσχύνῃ αὐτῶν, οἱ τὰ ἐπίγεια φρονοῦντες.
[SBLGNT | EL | NT | Philippians | Chapter 3 | Verse 20] ἡμῶν γὰρ τὸ πολίτευμα ἐν οὐρανοῖς ὑπάρχει, ἐξ οὗ καὶ σωτῆρα ἀπεκδεχόμεθα κύριον Ἰησοῦν Χριστόν,
[SBLGNT | EL | NT | Philippians | Chapter 3 | Verse 21] ὃς μετασχηματίσει τὸ σῶμα τῆς ταπεινώσεως ⸀ἡμῶν σύμμορφον τῷ σώματι τῆς δόξης αὐτοῦ κατὰ τὴν ἐνέργειαν τοῦ δύνασθαι αὐτὸν καὶ ὑποτάξαι ⸀αὑτῷ τὰ πάντα.
