[IRV | ML | OT | 2 Kings | Chapter 15 | Verse 1] യിസ്രായേൽരാജാവായ യൊരോബെയാമിന്റെ ഇരുപത്തേഴാം ആണ്ടിൽ യെഹൂദാരാജാവായ അമസ്യാവിന്റെ മകൻ അസര്യാവു രാജാവായി.
[IRV | ML | OT | 2 Kings | Chapter 15 | Verse 2] അവൻ വാഴ്ച തുടങ്ങിയപ്പോൾ അവന്നു പതിനാറു വയസ്സായിരുന്നു; അവൻ അമ്പത്തിരണ്ടു സംവത്സരം യെരൂശലേമിൽ വാണു; യെരൂശലേംകാരത്തിയായ അവന്റെ അമ്മെക്കു യെഖോല്യാ എന്നു പേർ.
[IRV | ML | OT | 2 Kings | Chapter 15 | Verse 3] അവൻ തന്റെ അപ്പനായ അമസ്യാവു ചെയ്തതുപോലെ ഒക്കെയും യഹോവെക്കു പ്രസാദമായുള്ളതു ചെയ്തു.
[IRV | ML | OT | 2 Kings | Chapter 15 | Verse 4] എങ്കിലും പൂജാഗിരികൾക്കു നീക്കംവന്നില്ല; ജനം പൂജാഗിരികളിൽ യാഗം കഴിച്ചും ധൂപം കാട്ടിയും പോന്നു.
[IRV | ML | OT | 2 Kings | Chapter 15 | Verse 5] എന്നാൽ യഹോവ ഈ രാജാവിനെ ബാധിച്ചു. അവൻ ജീവപര്യന്തം കുഷ്ഠരോഗിയായി ഒരു പ്രത്യേകശാലയിൽ പാർത്തിരുന്നു; രാജകുമാരനായ യോഥാം രാജധാനിക്കു വിചാരകനായി ദേശത്തെ ജനത്തിന്നു ന്യായപാലനം ചെയ്തു.
[IRV | ML | OT | 2 Kings | Chapter 15 | Verse 6] അസര്യാവിന്റെ മറ്റുള്ള വൃത്താന്തങ്ങളും അവൻ ചെയ്തതൊക്കെയും യെഹൂദാരാജാക്കന്മാരുടെ വൃത്താന്തപുസ്തകത്തിൽ എഴുതിയിരിക്കുന്നുവല്ലോ.
[IRV | ML | OT | 2 Kings | Chapter 15 | Verse 7] അസര്യാവു തന്റെ പിതാക്കന്മാരെപ്പോലെ നിദ്രപ്രാപിച്ചു; അവർ അവനെ ദാവീദിന്റെ നഗരത്തിൽ അവന്റെ പിതാക്കന്മാരുടെ അടുക്കൽ അടക്കംചെയ്തു; അവന്റെ മകനായ യോഥാം അവന്നു പകരം രാജാവായി.
[IRV | ML | OT | 2 Kings | Chapter 15 | Verse 8] യെഹൂദാരാജാവായ അസര്യാവിന്റെ മുപ്പത്തെട്ടാം ആണ്ടിൽ യൊരോബെയാമിന്റെ മകനായ സെഖര്യാവു യിസ്രായേലിന്നു രാജാവായി ശമര്യയിൽ ആറു മാസം വാണു.
[IRV | ML | OT | 2 Kings | Chapter 15 | Verse 9] അവൻ തന്റെ പിതാക്കന്മാരെപ്പോലെ യഹോവെക്കു അനിഷ്ടമായുള്ളതു ചെയ്തു; യിസ്രായേലിനെക്കൊണ്ടു പാപം ചെയ്യിച്ച നെബാത്തിന്റെ മകനായ യൊരോബെയാമിന്റെ പാപങ്ങളെ വിട്ടുമാറിയില്ല.
[IRV | ML | OT | 2 Kings | Chapter 15 | Verse 10] യാബേശിന്റെ മകനായ ശല്ലൂം അവന്റെ നേരെ കൂട്ടുകെട്ടുണ്ടാക്കി ജനത്തിന്റെ മുമ്പിൽവെച്ചു അവനെ വെട്ടിക്കൊന്നു അവന്നുപകരം രാജാവായി.
[IRV | ML | OT | 2 Kings | Chapter 15 | Verse 11] സെഖര്യാവിന്റെ മറ്റുള്ള വൃത്താന്തങ്ങൾ യിസ്രായേൽരാജാക്കന്മാരുടെ വൃത്താന്തപുസ്തകത്തിൽ എഴുതിയിരിക്കുന്നുവല്ലോ.
[IRV | ML | OT | 2 Kings | Chapter 15 | Verse 12] യഹോവ യേഹൂവോടു: നിന്റെ പുത്രന്മാർ നാലാം തലമുറവരെ യിസ്രായേലിന്റെ സിംഹാസനത്തിൽ ഇരിക്കും എന്നു അരുളിച്ചെയ്ത വചനം ഇതാകുന്നു; അങ്ങനെ തന്നേ സംഭവിച്ചു.
[IRV | ML | OT | 2 Kings | Chapter 15 | Verse 13] യെഹൂദാരാജാവായ ഉസ്സീയാവിന്റെ മുപ്പത്തൊമ്പതാം ആണ്ടിൽ യാബേശിന്റെ മകനായ ശല്ലൂം രാജാവായി ശമര്യയിൽ ഒരു മാസം വാണു.
[IRV | ML | OT | 2 Kings | Chapter 15 | Verse 14] എന്നാൽ ഗാദിയുടെ മകനായ മെനഹേം തിസ്സയിൽനിന്നു പുറപ്പെട്ടു ശമര്യയിൽ വന്നു, യാബേശിന്റെ മകനായ ശല്ലൂമിനെ ശമര്യയിൽവെച്ചു വെട്ടിക്കൊന്നു അവന്നു പകരം രാജാവായി.
[IRV | ML | OT | 2 Kings | Chapter 15 | Verse 15] ശല്ലൂമിന്റെ മറ്റുള്ള വൃത്താന്തങ്ങളും അവൻ ഉണ്ടാക്കിയ കൂട്ടുകെട്ടും യിസ്രായേൽരാജാക്കന്മാരുടെ വൃത്താന്തപുസ്തകത്തിൽ എഴുതിയിരിക്കുന്നുവല്ലോ.
[IRV | ML | OT | 2 Kings | Chapter 15 | Verse 16] മെനഹേം തിപ്സഹും അതിലുള്ള സകലവും തിർസ്സാതൊട്ടു അതിന്നു ചേർന്ന പ്രദേശങ്ങളും ശൂന്യമാക്കി; അവർ പട്ടണവാതിൽ തുറന്നു കൊടുക്കായ്കയാൽ അവൻ അതിനെ ശൂന്യമാക്കുകയും അതിലെ ഗർഭിണികളെയൊക്കെയും പിളർന്നുകളകയും ചെയ്തു.
[IRV | ML | OT | 2 Kings | Chapter 15 | Verse 17] യെഹൂദാരാജാവായ അസര്യാവിന്റെ മുപ്പത്തൊമ്പതാം ആണ്ടിൽ ഗാദിയുടെ മകൻ മെനഹേം യിസ്രായേലിന്നു രാജാവായി ശമര്യയിൽ പത്തു സംവത്സരം വാണു.
[IRV | ML | OT | 2 Kings | Chapter 15 | Verse 18] അവൻ യഹോവെക്കു അനിഷ്ടമായുള്ളതു ചെയ്തു; യിസ്രായേലിനെക്കൊണ്ടു പാപം ചെയ്യിച്ച നെബാത്തിന്റെ മകനായ യൊരോബെയാമിന്റെ പാപങ്ങളെ ജീവപര്യന്തം വിട്ടുമാറിയതുമില്ല.
[IRV | ML | OT | 2 Kings | Chapter 15 | Verse 19] അശ്ശൂർ രാജാവായ പൂൽ ദേശത്തെ ആക്രമിച്ചു; പൂൽ തന്നെ സഹായിക്കേണ്ടതിന്നും രാജത്വം തനിക്കു ഉറക്കേണ്ടതിന്നുമായി മെനഹേം അവന്നു ആയിരം താലന്തു വെള്ളി കൊടുത്തു.
[IRV | ML | OT | 2 Kings | Chapter 15 | Verse 20] അശ്ശൂർ രാജാവിന്നു കൊടുപ്പാൻ മെനഹേം ഈ ദ്രവ്യം യിസ്രായേലിലെ ധനവാന്മാരോടൊക്കെയും അമ്പതു ശേക്കെൽ വെള്ളിവീതം പിരിപ്പിച്ചു; അങ്ങനെ അശ്ശൂർരാജാവു ദേശത്തു താമസിക്കാതെ മടങ്ങിപ്പോയി.
[IRV | ML | OT | 2 Kings | Chapter 15 | Verse 21] മെനഹേമിന്റെ മറ്റുള്ള വൃത്താന്തങ്ങളും അവൻ ചെയ്തതൊക്കെയും യിസ്രായേൽരാജാക്കന്മാരുടെ വൃത്താന്തപുസ്തകത്തിൽ എഴുതിയിരിക്കുന്നുവല്ലോ.
[IRV | ML | OT | 2 Kings | Chapter 15 | Verse 22] മെനഹേം തന്റെ പിതാക്കന്മാരെപ്പോലെ നിദ്രപ്രാപിച്ചു; അവന്റെ മകനായ പെക്കഹ്യാവു അവന്നു പകരം രാജാവായി.
[IRV | ML | OT | 2 Kings | Chapter 15 | Verse 23] യെഹൂദാരാജാവായ അസര്യാവിന്റെ അമ്പതാം ആണ്ടിൽ മെനഹേമിന്റെ മകനായ പെക്കഹ്യാവു യിസ്രായേലിന്നു രാജാവായി ശമര്യയിൽ രണ്ടു സംവത്സരം വാണു.
[IRV | ML | OT | 2 Kings | Chapter 15 | Verse 24] അവൻ യഹോവെക്കു അനിഷ്ടമായുള്ളതു ചെയ്തു; യിസ്രായേലിനെക്കൊണ്ടു പാപം ചെയ്യിച്ച നെബാത്തിന്റെ മകനായ യൊരോബെയാമിന്റെ പാപങ്ങളെ വിട്ടുമാറിയതുമില്ല.
[IRV | ML | OT | 2 Kings | Chapter 15 | Verse 25] എന്നാൽ അവന്റെ അകമ്പടിനായകനായി രെമല്യാവിന്റെ മകനായ പേക്കഫ് അവന്റെ നേരെ കൂട്ടുകെട്ടുണ്ടാക്കി, ഗിലെയാദ്യരിൽ അമ്പതുപേരെ തുണകൂട്ടി ശമര്യാരാജധാനിയുടെ കോട്ടയിൽവെച്ചു അവനെ അർഗ്ഗോബിനോടും അര്യേയോടുംകൂടെ വെട്ടിക്കൊന്നു അവന്നു പകരം രാജാവായി.
[IRV | ML | OT | 2 Kings | Chapter 15 | Verse 26] പെക്കഹ്യാവിന്റെ മറ്റുള്ള വൃത്താന്തങ്ങളും അവൻ ചെയ്തതൊക്കെയും യിസ്രായേൽരാജാക്കന്മാരുടെ വൃത്താന്തപുസ്തകത്തിൽ എഴുതിയിരിക്കുന്നുവല്ലോ.
[IRV | ML | OT | 2 Kings | Chapter 15 | Verse 27] യെഹൂദാരാജാവായ അസര്യാവിന്റെ അമ്പത്തിരണ്ടാം ആണ്ടിൽ രെമല്യാവിന്റെ മകനായ പേക്കഹ് യിസ്രായേലിന്നു രാജാവായി ശമര്യയിൽ ഇരുപതു സംവത്സരം വാണു.
[IRV | ML | OT | 2 Kings | Chapter 15 | Verse 28] അവൻ യഹോവെക്കു അനിഷ്ടമായുള്ളതു ചെയ്തു, യിസ്രായേലിനെക്കൊണ്ടു പാപം ചെയ്യിച്ച നെബാത്തിന്റെ മകനായ യൊരോബെയാമിന്റെ പാപങ്ങളെ വിട്ടുമാറിയതുമില്ല.
[IRV | ML | OT | 2 Kings | Chapter 15 | Verse 29] യിസ്രായേൽരാജാവായ പേക്കഹിന്റെ കാലത്തു അശ്ശൂർരാജാവായ തിഗ്ലത്ത്-പിലേസർ വന്നു ഈയോനും ആബേൽ-ബേത്ത്-മയഖയും യാനോവഹും കേദെശൂം ഹാസോരും ഗിലെയാദും ഗെലീലയും നഫ്താലിദേശം മുഴുവനും പിടിച്ചു നിവാസികളെ ബദ്ധരാക്കി അശ്ശൂരിലേക്കു കൊണ്ടുപോയി.
[IRV | ML | OT | 2 Kings | Chapter 15 | Verse 30] എന്നാൽ ഏലാവിന്റെ മകനായ ഹോശേയ, രെമല്യാവിന്റെ മകനായ പേക്കഹിന്റെ നേരെ കൂട്ടുകെട്ടുണ്ടാക്കി, അവനെ ഉസ്സീയാവിന്റെ മകനായ യോഥാമിന്റെ ഇരുപതാം ആണ്ടിൽ വെട്ടിക്കൊന്നു അവന്നു പകരം രാജാവായി.
[IRV | ML | OT | 2 Kings | Chapter 15 | Verse 31] പേക്കഹിന്റെ മറ്റുള്ള വൃത്താന്തങ്ങളും അവൻ ചെയ്തതൊക്കെയും യിസ്രായേൽരാജാക്കന്മാരുടെ വൃത്താന്തപുസ്തകത്തിൽ എഴുതിയിരിക്കുന്നുവല്ലോ.
[IRV | ML | OT | 2 Kings | Chapter 15 | Verse 32] യിസ്രായേൽരാജാവായ രെമല്യാവിന്റെ മകനായ പേക്കഹിന്റെ രണ്ടാം ആണ്ടിൽ യെഹൂദാരാജാവായ ഉസ്സീയാവിന്റെ മകൻ യോഥാം രാജാവായി.
[IRV | ML | OT | 2 Kings | Chapter 15 | Verse 33] അവൻ വാഴ്ചതുടങ്ങിയപ്പോൾ അവന്നു ഇരുപത്തഞ്ചു വയസ്സായിരുന്നു; അവൻ യെരൂശലേമിൽ പതിനാറു സംവത്സരം വാണു; അവന്റെ അമ്മെക്കു യെരൂശാ എന്നു പേർ; അവൾ സാദോക്കിന്റെ മകൾ ആയിരുന്നു.
[IRV | ML | OT | 2 Kings | Chapter 15 | Verse 34] അവൻ യഹോവെക്കു പ്രസാദമായുള്ളതു ചെയ്തു; തന്റെ അപ്പനായ ഉസ്സീയാവു ചെയ്തതുപോലെ ഒക്കെയും ചെയ്തു.
[IRV | ML | OT | 2 Kings | Chapter 15 | Verse 35] എങ്കിലും പൂജാഗിരികൾക്കു നീക്കം വന്നില്ല; ജനം പൂജാഗിരികളിൽ യാഗം കഴിച്ചും ധൂപം കാട്ടിയും പോന്നു; അവൻ യഹോവയുടെ ആലയത്തിന്റെ മേലത്തെ വാതിൽ പണിതു.
[IRV | ML | OT | 2 Kings | Chapter 15 | Verse 36] യോഥാമിന്റെ മറ്റുള്ള വൃത്താന്തങ്ങളും അവൻ ചെയ്തതൊക്കെയും യെഹൂദാരാജാക്കന്മാരുടെ വൃത്താന്തപുസ്തകത്തിൽ എഴുതിയിരിക്കുന്നുവല്ലോ.
[IRV | ML | OT | 2 Kings | Chapter 15 | Verse 37] ആ കാലത്തു യഹോവ അരാംരാജാവായ രെസീനെയും രെമല്യാവിന്റെ മകനായ പേക്കഹിനെയും യെഹൂദെക്കു നേരെ അയച്ചുതുടങ്ങി.
[IRV | ML | OT | 2 Kings | Chapter 15 | Verse 38] യോഥാം തന്റെ പിതാക്കന്മാരെപ്പോലെ നിദ്രപ്രാപിച്ചു; അവന്റെ പിതാവായ ദാവീദിന്റെ നഗരത്തിൽ അവന്റെ പിതാക്കന്മാരുടെ അടുക്കൽ അവനെ അടക്കം ചെയ്തു; അവന്റെ മകനായ ആഹാസ് അവന്നു പകരം രാജാവായി.
