[DRA | EN | NT | John | Chapter 5 | Verse 1] After these things was a festival day of the Jews, and Jesus went up to Jerusalem.
[DRA | EN | NT | John | Chapter 5 | Verse 2] Now there is at Jerusalem a pond, called Probatica, which in Hebrew is named Bethsaida, having five porches.
[DRA | EN | NT | John | Chapter 5 | Verse 3] In these lay a great multitude of sick, of blind, of lame, of withered; waiting for the moving of the water.
[DRA | EN | NT | John | Chapter 5 | Verse 4] And an angel of the Lord descended at certain times into the pond; and the water was moved. And he that went down first into the pond after the motion of the water, was made whole, of whatsoever infirmity he lay under.
[DRA | EN | NT | John | Chapter 5 | Verse 5] And there was a certain man there, that had been eight and thirty years under his infirmity.
[DRA | EN | NT | John | Chapter 5 | Verse 6] Him when Jesus had seen lying, and knew that he had been now a long time, he saith to him: Wilt thou be made whole?
[DRA | EN | NT | John | Chapter 5 | Verse 7] The infirm man answered him: Sir, I have no man, when the water is troubled, to put me into the pond. For whilst I am coming, another goeth down before me.
[DRA | EN | NT | John | Chapter 5 | Verse 8] Jesus saith to him: Arise, take up thy bed, and walk.
[DRA | EN | NT | John | Chapter 5 | Verse 9] And immediately the man was made whole: and he took up his bed, and walked. And it was the sabbath that day.
[DRA | EN | NT | John | Chapter 5 | Verse 10] The Jews therefore said to him that was healed: It is the sabbath; it is not lawful for thee to take up thy bed.
[DRA | EN | NT | John | Chapter 5 | Verse 11] He answered them: He that made me whole, he said to me, Take up thy bed, and walk.
[DRA | EN | NT | John | Chapter 5 | Verse 12] They asked him therefore: Who is that man who said to thee, Take up thy bed, and walk?
[DRA | EN | NT | John | Chapter 5 | Verse 13] But he who was healed, knew not who it was; for Jesus went aside from the multitude standing in the place.
[DRA | EN | NT | John | Chapter 5 | Verse 14] Afterwards, Jesus findeth him in the temple, and saith to him: Behold thou art made whole: sin no more, lest some worse thing happen to thee.
[DRA | EN | NT | John | Chapter 5 | Verse 15] The man went his way, and told the Jews, that it was Jesus who had made him whole.
[DRA | EN | NT | John | Chapter 5 | Verse 16] Therefore did the Jews persecute Jesus, because he did these things on the sabbath.
[DRA | EN | NT | John | Chapter 5 | Verse 17] But Jesus answered them: My Father worketh until now; and I work.
[DRA | EN | NT | John | Chapter 5 | Verse 18] Hereupon therefore the Jews sought the more to kill him, because he did not only break the sabbath, but also said God was his Father, making himself equal to God.
[DRA | EN | NT | John | Chapter 5 | Verse 19] Then Jesus answered, and said to them: Amen, amen, I say unto you, the Son cannot do any thing of himself, but what he seeth the Father doing: for what things soever he doth, these the Son also doth in like manner.
[DRA | EN | NT | John | Chapter 5 | Verse 20] For the Father loveth the Son, and sheweth him all things which himself doth: and greater works than these will he shew him, that you may wonder.
[DRA | EN | NT | John | Chapter 5 | Verse 21] For as the Father raiseth up the dead, and giveth life: so the Son also giveth life to whom he will.
[DRA | EN | NT | John | Chapter 5 | Verse 22] For neither doth the Father judge any man, but hath given all judgment to the Son.
[DRA | EN | NT | John | Chapter 5 | Verse 23] That all men may honour the Son, as they honour the Father. He who honoureth not the Son, honoureth not the Father, who hath sent him.
[DRA | EN | NT | John | Chapter 5 | Verse 24] Amen, amen I say unto you, that he who heareth my word, and believeth him that sent me, hath life everlasting; and cometh not into judgment, but is passed from death to life.
[DRA | EN | NT | John | Chapter 5 | Verse 25] Amen, amen I say unto you, that the hour cometh, and now is, when the dead shall hear the voice of the Son of God, and they that hear shall live.
[DRA | EN | NT | John | Chapter 5 | Verse 26] For as the Father hath life in himself, so he hath given the Son also to have life in himself:
[DRA | EN | NT | John | Chapter 5 | Verse 27] And he hath given him power to do judgment, because he is the Son of man.
[DRA | EN | NT | John | Chapter 5 | Verse 28] Wonder not at this; for the hour cometh, wherein all that are in the graves shall hear the voice of the Son of God.
[DRA | EN | NT | John | Chapter 5 | Verse 29] And they that have done good things, shall come forth unto the resurrection of life; but they that have done evil, unto the resurrection of judgment.
[DRA | EN | NT | John | Chapter 5 | Verse 30] I cannot of myself do any thing. As I hear, so I judge: and my judgment is just; because I seek not my own will, but the will of him that sent me.
[DRA | EN | NT | John | Chapter 5 | Verse 31] If I bear witness of myself, my witness is not true.
[DRA | EN | NT | John | Chapter 5 | Verse 32] There is another that beareth witness of me; and I know that the witness which he witnesseth of me is true.
[DRA | EN | NT | John | Chapter 5 | Verse 33] You sent to John, and he gave testimony to the truth.
[DRA | EN | NT | John | Chapter 5 | Verse 34] But I receive not testimony from man: but I say these things, that you may be saved.
[DRA | EN | NT | John | Chapter 5 | Verse 35] He was a burning and a shining light: and you were willing for a time to rejoice in his light.
[DRA | EN | NT | John | Chapter 5 | Verse 36] But I have a greater testimony than that of John: for the works which the Father hath given me to perfect; the works themselves, which I do, give testimony of me, that the Father hath sent me.
[DRA | EN | NT | John | Chapter 5 | Verse 37] And the Father himself who hath sent me, hath given testimony of me: neither have you heard his voice at any time, nor seen his shape.
[DRA | EN | NT | John | Chapter 5 | Verse 38] And you have not his word abiding in you: for whom he hath sent, him you believe not.
[DRA | EN | NT | John | Chapter 5 | Verse 39] Search the scriptures, for you think in them to have life everlasting; and the same are they that give testimony of me.
[DRA | EN | NT | John | Chapter 5 | Verse 40] And you will not come to me that you may have life.
[DRA | EN | NT | John | Chapter 5 | Verse 41] I receive glory not from men.
