[DRA | EN | NT | John | Chapter 11 | Verse 1] Now there was a certain man sick, named Lazarus, of Bethania, of the town of Mary and Martha her sister.
[DRA | EN | NT | John | Chapter 11 | Verse 2] (And Mary was she that anointed the Lord with ointment, and wiped his feet with her hair: whose brother Lazarus was sick.)
[DRA | EN | NT | John | Chapter 11 | Verse 3] His sisters therefore sent to him, saying: Lord, behold, he whom thou lovest is sick.
[DRA | EN | NT | John | Chapter 11 | Verse 4] And Jesus hearing it, said to them: This sickness is not unto death, but for the glory of God: that the Son of God may be glorified by it.
[DRA | EN | NT | John | Chapter 11 | Verse 5] Now Jesus loved Martha, and her sister Mary, and Lazarus.
[DRA | EN | NT | John | Chapter 11 | Verse 6] When he had heard therefore that he was sick, he still remained in the same place two days.
[DRA | EN | NT | John | Chapter 11 | Verse 7] Then after that, he said to his disciples: Let us go into Judea again.
[DRA | EN | NT | John | Chapter 11 | Verse 8] The disciples say to him: Rabbi, the Jews but now sought to stone thee: and goest thou thither again?
[DRA | EN | NT | John | Chapter 11 | Verse 9] Jesus answered: Are there not twelve hours of the day? If a man walk in the day, he stumbleth not, because he seeth the light of this world:
[DRA | EN | NT | John | Chapter 11 | Verse 10] But if he walk in the night, he stumbleth, because the light is not in him.
[DRA | EN | NT | John | Chapter 11 | Verse 11] These things he said; and after that he said to them: Lazarus our friend sleepeth; but I go that I may awake him out of sleep.
[DRA | EN | NT | John | Chapter 11 | Verse 12] His disciples therefore said: Lord, if he sleep, he shall do well.
[DRA | EN | NT | John | Chapter 11 | Verse 13] But Jesus spoke of his death; and they thought that he spoke of the repose of sleep.
[DRA | EN | NT | John | Chapter 11 | Verse 14] Then therefore Jesus said to them plainly: Lazarus is dead.
[DRA | EN | NT | John | Chapter 11 | Verse 15] And I am glad, for your sakes, that I was not there, that you may believe: but let us go to him.
[DRA | EN | NT | John | Chapter 11 | Verse 16] Thomas therefore, who is called Didymus, said to his fellow disciples: Let us also go, that we may die with him.
[DRA | EN | NT | John | Chapter 11 | Verse 17] Jesus therefore came, and found that he had been four days already in the grave.
[DRA | EN | NT | John | Chapter 11 | Verse 18] (Now Bethania was near Jerusalem, about fifteen furlongs off.)
[DRA | EN | NT | John | Chapter 11 | Verse 19] And many of the Jews were come to Martha and Mary, to comfort them concerning their brother.
[DRA | EN | NT | John | Chapter 11 | Verse 20] Martha therefore, as soon as she heard that Jesus had come, went to meet him: but Mary sat at home.
[DRA | EN | NT | John | Chapter 11 | Verse 21] Martha therefore said to Jesus: Lord, if thou hadst been here, my brother had not died.
[DRA | EN | NT | John | Chapter 11 | Verse 22] But now also I know that whatsoever thou wilt ask of God, God will give it thee.
