[BBE | EN | OT | Leviticus | Chapter 25 | Verse 1] And the Lord said to Moses on Mount Sinai,
[BBE | EN | OT | Leviticus | Chapter 25 | Verse 2] Say to the children of Israel, When you come into the land which I will give you, let the land keep a Sabbath to the Lord.
[BBE | EN | OT | Leviticus | Chapter 25 | Verse 3] For six years put seed into your land, and for six years give care to your vines and get in the produce of them;
[BBE | EN | OT | Leviticus | Chapter 25 | Verse 4] But let the seventh year be a Sabbath of rest for the land, a Sabbath to the Lord; do not put seed into your land or have your vines cut.
[BBE | EN | OT | Leviticus | Chapter 25 | Verse 5] That which comes to growth of itself may not be cut, and the grapes of your uncared-for vines may not be taken off; let it be a year of rest for the land.
[BBE | EN | OT | Leviticus | Chapter 25 | Verse 6] And the Sabbath of the land will give food for you and your man-servant and your woman-servant and those working for payment, and for those of another country who are living among you;
[BBE | EN | OT | Leviticus | Chapter 25 | Verse 7] And for your cattle and the beasts on the land; all the natural increase of the land will be for food.
[BBE | EN | OT | Leviticus | Chapter 25 | Verse 8] And let seven Sabbaths of years be numbered to you, seven times seven years; even the days of seven Sabbaths of years, that is forty-nine years;
[BBE | EN | OT | Leviticus | Chapter 25 | Verse 9] Then let the loud horn be sounded far and wide on the tenth day of the seventh month; on the day of taking away sin let the horn be sounded through all your land.
[BBE | EN | OT | Leviticus | Chapter 25 | Verse 10] And let this fiftieth year be kept holy, and say publicly that everyone in the land is free from debt: it is the Jubilee, and every man may go back to his heritage and to his family.
[BBE | EN | OT | Leviticus | Chapter 25 | Verse 11] Let this fiftieth year be the Jubilee: no seed may be planted, and that which comes to growth of itself may not be cut, and the grapes may not be taken from the uncared-for vines.
[BBE | EN | OT | Leviticus | Chapter 25 | Verse 12] For it is the Jubilee, and it is holy to you; your food will be the natural increase of the field.
[BBE | EN | OT | Leviticus | Chapter 25 | Verse 13] In this year of Jubilee, let every man go back to his heritage.
[BBE | EN | OT | Leviticus | Chapter 25 | Verse 14] And in the business of trading goods for money, do no wrong to one another.
[BBE | EN | OT | Leviticus | Chapter 25 | Verse 15] Let your exchange of goods with your neighbours have relation to the number of years after the year of Jubilee, and the number of times the earth has given her produce.
[BBE | EN | OT | Leviticus | Chapter 25 | Verse 16] If the number of years is great, the price will be increased, and if the number of years is small, the price will be less, for it is the produce of a certain number of years which the man is giving you.
[BBE | EN | OT | Leviticus | Chapter 25 | Verse 17] And do no wrong, one to another, but let the fear of your God be before you; for I am the Lord your God.
[BBE | EN | OT | Leviticus | Chapter 25 | Verse 18] So keep my rules and my decisions and do them, and you will be safe in your land.
[BBE | EN | OT | Leviticus | Chapter 25 | Verse 19] And the land will give her fruit, and you will have food in full measure and be safe in the land.
[BBE | EN | OT | Leviticus | Chapter 25 | Verse 20] And if you say, Where will our food come from in the seventh year, when we may not put in seed, or get in the increase
[BBE | EN | OT | Leviticus | Chapter 25 | Verse 21] Then I will send my blessing on you in the sixth year, and the land will give fruit enough for three years.
[BBE | EN | OT | Leviticus | Chapter 25 | Verse 22] And in the eighth year you will put in your seed, and get your food from the old stores, till the fruit of the ninth year is ready.
[BBE | EN | OT | Leviticus | Chapter 25 | Verse 23] No exchange of land may be for ever, for the land is mine, and you are as my guests, living with me for a time.
[BBE | EN | OT | Leviticus | Chapter 25 | Verse 24] Wherever there is property in land, the owner is to have the right of getting it back.
[BBE | EN | OT | Leviticus | Chapter 25 | Verse 25] If your brother becomes poor, and has to give up some of his land for money, his nearest relation may come and get back that which his brother has given up.
[BBE | EN | OT | Leviticus | Chapter 25 | Verse 26] And if he has no one to get it back for him, and later he himself gets wealth and has enough money to get it back;
[BBE | EN | OT | Leviticus | Chapter 25 | Verse 27] Then let him take into account the years from the time when he gave it up, and make up the loss for the rest of the years to him who took it, and so get back his property.
[BBE | EN | OT | Leviticus | Chapter 25 | Verse 28] But if he is not able to get it back for himself, then it will be kept by him who gave a price for it, till the year of Jubilee; and in that year it will go back to its first owner and he will have his property again.
