[BBE | EN | OT | Leviticus | Chapter 14 | Verse 1] And the Lord said to Moses,
[BBE | EN | OT | Leviticus | Chapter 14 | Verse 2] This is the law of the leper on the day when he is made clean: he is to be taken to the priest;
[BBE | EN | OT | Leviticus | Chapter 14 | Verse 3] And the priest is to go outside the tent-circle; and if, after looking, the priest sees that the mark of the disease has gone from him,
[BBE | EN | OT | Leviticus | Chapter 14 | Verse 4] Then the priest is to give orders to take, for him who is to be made clean, two living clean birds and some cedar wood and red thread and hyssop.
[BBE | EN | OT | Leviticus | Chapter 14 | Verse 5] And the priest will give orders for one of the birds to be put to death in a vessel made of earth, over flowing water.
[BBE | EN | OT | Leviticus | Chapter 14 | Verse 6] And he will take the living bird and the wood and the red thread and the hyssop and put them in the blood of the bird which was put to death over flowing water.
[BBE | EN | OT | Leviticus | Chapter 14 | Verse 7] And shaking it seven times over the man who is to be made clean, he will say that he is clean and will let the living bird go free into the open country.
[BBE | EN | OT | Leviticus | Chapter 14 | Verse 8] And he who is to be made clean will have his clothing washed and his hair cut and have a bath, and he will be clean. And after that he will come back to the tent-circle; but he is to keep outside his tent for seven days.
[BBE | EN | OT | Leviticus | Chapter 14 | Verse 9] And on the seventh day he is to have all the hair cut off his head and his chin and over his eyes — all his hair is to be cut off — and he will have his clothing washed and his body bathed in water and he will be clean.
[BBE | EN | OT | Leviticus | Chapter 14 | Verse 10] And on the eighth day let him take two male lambs, without any marks on them, and one female lamb of the first year, without a mark, and three tenth parts of an ephah of the best meal, mixed with oil, and one log of oil.
[BBE | EN | OT | Leviticus | Chapter 14 | Verse 11] And the priest who is making him clean will put the man who is being made clean, together with these things, before the door of the Tent of meeting.
[BBE | EN | OT | Leviticus | Chapter 14 | Verse 12] And the priest is to take one of the male lambs and give it as an offering for wrongdoing, and the log of oil, waving them for a wave offering before the Lord;
[BBE | EN | OT | Leviticus | Chapter 14 | Verse 13] And he is to put the male lamb to death in the place where they put to death the sin-offering and the burned offering, in the holy place; for as the sin-offering is the property of the priest, so is the offering for wrongdoing: it is most holy.
[BBE | EN | OT | Leviticus | Chapter 14 | Verse 14] And let the priest take some of the blood of the offering for wrongdoing and put it on the point of the right ear of him who is to be made clean, and on the thumb of his right hand and on the great toe of his right foot;
[BBE | EN | OT | Leviticus | Chapter 14 | Verse 15] And take some of the oil and put it in the hollow of his left hand;
[BBE | EN | OT | Leviticus | Chapter 14 | Verse 16] And let the priest put his right finger in the oil which is in his left hand, shaking it out with his finger seven times before the Lord;
[BBE | EN | OT | Leviticus | Chapter 14 | Verse 17] And of the rest of the oil which is in his hand, the priest will put some on the point of the right ear of the man who is to be made clean, and on the thumb of his right hand and on the great toe of his right foot, over the blood of the offering for wrongdoing;
[BBE | EN | OT | Leviticus | Chapter 14 | Verse 18] And the rest of the oil in the priest's hand he will put on the head of him who is to be made clean; and so the priest will make him free from sin before the Lord.
[BBE | EN | OT | Leviticus | Chapter 14 | Verse 19] And the priest will give the sin-offering, and take away the sin of him who is to be made clean from his unclean condition; and after that he will put the burned offering to death.
[BBE | EN | OT | Leviticus | Chapter 14 | Verse 20] And the priest is to have the burned offering and the meal offering burned on the altar; and the priest will take away his sin and he will be clean.
[BBE | EN | OT | Leviticus | Chapter 14 | Verse 21] And if he is poor and not able to get so much, then he may take one male lamb as an offering for wrongdoing, to be waved to take away his sin, and one tenth part of an ephah of the best meal mixed with oil for a meal offering, and a log of oil;
[BBE | EN | OT | Leviticus | Chapter 14 | Verse 22] And two doves or two young pigeons, such as he is able to get; and one will be for a sin-offering and the other for a burned offering.
[BBE | EN | OT | Leviticus | Chapter 14 | Verse 23] And on the eighth day he will take them to the priest, to the door of the Tent of meeting before the Lord, so that he may be made clean.
[BBE | EN | OT | Leviticus | Chapter 14 | Verse 24] And the priest will take the lamb of the offering for wrongdoing and the oil, waving them for a wave offering before the Lord;
[BBE | EN | OT | Leviticus | Chapter 14 | Verse 25] And he will put to death the lamb of the offering for wrongdoing and the priest will take some of the blood of the offering for wrongdoing and put it on the point of the right ear of him who is to be made clean, and on the thumb of his right hand and on the great toe of his right foot;
[BBE | EN | OT | Leviticus | Chapter 14 | Verse 26] And the priest will put out some of the oil in the hollow of his left hand,
[BBE | EN | OT | Leviticus | Chapter 14 | Verse 27] Shaking out drops of oil with his right finger before the Lord seven times:
[BBE | EN | OT | Leviticus | Chapter 14 | Verse 28] And the priest will put some of the oil which is in his hand on the point of the ear of the man who is to be made clean and on the thumb of his right hand and on the great toe of his right foot, on the place where the blood of the offering for wrongdoing was put;
[BBE | EN | OT | Leviticus | Chapter 14 | Verse 29] And the rest of the oil which is in the priest's hand he will put on the head of him who is to be made clean, to take away his sin before the Lord.
[BBE | EN | OT | Leviticus | Chapter 14 | Verse 30] And he will make an offering of one of the doves or the young pigeons, such as he is able to get;
[BBE | EN | OT | Leviticus | Chapter 14 | Verse 31] And of these, he will give one for a sin-offering and one for a burned offering, with the meal offering; and the priest will take away the sin of him who is to be made clean before the Lord.
