[BBE | EN | OT | Leviticus | Chapter 16 | Verse 1] And the Lord said to Moses, after the death of the two sons of Aaron when they took in strange fire before the Lord and death overtook them;
[BBE | EN | OT | Leviticus | Chapter 16 | Verse 2] The Lord said to Moses, Say to Aaron, your brother, that he may not come at all times into the holy place inside the veil, before the cover which is on the ark, for fear that death may overtake him; for I will be seen in the cloud on the cover of the ark.
[BBE | EN | OT | Leviticus | Chapter 16 | Verse 3] Let Aaron come into the holy place in this way: with an ox for a sin-offering and a male sheep for a burned offering.
[BBE | EN | OT | Leviticus | Chapter 16 | Verse 4] Let him put on the holy linen coat, and the linen trousers on his body, and the linen band round him, and the linen head-dress on his head; for this is holy clothing, and before he puts them on his body is to be washed with water.
[BBE | EN | OT | Leviticus | Chapter 16 | Verse 5] And let him take from the children of Israel two he-goats for a sin-offering and one male sheep for a burned offering.
[BBE | EN | OT | Leviticus | Chapter 16 | Verse 6] And Aaron is to give the ox of the sin-offering for himself, to make himself and his house free from sin.
[BBE | EN | OT | Leviticus | Chapter 16 | Verse 7] And he is to take the two goats and put them before the Lord at the door of the Tent of meeting.
[BBE | EN | OT | Leviticus | Chapter 16 | Verse 8] And Aaron will make selection from the two goats by the decision of the Lord, one goat for the Lord and one for Azazel.
[BBE | EN | OT | Leviticus | Chapter 16 | Verse 9] And the goat which is marked out for the Lord, let Aaron give for a sin-offering.
[BBE | EN | OT | Leviticus | Chapter 16 | Verse 10] But the goat for Azazel is to be placed living before the Lord, for the taking away of sin, that it may be sent away for Azazel into the waste land.
[BBE | EN | OT | Leviticus | Chapter 16 | Verse 11] And Aaron is to give the ox of the sin-offering for himself and take away sin from himself and his house, and put to death the ox of the sin-offering which is for himself.
[BBE | EN | OT | Leviticus | Chapter 16 | Verse 12] And he is to take a vessel full of burning coal from the altar before the Lord and in his hand some sweet perfume crushed small, and take it inside the veil;
[BBE | EN | OT | Leviticus | Chapter 16 | Verse 13] And let him put the perfume on the fire before the Lord so that the ark may be covered with a cloud of the smoke of the perfume, in order that death may not overtake him.
[BBE | EN | OT | Leviticus | Chapter 16 | Verse 14] And let him take some of the blood of the ox, shaking drops of it from his finger on the cover of the ark on the east side, and before it, seven times.
[BBE | EN | OT | Leviticus | Chapter 16 | Verse 15] Then let him put to death the goat of the sin-offering for the people, and take its blood inside the veil and do with it as he did with the blood of the ox, shaking drops of it on and before the cover of the ark.
[BBE | EN | OT | Leviticus | Chapter 16 | Verse 16] And let him make the holy place free from whatever is unclean among the children of Israel and from their wrongdoing in all their sins; and let him do the same for the Tent of meeting, which has its place among an unclean people.
[BBE | EN | OT | Leviticus | Chapter 16 | Verse 17] And no man may be in the Tent of meeting from the time when Aaron goes in to take away sin in the holy place till he comes out, having made himself and his house and all the people of Israel free from sin.
[BBE | EN | OT | Leviticus | Chapter 16 | Verse 18] And he is to go out to the altar which is before the Lord and make it free from sin; and he is to take some of the blood of the ox and the blood of the goat and put it on the horns of the altar and round it;
[BBE | EN | OT | Leviticus | Chapter 16 | Verse 19] Shaking drops of the blood from his finger on it seven times to make it holy and clean from whatever is unclean among the children of Israel.
[BBE | EN | OT | Leviticus | Chapter 16 | Verse 20] And when he has done whatever is necessary to make the holy place and the Tent of meeting and the altar free from sin, let him put the living goat before the Lord;
[BBE | EN | OT | Leviticus | Chapter 16 | Verse 21] And Aaron, placing his two hands on the head of the living goat, will make a public statement over him of all the evil doings of the children of Israel and all their wrongdoing, in all their sins; and he will put them on the head of the goat and send him away, in the care of a man who will be waiting there, into the waste land.
[BBE | EN | OT | Leviticus | Chapter 16 | Verse 22] And the goat will take all their sins into a land cut off from men, and he will send the goat away into the waste land.
[BBE | EN | OT | Leviticus | Chapter 16 | Verse 23] Then let Aaron come into the Tent of meeting and take off the linen clothing which he put on when he went into the holy place, and put them down there;
[BBE | EN | OT | Leviticus | Chapter 16 | Verse 24] And after bathing his body in water in a holy place, he is to put on his clothing and come out and give his burned offering and the burned offering of the people, to take away his sin and the sin of the people.
[BBE | EN | OT | Leviticus | Chapter 16 | Verse 25] And the fat of the sin-offering is to be burned by him on the altar.
[BBE | EN | OT | Leviticus | Chapter 16 | Verse 26] And the man who takes away the goat for Azazel is to have his clothing washed and his body bathed in water and then he may come back to the tent-circle.
[BBE | EN | OT | Leviticus | Chapter 16 | Verse 27] And the ox of the sin-offering and the goat of the sin-offering, whose blood was taken in to make the holy place free from sin, are to be taken away outside the tent-circle and their skins and their flesh and their waste are to be burned with fire.
[BBE | EN | OT | Leviticus | Chapter 16 | Verse 28] And the man by whom they are burned is to have his clothing washed and his body bathed in water, and then he may come back to the tent-circle.
[BBE | EN | OT | Leviticus | Chapter 16 | Verse 29] And let this be an order to you for ever: in the seventh month, on the tenth day, you are to keep yourselves from pleasure and do no sort of work, those who are Israelites by birth and those from other lands who are living among you:
[BBE | EN | OT | Leviticus | Chapter 16 | Verse 30] For on this day your sin will be taken away and you will be clean: you will be made free from all your sins before the Lord.
[BBE | EN | OT | Leviticus | Chapter 16 | Verse 31] It is a special Sabbath for you, and you are to keep yourselves from pleasure; it is an order for ever.
[BBE | EN | OT | Leviticus | Chapter 16 | Verse 32] And the man on whose head the holy oil has been put, and who has been marked out to be a priest in his father's place, will do what is necessary to take away sin, and will put on the linen clothing, even the holy robes:
[BBE | EN | OT | Leviticus | Chapter 16 | Verse 33] And he will make the holy place and the Tent of meeting and the altar free from sin; he will take away sin from the priests and from all the people.
[BBE | EN | OT | Leviticus | Chapter 16 | Verse 34] And let this be an order for ever for you, so that the sin of the children of Israel may be taken away once every year. And he did as the Lord gave orders to Moses.
