[IRV | PA | OT | 1 Kings | Chapter 12 | Verse 1] ਰਹਬੁਆਮ ਸ਼ਕਮ ਨੂੰ ਗਿਆ ਕਿਉਂ ਜੋ ਸਾਰਾ ਇਸਰਾਏਲ ਉਸ ਨੂੰ ਰਾਜਾ ਬਣਾਉਣ ਲਈ ਸ਼ਕਮ ਵਿੱਚ ਆਇਆ ਹੋਇਆ ਸੀ।
[IRV | PA | OT | 1 Kings | Chapter 12 | Verse 2] ਫੇਰ ਅਜਿਹਾ ਹੋਇਆ ਕਿ ਜਦ ਨਬਾਟ ਦੇ ਪੁੱਤਰ ਯਾਰਾਬੁਆਮ ਨੇ ਜਿਹੜਾ ਅਜੇ ਤੱਕ ਮਿਸਰ ਵਿੱਚ ਸੀ ਇਹ ਸੁਣਿਆ ਕਿਉਂ ਜੋ ਉਹ ਸੁਲੇਮਾਨ ਪਾਤਸ਼ਾਹ ਦੇ ਅੱਗੋਂ ਭੱਜ ਗਿਆ ਸੀ ਅਤੇ ਯਾਰਾਬੁਆਮ ਮਿਸਰ ਵਿੱਚ ਜਾ ਵੱਸਿਆ l
[IRV | PA | OT | 1 Kings | Chapter 12 | Verse 3] ਉਨ੍ਹਾਂ ਨੇ ਉਸ ਨੂੰ ਸੱਦਾ ਭੇਜਿਆ ਤਾਂ ਯਾਰਾਬੁਆਮ ਅਤੇ ਇਸਰਾਏਲ ਦੀ ਸਾਰੀ ਸਭਾ ਨੇ ਰਹਬੁਆਮ ਨਾਲ ਗੱਲ ਕੀਤੀ,
[IRV | PA | OT | 1 Kings | Chapter 12 | Verse 4] ਤੁਹਾਡੇ ਪਿਤਾ ਨੇ ਸਾਡੇ ਜੂਲੇ ਨੂੰ ਔਖਾ ਕੀਤਾ ਹੋਇਆ ਸੀ ਸੋ ਹੁਣ ਤੁਸੀਂ ਆਪਣੇ ਪਿਤਾ ਦੀ ਉਸ ਔਖੀ ਸੇਵਾ ਨੂੰ ਅਤੇ ਉਸ ਭਾਰੀ ਜੂਲੇ ਨੂੰ ਜੋ ਸਾਡੇ ਉੱਤੇ ਦੇ ਰੱਖਿਆ ਹੈ ਹੌਲਾ ਕਰੋ ਤਾਂ ਅਸੀਂ ਤੁਹਾਡੀ ਸੇਵਾ ਕਰਾਂਗੇ।
[IRV | PA | OT | 1 Kings | Chapter 12 | Verse 5] ਤਾਂ ਉਸ ਉਨ੍ਹਾਂ ਨੂੰ ਆਖਿਆ, ਤੁਸੀਂ ਹੁਣ ਤਾਂ ਤਿੰਨਾਂ ਦਿਨਾਂ ਲਈ ਚੱਲੇ ਜਾਓ ਫੇਰ ਮੇਰੇ ਕੋਲ ਆਇਓ ਤਾਂ ਲੋਕ ਚਲੇ ਗਏ।
[IRV | PA | OT | 1 Kings | Chapter 12 | Verse 6] ਫੇਰ ਰਹਬੁਆਮ ਪਾਤਸ਼ਾਹ ਨੇ ਉਨ੍ਹਾਂ ਬਜ਼ੁਰਗਾਂ ਨਾਲ ਸਲਾਹ ਕੀਤੀ ਜਿਹੜੇ ਉਸ ਦੇ ਪਿਤਾ ਸੁਲੇਮਾਨ ਦੇ ਸਨਮੁਖ ਜਦ ਉਹ ਜਿਉਂਦਾ ਸੀ, ਖੜ੍ਹੇ ਰਹਿੰਦੇ ਸਨ, ਕਿ ਤੁਸੀਂ ਮੈਨੂੰ ਕਿ ਸਲਾਹ ਦਿੰਦੇ ਹੋ ਜੋ ਮੈਂ ਇੰਨ੍ਹਾਂ ਲੋਕਾਂ ਨੂੰ ਇਸ ਗੱਲ ਦਾ ਉੱਤਰ ਦਿਆਂ?
[IRV | PA | OT | 1 Kings | Chapter 12 | Verse 7] ਤਾਂ ਉਹ ਉਸ ਨੂੰ ਬੋਲੇ ਕਿ ਅੱਜ ਦੇ ਦਿਨ ਜੇ ਤੂੰ ਇਨ੍ਹਾਂ ਲੋਕਾਂ ਦਾ ਸੇਵਕ ਬਣੇਂਗਾ ਅਤੇ ਉਨ੍ਹਾਂ ਦੀ ਸੇਵਾ ਕਰੇਂਗਾ ਅਤੇ ਉਨ੍ਹਾਂ ਨੂੰ ਮਿੱਠੇ ਬੋਲਾਂ ਨਾਲ ਉੱਤਰ ਦੇਵੇਂਗਾ ਤਾਂ ਉਹ ਸਦਾ ਲਈ ਤੇਰੇ ਸੇਵਕ ਹੋ ਜਾਣਗੇ।
[IRV | PA | OT | 1 Kings | Chapter 12 | Verse 8] ਪਰ ਉਸ ਨੇ ਉਨ੍ਹਾਂ ਬਜ਼ੁਰਗਾਂ ਦੀ ਸਲਾਹ ਨੂੰ ਛੱਡ ਦਿੱਤਾ ਜੋ ਉਨ੍ਹਾਂ ਨੇ ਉਸ ਨੂੰ ਦਿੱਤੀ ਸੀ ਅਤੇ ਉਹਨਾਂ ਜੁਆਨਾਂ ਤੋਂ ਸਲਾਹ ਲਈ ਜਿਹੜੇ ਉਸ ਦੇ ਲੰਗੋਟੀਏ ਯਾਰ ਸਨ ਅਤੇ ਉਸ ਦੇ ਸਨਮੁਖ ਖੜ੍ਹੇ ਰਹਿੰਦੇ ਸਨ।
[IRV | PA | OT | 1 Kings | Chapter 12 | Verse 9] ਉਸ ਉਹਨਾਂ ਨੂੰ ਆਖਿਆ, ਤੁਸੀਂ ਮੈਨੂੰ ਕੀ ਸਲਾਹ ਦਿੰਦੇ ਹੋ ਕਿ ਅਸੀਂ ਉਨ੍ਹਾਂ ਲੋਕਾਂ ਨੂੰ ਉਸ ਗੱਲ ਦਾ ਉੱਤਰ ਦੇਈਏ ਜਿਹੜੀ ਉਨ੍ਹਾਂ ਨੇ ਮੈਨੂੰ ਆਖੀ ਕਿ ਸਾਡੇ ਜੂਲੇ ਨੂੰ ਹੌਲਾ ਕਰੋ ਜਿਹੜਾ ਤੁਹਾਡੇ ਪਿਤਾ ਨੇ ਸਾਡੇ ਉੱਤੇ ਰੱਖਿਆ ਹੋਇਆ ਹੈ?
[IRV | PA | OT | 1 Kings | Chapter 12 | Verse 10] ਤਾਂ ਉਹ ਜੁਆਨ ਜਿਹੜੇ ਉਸ ਦੇ ਲੰਗੋਟੀਏ ਯਾਰ ਸਨ ਉਸ ਨੂੰ ਆਖਿਆ ਕਿ ਤੂੰ ਉਨ੍ਹਾਂ ਲੋਕਾਂ ਨੂੰ ਜਿਹੜੇ ਇਸ ਤਰ੍ਹਾਂ ਬੋਲਦੇ ਹਨ ਕਿ ਤੁਹਾਡੇ ਪਿਤਾ ਨੇ ਸਾਡੇ ਜੂਲੇ ਨੂੰ ਭਾਰੀ ਕੀਤਾ ਹੋਇਆ ਸੀ ਤੁਸੀਂ ਉਹ ਨੂੰ ਸਾਡੇ ਉੱਤੋਂ ਹੌਲਾ ਕਰੋ, ਤੂੰ ਉਨ੍ਹਾਂ ਨੂੰ ਇਸ ਤਰ੍ਹਾਂ ਆਖ ਕਿ ਮੇਰੀ ਚੀਚੀ ਵੀ ਮੇਰੇ ਪਿਤਾ ਦੇ ਲੱਕ ਨਾਲੋਂ ਮੋਟੀ ਹੈ।
[IRV | PA | OT | 1 Kings | Chapter 12 | Verse 11] ਮੇਰੇ ਪਿਤਾ ਨੇ ਤਾਂ ਭਾਰੀ ਜੂਲਾ ਤੁਹਾਡੇ ਉੱਤੇ ਰੱਖਿਆ ਸੀ ਪਰ ਮੈਂ ਉਸ ਜੂਲੇ ਨੂੰ ਹੋਰ ਵੀ ਭਾਰੀ ਕਰਾਂਗਾ! ਮੇਰੇ ਪਿਤਾ ਨੇ ਤੁਹਾਨੂੰ ਕੋਟਲਿਆਂ ਨਾਲ ਫੰਡਿਆ ਸੀ ਪਰ ਮੈਂ ਤੁਹਾਨੂੰ ਬਿੱਛੂਆਂ ਨਾਲ ਫੰਡਾਂਗਾ!।
