[IRV | PA | OT | 1 Kings | Chapter 18 | Verse 1] ਬਹੁਤ ਦਿਨਾਂ ਤੋਂ ਮਗਰੋਂ ਇਸ ਤਰ੍ਹਾਂ ਹੋਇਆ ਕਿ ਯਹੋਵਾਹ ਦਾ ਬਚਨ ਏਲੀਯਾਹ ਕੋਲ ਤੀਜੇ ਸਾਲ ਵਿੱਚ ਆਇਆ ਕਿ ਜਾ ਅਹਾਬ ਕੋਲ ਆਪਣੇ ਆਪ ਨੂੰ ਵਿਖਾ ਅਤੇ ਮੈਂ ਜ਼ਮੀਨ ਉੱਤੇ ਮੀਂਹ ਪਾਵਾਂਗਾ।
[IRV | PA | OT | 1 Kings | Chapter 18 | Verse 2] ਸੋ ਏਲੀਯਾਹ ਆਪਣੇ ਆਪ ਨੂੰ ਅਹਾਬ ਕੋਲ ਵਿਖਾਉਣ ਲਈ ਤੁਰਿਆ ਅਤੇ ਸਾਮਰਿਯਾ ਵਿੱਚ ਸਖ਼ਤ ਕਾਲ ਸੀ।
[IRV | PA | OT | 1 Kings | Chapter 18 | Verse 3] ਇਸ ਤੋਂ ਬਾਅਦ ਅਹਾਬ ਨੇ ਓਬਦਿਆਹ ਨੂੰ ਜੋ ਉਹ ਦੇ ਮਹਿਲ ਦਾ ਦੀਵਾਨ ਸੀ ਸੱਦਿਆ। ਓਬਦਿਆਹ ਯਹੋਵਾਹ ਕੋਲੋਂ ਬਹੁਤ ਡਰਦਾ ਸੀ।
[IRV | PA | OT | 1 Kings | Chapter 18 | Verse 4] ਇਸ ਤਰ੍ਹਾਂ ਹੋਇਆ ਜਦ ਈਜ਼ਬਲ ਯਹੋਵਾਹ ਦੇ ਨਬੀਆਂ ਨੂੰ ਵੱਢਦੀ ਪਈ ਸੀ ਤਾਂ ਓਬਦਿਆਹ ਨੇ ਸੌ ਨਬੀ ਲੈ ਕੇ ਉਨ੍ਹਾਂ ਨੂੰ ਪੰਜਾਹ-ਪੰਜਾਹ ਕਰ ਕੇ ਇੱਕ ਖੁੰਧਰ ਵਿੱਚ ਲੁਕਾ ਲਿਆ ਅਤੇ ਉਨ੍ਹਾਂ ਨੂੰ ਅੰਨ ਪਾਣੀ ਦਿੱਤਾ।
[IRV | PA | OT | 1 Kings | Chapter 18 | Verse 5] ਤਾਂ ਅਹਾਬ ਨੇ ਓਬਦਿਆਹ ਨੂੰ ਆਖਿਆ, ਦੇਸ ਵਿੱਚ ਸਾਰੇ ਸੋਤਿਆਂ ਕੋਲ ਅਤੇ ਸਾਰੇ ਨਾਲਿਆਂ ਕੋਲ ਜਾ ਸ਼ਾਇਦ ਸਾਨੂੰ ਘਾਹ ਲੱਭੇ ਅਤੇ ਅਸੀਂ ਘੋੜੇ ਖੱਚਰਾਂ ਨੂੰ ਜਿਉਂਦੇ ਰੱਖ ਸਕੀਏ ਅਤੇ ਡੰਗਰਾਂ ਨੂੰ ਨਾ ਗੁਆਈਏ।
[IRV | PA | OT | 1 Kings | Chapter 18 | Verse 6] ਸੋ ਉਨ੍ਹਾਂ ਨੇ ਦੇਸ ਦੇ ਵਿੱਚੋਂ ਲੰਘਣ ਲਈ ਉਹ ਨੂੰ ਵੰਡ ਦਿੱਤਾ, ਅਹਾਬ ਇਕੱਲਾ ਇੱਕ ਰਾਹ ਗਿਆ ਅਤੇ ਓਬਦਿਆਹ ਇਕੱਲਾ ਦੂਜੇ ਰਾਹ ਗਿਆ।
[IRV | PA | OT | 1 Kings | Chapter 18 | Verse 7] ਜਦ ਓਬਦਿਆਹ ਰਾਹ ਵਿੱਚ ਸੀ ਤਾਂ ਵੇਖੋ ਏਲੀਯਾਹ ਉਸ ਨੂੰ ਮਿਲ ਪਿਆ ਅਤੇ ਉਸ ਨੇ ਉਹ ਨੂੰ ਪਹਿਚਾਣਿਆ ਅਤੇ ਮੂੰਹ ਪਰਨੇ ਡਿੱਗ ਕੇ ਆਖਿਆ, ਭਲਾ, ਮੇਰਾ ਸੁਆਮੀ ਏਲੀਯਾਹ ਤੂੰ ਹੀ ਹੈਂ?
[IRV | PA | OT | 1 Kings | Chapter 18 | Verse 8] ਉਸ ਨੇ ਆਖਿਆ, ਮੈਂ ਹੀ ਹਾਂ। ਜਾ ਆਪਣੇ ਮਾਲਕ ਨੂੰ ਆਖ ਕਿ ਵੇਖੋ ਏਲੀਯਾਹ ਆਇਆ।
[IRV | PA | OT | 1 Kings | Chapter 18 | Verse 9] ਉਸ ਨੇ ਆਖਿਆ, ਮੈਂ ਕੀ ਪਾਪ ਕੀਤਾ ਜੋ ਤੂੰ ਆਪਣੇ ਦਾਸ ਨੂੰ ਅਹਾਬ ਦੇ ਹੱਥ ਵਿੱਚ ਦੇਵੇਂ ਕਿ ਉਹ ਮੈਨੂੰ ਮਾਰ ਸੁੱਟੇ।
[IRV | PA | OT | 1 Kings | Chapter 18 | Verse 10] ਜਿਉਂਦੇ ਯਹੋਵਾਹ ਤੇਰੇ ਪਰਮੇਸ਼ੁਰ ਸਹੁੰ ਕੋਈ ਕੌਮ ਤੇ ਕੋਈ ਰਾਜ ਨਹੀਂ ਜਿੱਥੇ ਮੇਰੇ ਸੁਆਮੀ ਨੇ ਤੇਰੇ ਭਾਲਣ ਲਈ ਨਹੀਂ ਭੇਜਿਆ ਹੈ। ਜਦ ਉਨ੍ਹਾਂ ਨੇ ਆਖਿਆ ਕਿ ਉਹ ਐਥੇ ਨਹੀਂ ਤਦ ਉਸ ਨੇ ਉਸ ਰਾਜ ਤੇ ਕੌਮ ਤੋਂ ਸਹੁੰ ਚੁਕਾਈ ਕਿ ਉਨ੍ਹਾਂ ਨੇ ਤੈਨੂੰ ਨਹੀਂ ਲੱਭਿਆ।
[IRV | PA | OT | 1 Kings | Chapter 18 | Verse 11] ਹੁਣ ਤੂੰ ਕਹਿੰਦਾ ਹੈਂ ਕਿ ਜਾ ਆਪਣੇ ਮਾਲਕ ਨੂੰ ਆਖ ਕਿ ਵੇਖੋ ਏਲੀਯਾਹ ਆਇਆ ਹੈ।
