[IRV | PA | OT | 1 Kings | Chapter 5 | Verse 1] ਸੂਰ ਦੇ ਰਾਜੇ ਹੀਰਾਮ ਨੇ ਆਪਣੇ ਸੇਵਕ ਸੁਲੇਮਾਨ ਦੇ ਕੋਲ ਭੇਜੇ ਕਿਉਂ ਜੋ ਉਸ ਨੇ ਸੁਣਿਆ ਸੀ ਕਿ ਉਨ੍ਹਾਂ ਨੇ ਉਹ ਨੂੰ ਮਸਹ ਕੀਤਾ ਕਿ ਆਪਣੇ ਪਿਤਾ ਦੇ ਥਾਂ ਪਾਤਸ਼ਾਹ ਹੋਵੇ ਅਤੇ ਹੀਰਾਮ ਆਪਣੀ ਸਾਰੀ ਉਮਰ ਦਾਊਦ ਦਾ ਮਿੱਤਰ ਰਿਹਾ।
[IRV | PA | OT | 1 Kings | Chapter 5 | Verse 2] ਤਦ ਸੁਲੇਮਾਨ ਨੇ ਹੀਰਾਮ ਨੂੰ ਸੁਨੇਹਾ ਭੇਜਿਆ ਕਿ
[IRV | PA | OT | 1 Kings | Chapter 5 | Verse 3] ਤੂੰ ਜਾਣਦਾ ਹੈਂ ਕਿ ਮੇਰਾ ਪਿਤਾ ਦਾਊਦ ਯਹੋਵਾਹ ਆਪਣੇ ਪਰਮੇਸ਼ੁਰ ਦੇ ਨਾਮ ਦੇ ਲਈ ਇੱਕ ਭਵਨ ਨਾ ਬਣਾ ਸਕਿਆ, ਕਿਉਂ ਜੋ ਉਸ ਦੇ ਆਲੇ-ਦੁਆਲੇ ਲੜਾਈਆਂ ਹੁੰਦੀਆਂ ਰਹੀਆਂ ਜਦ ਤੱਕ ਕਿ ਯਹੋਵਾਹ ਨੇ ਉਨ੍ਹਾਂ ਸਭਨਾਂ ਨੂੰ ਉਹ ਦੇ ਪੈਰਾਂ ਹੇਠ ਨਾ ਕੀਤਾ।
[IRV | PA | OT | 1 Kings | Chapter 5 | Verse 4] ਪਰ ਹੁਣ ਯਹੋਵਾਹ ਮੇਰੇ ਪਰਮੇਸ਼ੁਰ ਨੇ ਮੈਨੂੰ ਚੁਫ਼ੇਰਿਓਂ ਆਰਾਮ ਦਿੱਤਾ ਹੈ, ਕਿਉਂ ਜੋ ਨਾ ਕੋਈ ਵਿਰੋਧੀ ਹੈ ਅਤੇ ਨਾ ਹੀ ਕੋਈ ਬੁਰਿਆਈ ਹੋਣ ਵਾਲੀ ਹੈ।
[IRV | PA | OT | 1 Kings | Chapter 5 | Verse 5] ਇਸ ਲਈ ਮੈਂ ਆਖਦਾ ਹਾਂ ਕਿ ਯਹੋਵਾਹ ਆਪਣੇ ਪਰਮੇਸ਼ੁਰ ਦੇ ਨਾਮ ਦਾ ਭਵਨ ਬਣਾਵਾਂ, ਜਿਵੇਂ ਯਹੋਵਾਹ ਮੇਰੇ ਪਿਤਾ ਦਾਊਦ ਨੂੰ ਬੋਲਿਆ ਸੀ ਕਿ ਤੇਰਾ ਪੁੱਤਰ ਜਿਹ ਨੂੰ ਮੈਂ ਤੇਰੀ ਰਾਜ ਗੱਦੀ ਉੱਤੇ ਤੇਰੇ ਥਾਂ ਬਿਠਾਵਾਂਗਾ, ਉਹੋ ਮੇਰੇ ਨਾਮ ਦਾ ਭਵਨ ਬਣਾਵੇਗਾ।
[IRV | PA | OT | 1 Kings | Chapter 5 | Verse 6] ਹੁਣ ਤੂੰ ਹੁਕਮ ਦੇ ਕਿ ਉਹ ਮੇਰੇ ਲਈ ਲਬਾਨੋਨ ਤੋਂ ਦਿਆਰ ਦੇ ਬਿਰਛ ਵੱਢਣ ਅਤੇ ਮੇਰੇ ਸੇਵਕ ਤੇਰੇ ਸੇਵਕਾਂ ਦੇ ਨਾਲ ਹੋਣਗੇ ਅਤੇ ਜੋ ਮਜ਼ਦੂਰੀ ਤੂੰ ਠਹਿਰਾਵੇਂ ਮੈਂ ਤੇਰੇ ਸੇਵਕਾਂ ਲਈ ਤੈਨੂੰ ਦੇ ਦਿਆਂਗਾ, ਕਿਉਂ ਜੋ ਤੂੰ ਜਾਣਦਾ ਹੈਂ ਕਿ ਸਾਡੇ ਵਿੱਚੋਂ ਕਿਸੇ ਮਨੁੱਖ ਨੂੰ ਸੀਦੋਨੀਆਂ ਵਾਂਗੂੰ ਲੱਕੜੀ ਵੱਢਣ ਦਾ ਢੰਗ ਨਹੀਂ ਆਉਂਦਾ।
[IRV | PA | OT | 1 Kings | Chapter 5 | Verse 7] ਤਦ ਇਸ ਤਰ੍ਹਾਂ ਹੋਇਆ ਕਿ ਜਦ ਹੀਰਾਮ ਨੇ ਸੁਲੇਮਾਨ ਦੀਆਂ ਗੱਲਾਂ ਸੁਣੀਆਂ, ਤਾਂ ਉਹ ਬਹੁਤ ਖੁਸ਼ ਹੋਇਆ ਅਤੇ ਆਖਿਆ, ਅੱਜ ਦੇ ਦਿਨ ਯਹੋਵਾਹ ਮੁਬਾਰਕ ਹੈ ਜਿਸ ਨੇ ਦਾਊਦ ਨੂੰ ਇਨ੍ਹਾਂ ਬਹੁਤਿਆਂ ਲੋਕਾਂ ਉੱਤੇ ਇੱਕ ਬੁੱਧਵਾਨ ਪੁੱਤਰ ਦਿੱਤਾ ਹੈ।
[IRV | PA | OT | 1 Kings | Chapter 5 | Verse 8] ਹੀਰਾਮ ਨੇ ਸੁਲੇਮਾਨ ਨੂੰ ਸੁਨੇਹਾ ਭੇਜਿਆ ਕਿ ਜੋ ਤੂੰ ਸੁਨੇਹਾ ਭੇਜਿਆ ਉਹ ਮੈਂ ਸੁਣਿਆ। ਮੈਂ ਤੇਰੀ ਸਾਰੀ ਇੱਛਾ ਦੇ ਅਨੁਸਾਰ ਦਿਆਰ ਦੀ ਲੱਕੜੀ ਅਤੇ ਚੀਲ ਦੀ ਲੱਕੜ ਲਈ ਕਰਾਂਗਾ।
[IRV | PA | OT | 1 Kings | Chapter 5 | Verse 9] ਮੇਰੇ ਕਾਮੇ ਉਨ੍ਹਾਂ ਨੂੰ ਲਬਾਨੋਨ ਤੋਂ ਸਮੁੰਦਰ ਤੱਕ ਲਾਹੁਣਗੇ ਅਤੇ ਮੈਂ ਉਨ੍ਹਾਂ ਦਾ ਬੇੜਾ ਬੰਨਵਾ ਕੇ ਸਮੁੰਦਰ ਦੇ ਰਾਹੀਂ ਉਸ ਥਾਂ ਜਿਹੜਾ ਤੂੰ ਠਹਿਰਾਵੇਂ ਪਹੁੰਚਾ ਦੇਵਾਂਗਾ ਅਤੇ ਉੱਥੇ ਉਨ੍ਹਾਂ ਨੂੰ ਖੋਲ੍ਹ ਕੇ ਸੁੱਟਵਾ ਦਿਆਂਗਾ, ਤਾਂ ਜੋ ਤੈਨੂੰ ਮਿਲ ਜਾਣ ਅਤੇ ਤੂੰ ਮੇਰੇ ਘਰਾਣੇ ਨੂੰ ਰੋਟੀ ਦੇ ਕੇ ਮੇਰੀ ਇੱਛਿਆ ਨੂੰ ਪੂਰਾ ਕਰੀਂ।
[IRV | PA | OT | 1 Kings | Chapter 5 | Verse 10] ਤਦ ਹੀਰਾਮ ਨੇ ਦਿਆਰ ਦੀ ਲੱਕੜ ਅਤੇ ਚੀਲ ਦੀ ਲੱਕੜ ਸੁਲੇਮਾਨ ਨੂੰ ਉਸ ਦੀ ਸਾਰੀ ਇੱਛਿਆ ਅਨੁਸਾਰ ਦਿੱਤੀ।
[IRV | PA | OT | 1 Kings | Chapter 5 | Verse 11] ਸੁਲੇਮਾਨ ਇੱਕ ਲੱਖ ਪੰਜਾਹ ਹਜ਼ਾਰ ਮਣ ਕਣਕ ਅਤੇ ਚਾਰ ਹਜ਼ਾਰ ਲੀਟਰ ਕੁਟਵਾਂ ਤੇਲ ਹੀਰਾਮ ਨੂੰ ਉਸ ਦੇ ਘਰਾਣੇ ਦੇ ਖਾਣ ਲਈ ਹਰ ਸਾਲ ਦਿੰਦਾ ਸੀ।
