[IRV | PA | OT | 1 Kings | Chapter 20 | Verse 1] ਬਨ-ਹਦਦ ਅਰਾਮ ਦੇ ਰਾਜੇ ਨੇ ਆਪਣੀ ਫੌਜ ਨੂੰ ਇਕੱਠਾ ਕੀਤਾ ਅਤੇ ਉਹ ਦੇ ਨਾਲ ਬੱਤੀ ਰਾਜੇ ਸਨ ਨਾਲੇ ਘੋੜੇ ਤੇ ਰਥ ਅਤੇ ਉਹ ਨੇ ਉਤਾਹਾਂ ਜਾ ਕੇ ਸਾਮਰਿਯਾ ਨੂੰ ਘੇਰ ਲਿਆ ਅਤੇ ਉਸ ਦੇ ਨਾਲ ਯੁੱਧ ਕੀਤਾ।
[IRV | PA | OT | 1 Kings | Chapter 20 | Verse 2] ਉਹ ਨੇ ਇਸਰਾਏਲ ਦੇ ਪਾਤਸ਼ਾਹ ਅਹਾਬ ਕੋਲ ਸ਼ਹਿਰ ਨੂੰ ਹਲਕਾਰੇ ਭੇਜੇ ਅਤੇ ਉਸ ਨੂੰ ਆਖਿਆ ਕਿ ਬਨ-ਹਦਦ ਇਸ ਤਰ੍ਹਾਂ ਆਖਦਾ ਹੈ।
[IRV | PA | OT | 1 Kings | Chapter 20 | Verse 3] ਕਿ ਤੇਰਾ ਚਾਂਦੀ ਸੋਨਾ ਮੇਰਾ ਹੈ। ਤੇਰੀਆਂ ਇਸਤਰੀਆਂ ਅਤੇ ਤੇਰੇ ਚੰਗੇ ਤੋਂ ਚੰਗੇ ਬੱਚੇ ਮੇਰੇ ਹਨ।
[IRV | PA | OT | 1 Kings | Chapter 20 | Verse 4] ਤਾਂ ਇਸਰਾਏਲ ਦੇ ਪਾਤਸ਼ਾਹ ਨੇ ਉੱਤਰ ਦਿੱਤਾ ਕਿ ਹੇ ਮੇਰੇ ਸੁਆਮੀ, ਹੇ ਮੇਰੇ ਪਾਤਸ਼ਾਹ, ਮੈਂ ਅਤੇ ਜੋ ਕੁਝ ਮੇਰਾ ਹੈ ਉਹ ਸਭ ਤੁਹਾਡਾ ਹੈ।
[IRV | PA | OT | 1 Kings | Chapter 20 | Verse 5] ਤਾਂ ਉਨ੍ਹਾਂ ਹਲਕਾਰਿਆਂ ਨੇ ਮੁੜ ਆਖਿਆ, ਬਨ-ਹਦਦ ਇਸ ਤਰ੍ਹਾਂ ਆਖਦਾ ਹੈ ਕਿ ਮੈਂ ਤਾਂ ਤੇਰੇ ਕੋਲ ਆਖ ਭੇਜਿਆ ਸੀ ਕਿ ਤੂੰ ਆਪਣਾ ਚਾਂਦੀ, ਸੋਨਾ, ਇਸਤਰੀਆਂ ਅਤੇ ਬਾਲ ਬੱਚੇ ਮੈਨੂੰ ਦੇ ਦੇਹ।
[IRV | PA | OT | 1 Kings | Chapter 20 | Verse 6] ਪਰ ਹੁਣ ਮੈਂ ਕੱਲ ਇਸੇ ਵੇਲੇ ਆਪਣਿਆਂ ਟਹਿਲੂਆਂ ਨੂੰ ਤੇਰੇ ਕੋਲ ਭੇਜਾਂਗਾ ਅਤੇ ਉਹ ਤੇਰੇ ਮਹਿਲ ਦੀ ਅਤੇ ਤੇਰੇ ਟਹਿਲੂਆਂ ਦੇ ਘਰਾਂ ਦੀ ਤਲਾਸ਼ੀ ਲੈਣਗੇ ਅਤੇ ਇਸ ਤਰ੍ਹਾਂ ਹੋਵੇਗਾ ਕਿ ਜੋ ਕੁਝ ਤੇਰੀ ਨਿਗਾਹ ਵਿੱਚ ਚੰਗਾ ਹੈ ਉਹ ਆਪਣੇ ਹੱਥ ਵਿੱਚ ਚੁੱਕ ਕੇ ਲੈ ਜਾਣਗੇ।
[IRV | PA | OT | 1 Kings | Chapter 20 | Verse 7] ਤਾਂ ਇਸਰਾਏਲ ਦੇ ਪਾਤਸ਼ਾਹ ਨੇ ਦੇਸ ਦੇ ਸਾਰੇ ਬਜ਼ੁਰਗਾਂ ਨੂੰ ਸੱਦ ਕੇ ਆਖਿਆ ਕਿ ਧਿਆਨ ਕਰੋ ਅਤੇ ਵੇਖੋ ਜੋ ਇਹ ਮਨੁੱਖ ਕਿੱਕੁਰ ਬੁਰਿਆਈ ਕਰਨੀ ਚਾਹੁੰਦਾ ਹੈ ਕਿਉਂ ਜੋ ਉਹ ਨੇ ਮੇਰੇ ਕੋਲੋਂ ਮੇਰੀਆਂ ਇਸਤਰੀਆਂ, ਮੇਰੇ ਬੱਚੇ ਤੇ ਮੇਰਾ ਚਾਂਦੀ ਸੋਨਾ ਮੰਗ ਭੇਜਿਆ ਹੈ ਅਤੇ ਮੈਂ ਉਹ ਨੂੰ ਮਨਾ ਨਹੀਂ ਕੀਤਾ।
[IRV | PA | OT | 1 Kings | Chapter 20 | Verse 8] ਅੱਗੋਂ ਸਾਰੇ ਬਜ਼ੁਰਗਾਂ ਅਤੇ ਸਾਰੇ ਲੋਕਾਂ ਨੇ ਉਹ ਨੂੰ ਆਖਿਆ, ਉਸ ਦੀ ਨਾ ਸੁਣੋ ਅਤੇ ਨਾ ਮੰਨੋ।
[IRV | PA | OT | 1 Kings | Chapter 20 | Verse 9] ਇਸ ਤੋਂ ਬਾਅਦ ਉਹ ਨੇ ਬਨ-ਹਦਦ ਦੇ ਹਲਕਾਰਿਆਂ ਨੂੰ ਆਖਿਆ, ਮੇਰੇ ਸੁਆਮੀ ਪਾਤਸ਼ਾਹ ਨੂੰ ਆਖੋ ਕਿ ਜੋ ਕੁਝ ਤੁਸੀਂ ਆਪਣੇ ਦਾਸ ਤੋਂ ਪਹਿਲੇ ਮੰਗਿਆ ਉਹ ਮੈਂ ਕਰਾਂਗਾ ਪਰ ਇਹ ਗੱਲ ਮੈਥੋਂ ਨਹੀਂ ਹੋਣੀ। ਤਾਂ ਹਲਕਾਰੇ ਤੁਰ ਗਏ ਅਤੇ ਉੱਤਰ ਜਾ ਦਿੱਤਾ।
[IRV | PA | OT | 1 Kings | Chapter 20 | Verse 10] ਤਾਂ ਬਨ-ਹਦਦ ਨੇ ਉਹ ਨੂੰ ਆਖ ਭੇਜਿਆ ਕਿ ਜੇ ਸਾਮਰਿਯਾ ਦੀ ਧੂੜ ਉਨ੍ਹਾਂ ਸਭਨਾਂ ਲੋਕਾਂ ਲਈ ਜੋ ਮੇਰੇ ਅਧੀਨ ਹਨ ਮੁੱਠ ਭਰਨ ਲਈ ਪੂਰੀ ਹੀ ਹੋਵੇ ਤਾਂ ਦੇਵਤੇ ਮੇਰੇ ਨਾਲ ਅਜਿਹਾ ਹੀ ਕਰਨ ਸਗੋਂ ਇਸ ਨਾਲੋਂ ਵੀ ਵੱਧ।
[IRV | PA | OT | 1 Kings | Chapter 20 | Verse 11] ਫੇਰ ਇਸਰਾਏਲ ਦੇ ਪਾਤਸ਼ਾਹ ਨੇ ਉੱਤਰ ਦਿੱਤਾ ਕਿ ਉਸ ਨੂੰ ਆਖੋ ਸ਼ਸਤਰ ਬੰਨ੍ਹਣ ਵਾਲਾ ਸ਼ਸਤਰ ਲਾਹੁਣ ਵਾਲੇ ਜਿਨ੍ਹਾਂ ਹੰਕਾਰ ਨਾ ਕਰੇ।
