[IRV | TA | OT | Psalms | Chapter 84 | Verse 1] சேனைகளின் யெகோவாவே, உமது வாசஸ்தலங்கள் எவ்வளவு இன்பமானவைகள்!
[IRV | TA | OT | Psalms | Chapter 84 | Verse 2] என்னுடைய ஆத்துமா யெகோவாவுடைய ஆலயமுற்றங்களின்மேல் வாஞ்சையும் ஆவலுமாக இருக்கிறது; என்னுடைய இருதயமும் என்னுடைய சரீரமும் உயிருள்ள தேவனை நோக்கிக் கெம்பீர சத்தமிடுகிறது.
[IRV | TA | OT | Psalms | Chapter 84 | Verse 3] என்னுடைய ராஜாவும் என் தேவனுமாகிய சேனைகளின் யெகோவாவே, உம்முடைய பீடங்களின் அருகில் அடைக்கலான் குருவிக்கு வீடும், தகைவிலான் குருவிக்குத் தன்னுடைய குஞ்சுகளை வைக்கும் கூடும் கிடைத்ததே.
[IRV | TA | OT | Psalms | Chapter 84 | Verse 4] உம்முடைய வீட்டில் தங்கி இருக்கிறவர்கள் பாக்கியவான்கள்; அவர்கள் எப்பொழுதும் உம்மைத் துதித்துக்கொண்டிருப்பார்கள் (சேலா)
[IRV | TA | OT | Psalms | Chapter 84 | Verse 5] உம்மிலே பெலன்கொள்ளுகிற மனிதனும், தங்களுடைய இருதயங்களில் செவ்வையான வழிகளைக் கொண்டிருக்கிறவர்களும் பாக்கியவான்கள்.
[IRV | TA | OT | Psalms | Chapter 84 | Verse 6] அழுகையின் பள்ளத்தாக்கை உருவ நடந்து அதை நீரூற்றாக்கிக் கொள்ளுகிறார்கள்; மழையும் குளங்களை நிரப்பும்.
[IRV | TA | OT | Psalms | Chapter 84 | Verse 7] அவர்கள் பலத்தின்மேல் பலம் அடைந்து, சீயோனிலே தேவசந்நிதியில் வந்து காணப்படுவார்கள்.
[IRV | TA | OT | Psalms | Chapter 84 | Verse 8] சேனைகளின் தேவனாகிய யெகோவாவே, என்னுடைய விண்ணப்பத்தைக் கேளும்; யாக்கோபின் தேவனே, செவிகொடும். (சேலா)
[IRV | TA | OT | Psalms | Chapter 84 | Verse 9] எங்கள் கேடகமாகிய தேவனே, கண்ணோக்கமாக இரும்; நீர் அபிஷேகம் செய்தவரின் முகத்தைப் பாரும்.
[IRV | TA | OT | Psalms | Chapter 84 | Verse 10] ஆயிரம் நாளைவிட உமது முற்றங்களில் செல்லும் ஒரே நாள் நல்லது; துன்மார்க்கர்களின் கூடாரங்களில் தங்கியிருப்பதைவிட என் தேவனுடைய ஆலயத்தின் வாசற்படியில் காத்திருப்பதையே தெரிந்துகொள்ளுவேன்.
[IRV | TA | OT | Psalms | Chapter 84 | Verse 11] தேவனாகிய யெகோவா சூரியனும் கேடகமுமானவர்; யெகோவா கிருபையையும் மகிமையையும் அருளுவார்; உத்தமமாக நடக்கிறவர்களுக்கு நன்மையை வழங்காமல் இருக்கமாட்டார்.
[IRV | TA | OT | Psalms | Chapter 84 | Verse 12] சேனைகளின் யெகோவாவே, உம்மை நம்பியிருக்கிற மனிதன் பாக்கியவான்.
