[IRV | TA | OT | Psalms | Chapter 132 | Verse 1] யெகோவாவே, தாவீதையும் அவனுடைய எல்லா உபத்திரவத்தையும் நினைத்தருளும்.
[IRV | TA | OT | Psalms | Chapter 132 | Verse 2] அவன்: நான் யெகோவாவுக்கு ஒரு இடத்தையும், யாக்கோபின் வல்லவருக்கு ஒரு குடியிருக்கும் இடத்தையும் பார்க்கும்வரை,
[IRV | TA | OT | Psalms | Chapter 132 | Verse 3] என்னுடைய வீடாகிய கூடாரத்தில் நுழைவதில்லை, என்னுடைய படுக்கையாகிய கட்டிலின்மேல் ஏறுவதுமில்லை,
[IRV | TA | OT | Psalms | Chapter 132 | Verse 4] என்னுடைய கண்களுக்குத் தூக்கத்தையும், என்னுடைய இமைகளுக்கு உறக்கத்தையும் வரவிடுவதுமில்லை என்று,
[IRV | TA | OT | Psalms | Chapter 132 | Verse 5] யெகோவாவுக்கு ஆணையிட்டு, யாக்கோபின் வல்லமையுள்ள தேவனுக்குப் பொருத்தனை செய்தான்.
[IRV | TA | OT | Psalms | Chapter 132 | Verse 6] இதோ, நாம் எப்பிராத்தாவிலே அதின் செய்தியைக் கேட்டு, வயல்வெளிகளில் அதைக் கண்டோம்.
[IRV | TA | OT | Psalms | Chapter 132 | Verse 7] அவருடைய ஆலயத்தின் குடியிருப்புகளுக்குள் நுழைந்து, அவர் பாதத்தில் பணிவோம்.
[IRV | TA | OT | Psalms | Chapter 132 | Verse 8] யெகோவாவே, உமது வல்லமை வெளிப்படும் பெட்டியுடன் நீர் உமது தங்கும் இடத்திற்குள் எழுந்தருளும்.
[IRV | TA | OT | Psalms | Chapter 132 | Verse 9] உம்முடைய ஆசாரியர்கள் நீதியை அணிந்து, உம்முடைய பரிசுத்தவான்கள் கெம்பீரிக்கட்டும்.
[IRV | TA | OT | Psalms | Chapter 132 | Verse 10] நீர் அபிஷேகம்செய்தவனின் முகத்தை உமது ஊழியனாகிய தாவீதினிமித்தம் தள்ளிவிடாதிரும்.
[IRV | TA | OT | Psalms | Chapter 132 | Verse 11] உன்னுடைய கர்ப்பத்தின் பிள்ளையை உன்னுடைய சிங்காசனத்தின்மேல் வைப்பேன் என்றும்,
[IRV | TA | OT | Psalms | Chapter 132 | Verse 12] உன்னுடைய மகன்கள் என்னுடைய உடன்படிக்கையையும், நான் போதிக்கும் என்னுடைய சாட்சிகளையும் காத்து நடந்தால், அவர்கள் மகன்களும் என்றென்றைக்கும் உன்னுடைய சிங்காசனத்தில் அமர்ந்திருப்பார்கள் என்றும், யெகோவா தாவீதிற்கு உண்மையாக ஆணையிட்டார்; அவர் தவறமாட்டார்.
[IRV | TA | OT | Psalms | Chapter 132 | Verse 13] யெகோவா சீயோனைத் தெரிந்துகொண்டு, அது தமக்குக் குடியிருக்கும் இடமாகும்படி விரும்பினார்.
[IRV | TA | OT | Psalms | Chapter 132 | Verse 14] இது என்றென்றைக்கும் நான் தங்கும் இடம்; இதை நான் விரும்பினதால், இங்கே தங்குவேன்.
[IRV | TA | OT | Psalms | Chapter 132 | Verse 15] அதின் ஆகாரத்தை நான் ஆசீர்வதித்து வருவேன்; அதின் ஏழைகளை நான் அப்பத்தினால் திருப்தியாக்குவேன்.
[IRV | TA | OT | Psalms | Chapter 132 | Verse 16] அதின் ஆசாரியர்களுக்கு இரட்சிப்பை அணிவிப்பேன்; அதிலுள்ள பரிசுத்தவான்கள் மிகவும் கெம்பீரிப்பார்கள்.
[IRV | TA | OT | Psalms | Chapter 132 | Verse 17] அங்கே தாவீதுக்காக ஒரு கொம்பை முளைக்கச்செய்வேன்; நான் அபிஷேகம் செய்தவவனுக்காக ஒரு விளக்கை ஆயத்தம்செய்தேன்.
[IRV | TA | OT | Psalms | Chapter 132 | Verse 18] அவனுடைய எதிரிகளுக்கு வெட்கத்தை அணிவிப்பேன்; அவன் மீதோ அவன் கிரீடம் பூக்கும் என்றார்.
