[IRV | TA | OT | Psalms | Chapter 139 | Verse 1] யெகோவாவே, நீர் என்னை ஆராய்ந்து, அறிந்திருக்கிறீர்.
[IRV | TA | OT | Psalms | Chapter 139 | Verse 2] என்னுடைய உட்காருதலையும் என்னுடைய எழுந்திருக்குதலையும் நீர் அறிந்திருக்கிறீர்; என்னுடைய நினைவுகளைத் தூரத்திலிருந்து அறிகிறீர்.
[IRV | TA | OT | Psalms | Chapter 139 | Verse 3] நான் நடந்தாலும் படுத்திருந்தாலும் என்னைச் சூழ்ந்திருக்கிறீர்; என்னுடைய வழிகளெல்லாம் உமக்குத் தெரியும்.
[IRV | TA | OT | Psalms | Chapter 139 | Verse 4] என்னுடைய நாவில் சொல் உருவாகுமுன்னே, இதோ, யெகோவாவே, அதையெல்லாம் நீர் அறிந்திருக்கிறீர்.
[IRV | TA | OT | Psalms | Chapter 139 | Verse 5] முற்புறத்திலும் பிற்புறத்திலும் நீர் என்னை நெருக்கி, உமது கரத்தை என்மேல் வைக்கிறீர்.
[IRV | TA | OT | Psalms | Chapter 139 | Verse 6] இந்த அறிவு எனக்கு மிகுந்த ஆச்சரியமும், எனக்கு எட்டாத உயரமுமாக இருக்கிறது.
[IRV | TA | OT | Psalms | Chapter 139 | Verse 7] உம்முடைய ஆவிக்கு மறைவாக எங்கே போவேன்? உம்முடைய சமுகத்தைவிட்டு எங்கே ஓடுவேன்?
[IRV | TA | OT | Psalms | Chapter 139 | Verse 8] நான் வானத்திற்கு ஏறினாலும், நீர் அங்கே இருக்கிறீர்; நான் பாதாளத்தில் படுக்கை போட்டாலும், நீர் அங்கேயும் இருக்கிறீர்.
[IRV | TA | OT | Psalms | Chapter 139 | Verse 9] நான் விடியற்காலத்துச் இறக்கைகளை எடுத்து, கடலின் கடைசி எல்லைகளிலே போய்த் தங்கினாலும்,
[IRV | TA | OT | Psalms | Chapter 139 | Verse 10] அங்கேயும் உமது கை என்னை நடத்தும், உமது வலதுகரம் என்னைப் பிடிக்கும்.
[IRV | TA | OT | Psalms | Chapter 139 | Verse 11] இருள் என்னை மூடிக்கொள்ளுமென்றாலும், இரவும் என்னைச் சுற்றி வெளிச்சமாக இருக்கும்.
[IRV | TA | OT | Psalms | Chapter 139 | Verse 12] உமக்கு மறைவாக இருளும் இருளாக இருக்காது; இரவும் பகலைப்போல வெளிச்சமாக இருக்கும்; உமக்கு இருளும் வெளிச்சமும் ஒன்றானது.
[IRV | TA | OT | Psalms | Chapter 139 | Verse 13] நீர் என்னுடைய சிந்தையைக் கைக்கொண்டிருக்கிறீர்; என்னுடைய தாயின் கர்ப்பத்தில் என்னைக் காப்பாற்றினீர்.
[IRV | TA | OT | Psalms | Chapter 139 | Verse 14] நான் பிரமிக்கத்தக்க அதிசயமாக உண்டாக்கப்பட்டதால், உம்மைத் துதிப்பேன்; உமது செயல்கள் அதிசயமானவைகள்; அது என்னுடைய ஆத்துமாவுக்கு நன்றாகத் தெரியும்.
[IRV | TA | OT | Psalms | Chapter 139 | Verse 15] நான் ஒளிப்பிடத்திலே உண்டாக்கப்பட்டு, பூமியின் தாழ்விடங்களிலே விசித்திர விநோதமாக உருவாக்கப்பட்டபோது, என்னுடைய எலும்புகள் உமக்கு மறைவாக இருக்கவில்லை.
[IRV | TA | OT | Psalms | Chapter 139 | Verse 16] என்னுடைய கருவை உம்முடைய கண்கள் கண்டது; என்னுடைய உறுப்புகளில் ஒன்றாகிலும் இல்லாதபோதே அவைகள் அனைத்தும், அவைகள் உருவேற்படும் நாட்களும், உமது புத்தகத்தில் எழுதியிருந்தது.
[IRV | TA | OT | Psalms | Chapter 139 | Verse 17] தேவனே, உமது ஆலோசனைகள் எனக்கு எத்தனை அருமையானவைகள்; அவைகளின் அளவு எவ்வளவு அதிகம்.
[IRV | TA | OT | Psalms | Chapter 139 | Verse 18] அவைகளை நான் எண்ணப்போனால், மணலைவிட அதிகமாம்; நான் விழிக்கும்போது இன்னும் உம்மருகில் இருக்கிறேன்.
[IRV | TA | OT | Psalms | Chapter 139 | Verse 19] தேவனே, நீர் துன்மார்க்கனை அழித்தீரானால் நலமாக இருக்கும்; இரத்தப்பிரியர்களே, நீங்கள் என்னை விட்டு அகன்றுபோங்கள்.
[IRV | TA | OT | Psalms | Chapter 139 | Verse 20] அவர்கள் உம்மைக் குறித்துத் துன்மார்க்கமாகப் பேசுகிறார்கள்; உம்முடைய எதிரிகள் உமது பெயரை வீணாக வழங்குகிறார்கள்.
[IRV | TA | OT | Psalms | Chapter 139 | Verse 21] யெகோவாவே, உம்மைப் பகைக்கிறவர்களை நான் பகைக்காமலும், உமக்கு விரோதமாக எழும்புகிறவர்களை அருவருக்காமலும் இருப்பேனோ?
[IRV | TA | OT | Psalms | Chapter 139 | Verse 22] முழுப்பகையாக அவர்களைப் பகைக்கிறேன்; அவர்களை எனக்குப் பகைவர்களாக நினைக்கிறேன்.
[IRV | TA | OT | Psalms | Chapter 139 | Verse 23] தேவனே, என்னை ஆராய்ந்து, என்னுடைய இருதயத்தை அறிந்துகொள்ளும்; என்னைச் சோதித்து, என்னுடைய சிந்தனைகளை அறிந்துகொள்ளும்.
[IRV | TA | OT | Psalms | Chapter 139 | Verse 24] வேதனை உண்டாக்கும் வழி என்னிடத்தில் உண்டோ என்று பார்த்து, நித்திய வழியிலே என்னை நடத்தும்.
