[IRV | TA | OT | Psalms | Chapter 41 | Verse 1] பெலவீனமானவன்மேல் கவலையுள்ளவன் பாக்கியவான்; தீங்குநாளில் யெகோவா அவனை விடுவிப்பார்.
[IRV | TA | OT | Psalms | Chapter 41 | Verse 2] யெகோவா அவனைப் பாதுகாத்து அவனை உயிரோடு வைப்பார்; பூமியில் அவன் பாக்கியவானாக இருப்பான்; அவனுடைய எதிரிகளின் விருப்பத்திற்கு நீர் அவனை ஒப்புக்கொடுப்பதில்லை.
[IRV | TA | OT | Psalms | Chapter 41 | Verse 3] படுக்கையின்மேல் வியாதியாகக் கிடக்கிற அவனைக் யெகோவா தாங்குவார்; அவனுடைய வியாதியிலே அவனுடைய படுக்கை முழுவதையும் மாற்றிப்போடுவார்.
[IRV | TA | OT | Psalms | Chapter 41 | Verse 4] யெகோவாவே, என்மேல் இரக்கமாயிரும்; உமக்கு விரோதமாகப் பாவம்செய்தேன், என்னுடைய ஆத்துமாவைக் குணமாக்கும் என்று நான் சொன்னேன்.
[IRV | TA | OT | Psalms | Chapter 41 | Verse 5] அவன் எப்பொழுது சாவான், அவனுடைய பெயர் எப்பொழுது அழியும் என்று என்னுடைய எதிரிகள் எனக்கு விரோதமாகச் சொல்லுகிறார்கள்.
[IRV | TA | OT | Psalms | Chapter 41 | Verse 6] ஒருவன் என்னைப் பார்க்கவந்தால் வஞ்சனையாகப் பேசுகிறான்; அவன் தன்னுடைய இருதயத்தில் அக்கிரமத்தைச் சேகரித்துக்கொண்டு, தெருவிலே போய், அதைத் தூற்றுகிறான்.
[IRV | TA | OT | Psalms | Chapter 41 | Verse 7] என்னுடைய எதிரிகள் எல்லோரும் என்மேல் ஒன்றாக முணுமுணுத்து, எனக்கு விரோதமாக இருந்து, எனக்குத் தீங்கு நினைத்து,
[IRV | TA | OT | Psalms | Chapter 41 | Verse 8] தீராத வியாதி அவனைப் பிடித்துக் கொண்டது; படுக்கையில் கிடக்கிற அவன் இனி எழுந்திருப்பதில்லை என்கிறார்கள்.
[IRV | TA | OT | Psalms | Chapter 41 | Verse 9] என்னுடைய உயிர்நண்பனும், நான் நம்பினவனும், என்னுடைய அப்பம் சாப்பிட்டவனுமாகிய மனிதனும், என்மேல் தன்னுடைய குதிகாலைத் தூக்கினான்.
[IRV | TA | OT | Psalms | Chapter 41 | Verse 10] யெகோவாவே, நீர் எனக்கு இரங்கி, நான் அவர்களுக்குச் சரிக்கட்ட என்னை எழுந்திருக்கச்செய்யும்.
[IRV | TA | OT | Psalms | Chapter 41 | Verse 11] என்னுடைய எதிரி என்மேல் வெற்றி பெறாததினால், நீர் என்மேல் பிரியமாக இருக்கிறீரென்று அறிவேன்.
[IRV | TA | OT | Psalms | Chapter 41 | Verse 12] நீர் என்னுடைய உத்தமத்திலே என்னைத் தாங்கி, என்றென்றைக்கும் உம்முடைய சமுகத்தில் என்னை நிலைநிறுத்துவீர்.
[IRV | TA | OT | Psalms | Chapter 41 | Verse 13] இஸ்ரவேலின் தேவனாகிய யெகோவா எப்பொழுதும் என்றென்றைக்குமுள்ள எல்லாக் காலங்களிலும் நன்றிசெலுத்தப்படக்கூடியவர். ஆமென், ஆமென்.
