[IRV | TA | OT | Psalms | Chapter 48 | Verse 1] யெகோவா பெரியவர், அவர் நமது தேவனுடைய நகரத்திலும், தமது பரிசுத்த மலையிலும் மிகவும் துதிக்கப்படத்தக்கவர்.
[IRV | TA | OT | Psalms | Chapter 48 | Verse 2] வடதிசையிலுள்ள சீயோன் மலை அழகான உயரமும் முழு பூமியின் மகிழ்ச்சியுமாக இருக்கிறது, அதுவே மகாராஜாவின் நகரம்.
[IRV | TA | OT | Psalms | Chapter 48 | Verse 3] அதின் அரண்மனைகளில் தேவன் உயர்ந்த அடைக்கலமாக அறியப்பட்டிருக்கிறார்.
[IRV | TA | OT | Psalms | Chapter 48 | Verse 4] இதோ, ராஜாக்கள் கூடிக்கொண்டு, ஒன்றாகக் கடந்துவந்தார்கள்.
[IRV | TA | OT | Psalms | Chapter 48 | Verse 5] அவர்கள் அதைக் கண்டபோது பிரமித்துக் கலங்கி விரைந்தோடினார்கள்.
[IRV | TA | OT | Psalms | Chapter 48 | Verse 6] அங்கே நடுக்கங்கொண்டு, பிரசவ வேதனைப்படுகிற பெண்ணைப்போல வேதனைப்பட்டார்கள்.
[IRV | TA | OT | Psalms | Chapter 48 | Verse 7] கிழக்கு காற்றினால் தர்ஷீசின் கப்பல்களை நீர் உடைக்கிறீர்.
[IRV | TA | OT | Psalms | Chapter 48 | Verse 8] நாம் கேள்விப்பட்டபடியே நமது தேவனுடைய நகரமாகிய சேனைகளுடைய யெகோவாவின் நகரத்திலே கண்டோம்; தேவன் அதை என்றென்றைக்கும் பாதுகாப்பார். (சேலா)
[IRV | TA | OT | Psalms | Chapter 48 | Verse 9] தேவனே, உமது ஆலயத்தின் நடுவிலே, உமது கிருபையைச் சிந்தித்துக் கொண்டிருக்கிறோம்.
[IRV | TA | OT | Psalms | Chapter 48 | Verse 10] தேவனே, உமது பெயர் வெளிப்படுகிறதுபோல உமது புகழ்ச்சியும் பூமியின் கடைசிவரையிலும் வெளிப்படுகிறது; உமது வலதுகை நீதியால் நிறைந்திருக்கிறது.
[IRV | TA | OT | Psalms | Chapter 48 | Verse 11] உம்முடைய நியாயத்தீர்ப்புகளுக்காக சீயோன் மலை மகிழ்வதாக, யூதாவின் மக்கள் சந்தோஷப்படுவார்களாக.
[IRV | TA | OT | Psalms | Chapter 48 | Verse 12] சீயோனைச் சுற்றி உலாவி, அதின் கோபுரங்களை எண்ணுங்கள்.
[IRV | TA | OT | Psalms | Chapter 48 | Verse 13] பின்வரும் சந்ததிக்கு நீங்கள் விவரிப்பதற்காக, அதின் சுவரை கவனித்து, அதின் அரண்மனைகளை உற்றுப்பாருங்கள்.
[IRV | TA | OT | Psalms | Chapter 48 | Verse 14] இந்த தேவன் என்றென்றைக்குமுள்ள எல்லா காலங்களிலும் நம்முடைய தேவன்; மரணம்வரை நம்மை நடத்துவார்.
